match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_bigChanceCreated,stat_aerialLost,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock
12825255,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,14.0,12.0,3.0,1.0,0.0,12.0,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,17.0,6.2,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12825255,home,Al-Shabab,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175.0,1944,M,180059,EUR,719020800,D,6,6,False,52.0,49.0,4.0,3.0,0.0,19.0,19.0,34.0,,,,2.0,,,72.0,58.0,6.6,5.0,0,30.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12825255,home,Al-Shabab,Wesley Hoedt,wesley-hoedt,W. Hoedt,D,4,188.0,354,M,336813,EUR,762912000,D,4,4,False,66.0,60.0,8.0,6.0,0.0,30.0,34.0,32.0,2.0,4.0,4.0,1.0,,,90.0,77.0,7.7,7.0,4,30.0,,2.0,1.0,,,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12825255,home,Al-Shabab,Robert Renan,robert-renan,R. Renan,D,30,186.0,3212,M,1191278,EUR,1065830400,D,30,30,False,64.0,61.0,2.0,1.0,0.0,26.0,27.0,38.0,,,,3.0,,,90.0,68.0,6.7,4.0,1,36.0,1.0,2.0,1.0,,,1.0,1.0,Robert Renan,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
12825255,home,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,M,16,16,False,17.0,17.0,1.0,1.0,0.0,6.0,6.0,11.0,,3.0,,1.0,,,56.0,33.0,6.2,6.0,1,11.0,,7.0,2.0,4.0,,2.0,,Hussain Alsebyani,,,,,,,,2.0,1.0,,1.0,2.0,1.0,,,,,,,,
12825255,home,Al-Shabab,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200,M,12,12,False,60.0,60.0,4.0,4.0,0.0,20.0,20.0,41.0,,4.0,,6.0,,,88.0,70.0,6.8,3.0,1,40.0,1.0,6.0,4.0,2.0,,5.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,,,2.0,,,,,,,,,
12825255,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,11,11,False,87.0,76.0,3.0,1.0,0.0,23.0,24.0,66.0,1.0,1.0,3.0,5.0,,,90.0,101.0,8.2,14.0,3,54.0,3.0,1.0,1.0,,,,3.0,,,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,
12825255,home,Al-Shabab,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,17,174.0,72,M,954643,EUR,855532800,M,71,71,False,21.0,19.0,,,0.0,2.0,2.0,21.0,4.0,4.0,1.0,3.0,,,90.0,41.0,6.9,9.0,2,17.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,,2.0,,,,3.0,,,,,,,,,,,,,
12825255,home,Al-Shabab,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175.0,850,M,1106234,EUR,1056067200,F,15,15,False,69.0,65.0,4.0,2.0,1.0,19.0,19.0,55.0,,5.0,,8.0,,,90.0,99.0,7.9,17.0,2,48.0,5.0,9.0,,4.0,2.0,3.0,5.0,Musab Fahz Aljuwayr,,,,,,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,
12825255,home,Al-Shabab,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180.0,4751,M,182001,EUR,747100800,F,10,10,False,49.0,46.0,,,0.0,6.0,6.0,45.0,,3.0,,4.0,,,90.0,73.0,8.1,8.0,9,42.0,2.0,3.0,,3.0,,,3.0,,,,1.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,6.0,yannickferreiracarrasco,True,1.0,,,,,
