match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_lastManTackle,stat_accurateCross,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,captain,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot,stat_punches
11450024,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190,177,M,236746,EUR,724636800,G,1,1,False,30.0,11.0,28.0,9.0,4.0,6.0,7.0,24.0,1.0,1.0,1.0,11.0,3.0,2.0,3.0,1.0,1.0,90.0,43.0,7.6,20.0,0.00241342,0,0.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450024,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183,184,M,155998,EUR,766368000,D,2,2,False,32.0,19.0,5.0,1.0,7.0,13.0,12.0,20.0,2.0,8.0,3.0,8.0,,,,,,90.0,69.0,7.2,21.0,0.0135677,2,,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.3046,,,,,,,,,,,,,,,,,
11450024,home,Kasımpaşa,Jackson Porozo,jackson-porozo,J. Porozo,D,12,192,722,M,978518,EUR,965347200,D,23,23,False,24.0,13.0,8.0,2.0,9.0,10.0,4.0,14.0,5.0,9.0,12.0,4.0,,,,,,90.0,44.0,7.5,11.0,0.00333545,0,,,3.0,7.0,,,,,,,,2.0,4.0,1.0,,4.0,,2.0,1.0,,,,,,,,,,,,,,,
11450024,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185,1802,M,1392102,EUR,1145491200,D,58,58,False,34.0,17.0,15.0,5.0,11.0,20.0,6.0,14.0,1.0,5.0,3.0,5.0,,,,,,90.0,44.0,7.0,17.0,0.00385236,0,,,3.0,4.0,,,,,,,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
11450024,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182,1246,M,919225,EUR,773107200,D,12,12,False,35.0,22.0,3.0,2.0,14.0,19.0,9.0,18.0,5.0,6.0,4.0,10.0,,,,,,90.0,57.0,7.5,17.0,0.0958449,0,,2.0,,1.0,1.0,,,,,,,5.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
11450024,home,Kasımpaşa,Gökhan Gül,gokhan-gul,G. Gül,M,17,180,107,M,797820,EUR,900633600,M,6,6,False,22.0,15.0,2.0,1.0,6.0,8.0,9.0,14.0,3.0,8.0,1.0,3.0,,,,,,90.0,37.0,7.2,8.0,0.00985241,2,,,3.0,6.0,,1.0,,,,,1.0,4.0,,,5.0,2.0,0.0718,1.0,,,1.0,1.0,0.0264,,,,,,,,,,,
11450024,home,Kasımpaşa,Mamadou Fall,mamadou-fall,M. Fall,M,7,184,380,M,822228,EUR,694137600,M,7,7,False,16.0,9.0,1.0,,3.0,4.0,6.0,12.0,3.0,3.0,1.0,2.0,,,,,,89.0,29.0,6.2,13.0,0.00773963,1,,,3.0,11.0,1.0,3.0,1.0,,,1.0,,1.0,,,,3.0,0.0202,,,,,,,,,2.0,1.0,,,,,,,
11450024,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179,1215,M,254979,EUR,761529600,M,10,10,False,27.0,18.0,4.0,3.0,4.0,5.0,18.0,31.0,1.0,4.0,1.0,3.0,,,,,,90.0,49.0,7.6,19.0,0.31347,1,,9.0,1.0,5.0,1.0,,2.0,,,,1.0,,3.0,3.0,,1.0,0.0699,,,4.0,4.0,,,,,2.0,,1.0,1.0,,,,,
11450024,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188,161,M,128196,EUR,732844800,M,35,35,False,29.0,21.0,4.0,3.0,6.0,7.0,17.0,25.0,,5.0,2.0,7.0,,,,,,85.0,50.0,8.5,11.0,0.289065,3,,3.0,1.0,4.0,2.0,,3.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,0.6407,2.0,,2.0,2.0,1.0,0.866,,,1.0,,,1.0,True,1.0,,,
11450024,home,Kasımpaşa,Julien Ngoy,julien-ngoy,J. Ngoy,F,7,185,145,M,848680,EUR,878428800,M,9,9,False,12.0,9.0,,,5.0,5.0,4.0,7.0,1.0,4.0,1.0,4.0,,,,,,63.0,21.0,6.5,8.0,0.00233303,0,,,1.0,7.0,1.0,3.0,3.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
