match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_shotOffTarget,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_shotValueNormalized,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_fouls,captain,stat_wasFouled,stat_aerialWon,stat_wonContest,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAShot,stat_penaltyFaced,stat_punches,player_sofascoreId,stat_penaltyConceded,stat_hitWoodwork,stat_lastManTackle
14053740,home,Sparta Rotterdam,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,376,M,610396,EUR,848102400,G,1,1,False,28.0,15.0,23.0,10.0,0.0,6.0,7.0,9.0,21.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,34.0,6.2,13.0,0.0298,0.00567544,0.0441,1,-1.0576,-0.01,-0.01,0.0,-0.33,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Shurandy Sambo,,,shurandy-sambo,S. Sambo,D,12,174.0,233,M,916926,EUR,998179200,D,2,2,False,22.0,20.0,1.0,1.0,0.0,9.0,9.0,11.0,13.0,,7.0,2.0,,,,,84.0,42.0,6.5,4.0,,0.0229827,,0,,,0.28,0.21,-0.4,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Marvin Young,Marvin,Young ,marvin-young,M. Young,D,3,182.0,184,M,1648759,EUR,1128211200,D,3,3,False,34.0,29.0,7.0,5.0,0.0,16.0,18.0,13.0,16.0,,7.0,1.0,,,,,90.0,51.0,6.7,6.0,,0.00814398,,0,,,0.18,0.08,-0.23,,3.0,4.0,,,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185.0,171,M,116947,EUR,697507200,D,4,4,False,34.0,30.0,7.0,4.0,0.0,17.0,17.0,13.0,17.0,,7.0,1.0,,,,,90.0,47.0,6.2,4.0,,0.01004,,0,,,0.16,-0.02,-0.38,,2.0,1.0,1.0,,,,,,,1.0,2.0,1.0,True,1.0,,,,,,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Teo Quintero,,,teo-quintero,T. Q. León,D,5,188.0,433,M,966299,EUR,920332800,D,5,5,False,22.0,21.0,6.0,5.0,0.0,11.0,11.0,10.0,11.0,1.0,2.0,10.0,,,,,90.0,47.0,6.9,4.0,0.1081,0.0108384,,1,,-0.2,0.19,0.31,-0.23,,5.0,8.0,1.0,2.0,4.0,2.0,,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Julian Baas,,,julian-baas,J. Baas,M,16,184.0,150,M,1046143,EUR,1018915200,M,6,6,False,30.0,23.0,5.0,4.0,0.0,6.0,8.0,17.0,22.0,,11.0,3.0,,,,,90.0,59.0,7.2,14.0,,0.147369,,0,,,0.26,0.11,0.25,,1.0,4.0,,,1.0,1.0,2.0,,1.0,2.0,1.0,,,2.0,1.0,,1.0,8.0,3.0,,,,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Joshua Kitolano,,,joshua-kitolano,J. Kitolano,M,6,170.0,260,M,913584,EUR,984009600,M,8,8,False,8.0,6.0,,,0.0,4.0,5.0,2.0,3.0,1.0,,5.0,,,,,75.0,19.0,7.6,6.0,0.1905,0.00127308,,2,,0.54,-0.09,0.18,-0.03,,5.0,2.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,0.2615,,,,,,,,,,,
14053740,home,Sparta Rotterdam,Mitchell van Bergen,,,mitchell-van-bergen,M. v. Bergen,F,7,170.0,245,M,827662,EUR,935712000,M,7,7,False,19.0,16.0,2.0,2.0,0.0,8.0,9.0,8.0,10.0,1.0,2.0,2.0,,,,,84.0,42.0,7.9,12.0,0.448,0.0273052,,5,,0.49,-0.11,0.41,-0.07,,2.0,4.0,1.0,4.0,1.0,1.0,2.0,,,,,,,,,3.0,,8.0,,1.0,1.0,0.8696,1.0,3.0,1.0,,,,,,,,
14053740,home,Sparta Rotterdam,Pelle Clement,,,pelle-clement,P. Clement,M,8,177.0,70,M,795135,EUR,832464000,M,10,10,False,21.0,14.0,4.0,2.0,0.0,8.0,9.0,6.0,12.0,,3.0,3.0,,,,,90.0,36.0,7.2,9.0,0.1214,0.151533,,1,,0.21,0.15,0.09,-0.11,,6.0,6.0,2.0,,4.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,2.0,,1.0,,,1.0,,0.3574,1.0,,,,,,,,,,
14053740,home,Sparta Rotterdam,Ayoub Oufkir,Ayoub,Oufkir,ayoub-oufkir,A. Oufkir,M,24,170.0,542,M,1648756,EUR,1136332800,M,11,11,False,15.0,13.0,1.0,1.0,0.0,6.0,7.0,7.0,8.0,1.0,1.0,3.0,,,,,66.0,33.0,6.5,13.0,0.2832,0.00531472,,1,,-0.58,-0.05,0.54,-0.05,,3.0,1.0,,2.0,,,,1.0,1.0,,,,,,,1.0,5.0,4.0,,,,,,,,1.0,,,,,,,
14053740,home,Sparta Rotterdam,Tobias Lauritsen,,,tobias-lauritsen,T. Lauritsen,F,9,192.0,726,M,796943,EUR,872899200,F,9,9,False,26.0,12.0,1.0,,0.0,5.0,8.0,7.0,18.0,,1.0,5.0,,,,,90.0,34.0,7.1,15.0,0.7884,0.122098,,1,,0.32,0.28,0.29,-0.12,,9.0,6.0,2.0,,1.0,,1.0,4.0,,,1.0,3.0,,1.0,4.0,,1.0,,,1.0,1.0,0.798,,,,,,,,,,,
