match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_outfielderBlock,stat_interceptionWon,stat_penaltyWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_unsuccessfulTouch,stat_penaltyMiss,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyConceded,stat_penaltySave,stat_blockedScoringAttempt
11406887,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,10.0,9.0,2.0,1.0,8.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,90.0,17.0,6.6,1.0,0.00104343,0,-0.7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406887,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2430,M,,318607,EUR,849830400,D,2,2,False,31.0,26.0,4.0,1.0,19.0,20.0,8.0,12.0,2.0,,,,,59.0,45.0,7.4,6.0,0.331081,1,,True,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0267,1.0,,,,,,,,,,,,,,,,,,,,
11406887,home,Milan,Simon Kjær,simon-kjaer,S. Kjær,D,24,189,1458,M,,21535,EUR,606873600,D,24,24,False,55.0,52.0,6.0,5.0,35.0,36.0,17.0,19.0,5.0,,,,,90.0,64.0,7.6,3.0,0.00990661,1,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,,0.3314,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
11406887,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,64.0,61.0,3.0,3.0,40.0,43.0,21.0,21.0,6.0,,,,,90.0,78.0,7.0,3.0,0.023554,0,,,,,,1.0,1.0,3.0,7.0,,,6.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11406887,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,51.0,46.0,3.0,1.0,16.0,19.0,32.0,39.0,5.0,,,,,90.0,72.0,6.8,11.0,0.12719,2,,,,7.0,2.0,,1.0,2.0,5.0,,2.0,,2.0,,1.0,2.0,0.8166,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11406887,home,Milan,Yacine Adli,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,7,7,False,50.0,44.0,1.0,1.0,22.0,24.0,22.0,28.0,4.0,,,,,59.0,56.0,6.7,8.0,0.00875723,0,,,,2.0,,,,2.0,2.0,,,1.0,,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,
11406887,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,53.0,50.0,2.0,1.0,19.0,20.0,31.0,33.0,5.0,,,,,90.0,67.0,7.0,6.0,0.0238723,2,,,,,,,,3.0,2.0,,2.0,,2.0,,,,0.06,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,
11406887,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,M,11,11,False,32.0,28.0,,,10.0,11.0,20.0,26.0,,,,,,87.0,55.0,7.0,17.0,0.392155,1,,,,5.0,2.0,,1.0,6.0,5.0,2.0,1.0,,2.0,1.0,1.0,1.0,0.1293,2.0,,,,,,5.0,1.0,,3.0,,,,2.0,,,,,,,
11406887,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,23.0,19.0,1.0,1.0,3.0,3.0,16.0,20.0,2.0,,,,,90.0,30.0,8.5,6.0,0.0914734,2,,,,,,1.0,3.0,7.0,4.0,,,,1.0,1.0,,3.0,0.5327,3.0,,,,,1.0,,,,,,,,2.0,2.0,2.0,1.2652,,,,
11406887,home,Milan,Rafael Leão,rafael-leao,R. Leão,M,10,188,75751,M,RLeão,851284,EUR,928972800,M,10,10,False,34.0,27.0,,,16.0,16.0,12.0,23.0,5.0,,,,,87.0,59.0,7.2,19.0,0.0639544,4,,,,5.0,1.0,1.0,1.0,6.0,7.0,,3.0,,,,3.0,2.0,0.5962,,1.0,,,1.0,,4.0,3.0,,4.0,,,,3.0,1.0,,0.0432,,,,
