match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,player_firstName,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_totalCross,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goalAssist,stat_blockedScoringAttempt,player_lastName,stat_goals,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated
12117000,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190.0,551,M,844576,EUR,871948800.0,G,1,1,False,True,32.0,17.0,29.0,14.0,6.0,7.0,11.0,25.0,1.0,1.0,5.0,12.0,4.0,3.0,4.0,5.0,1.0,1.0,90.0,48.0,8.7,15.0,0.0020514,0,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,José Andrés Hurtado,andres-hurtado,J. A. Hurtado,D,34,178.0,537,M,987589,EUR,1009065600.0,D,34,34,False,,28.0,15.0,3.0,,3.0,8.0,12.0,20.0,,1.0,4.0,1.0,,,,,,,90.0,43.0,6.5,20.0,0.00635346,1,,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0058,,,,,,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Douglas Mendes,douglas-mendes,D. Mendes,D,39,189.0,257,M,1134472,EUR,1087084800.0,D,39,39,False,,26.0,19.0,8.0,4.0,11.0,12.0,8.0,14.0,4.0,4.0,6.0,1.0,,,,,,,90.0,35.0,7.1,7.0,0.01239,0,,,1.0,,,,,,,,,1.0,,Douglas Mendes,1.0,,,,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Luan Cândido,luan-candido,L. Cândido,D,36,187.0,716,M,905459,EUR,981072000.0,D,36,36,False,,25.0,15.0,7.0,2.0,9.0,15.0,6.0,10.0,2.0,5.0,5.0,7.0,,,,,,,90.0,37.0,7.0,12.0,0.0181014,0,,,1.0,,,1.0,,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176.0,909,M,870556,EUR,868147200.0,D,29,29,False,,31.0,17.0,7.0,2.0,8.0,9.0,9.0,22.0,3.0,7.0,6.0,4.0,,,,,,,90.0,65.0,7.0,29.0,0.0141395,0,,,7.0,3.0,2.0,,,2.0,,2.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Gustavo Neves,gustavo-neves,G. Neves,M,22,176.0,308,M,1463904,EUR,1082678400.0,M,22,22,False,,24.0,16.0,5.0,2.0,4.0,5.0,12.0,20.0,2.0,6.0,,5.0,,,,,,,76.0,35.0,6.6,13.0,0.00933102,1,,3.0,8.0,1.0,1.0,2.0,1.0,,,2.0,2.0,2.0,0.0169,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Jadsom,jadsom,Jadsom,M,25,176.0,193,M,964127,EUR,990316800.0,M,5,5,False,,24.0,14.0,5.0,2.0,4.0,8.0,10.0,16.0,3.0,7.0,3.0,4.0,,,,,,,90.0,39.0,7.0,12.0,0.0264829,1,,1.0,6.0,2.0,1.0,,1.0,,,4.0,1.0,2.0,0.0294,,,3.0,,1.0,,,,,,,,,,,,,
12117000,home,Red Bull Bragantino,Eric Ramires,eric-ramires,E. Ramires,M,7,172.0,386,M,950545,EUR,965865600.0,M,7,7,False,,9.0,8.0,1.0,1.0,2.0,2.0,6.0,9.0,,3.0,,4.0,,,,,,,61.0,23.0,7.2,6.0,0.00963283,3,,1.0,3.0,,,,1.0,,,1.0,3.0,2.0,0.2525,,1.0,,2.0,1.0,2.0,,2.0,0.0866,,,,,,,,,
12117000,home,Red Bull Bragantino,Bruno Goncalves De Jesus,goncalves-de-jesus-bruno,Bruninho,F,17,174.0,254,M,1868441,EUR,1047600000.0,F,17,17,False,,22.0,18.0,3.0,3.0,4.0,4.0,14.0,18.0,,2.0,,3.0,,,,,,,61.0,28.0,7.0,6.0,0.0253391,1,,1.0,5.0,2.0,1.0,,,,,,1.0,1.0,0.0149,,,,2.0,2.0,,,,,1.0,1.0,,,,,,,
12117000,home,Red Bull Bragantino,Eduardo Sasha,eduardo-sasha,E. Sasha,F,8,173.0,1446,M,143846,EUR,698889600.0,F,19,19,False,,26.0,12.0,,,4.0,4.0,8.0,22.0,7.0,11.0,1.0,3.0,,,,,,,76.0,33.0,7.1,15.0,0.0494533,0,,8.0,9.0,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,,
