match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_goals,stat_totalCross,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,stat_penaltyWon,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_penaltyConceded,stat_clearanceOffLine
14035841,home,Royale Union Saint-Gilloise,Vic Chambaere,,,chambaere-vic,V. Chambaere,G,1,190,143,M,1108599,EUR,1042156800,G,1,1,False,23.0,15.0,11.0,3.0,0.0,12.0,16.0,3.0,7.0,2.0,1.0,90.0,26.0,6.5,9.0,0.00197124,1.0,0,0.06,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Kevin Mac Allister,,,kevin-mac-allister,K. Mac Allister,D,5,175,9946,M,895327,EUR,878860800,D,5,5,False,34.0,28.0,3.0,2.0,0.0,13.0,15.0,15.0,19.0,5.0,,90.0,65.0,8.2,7.0,0.029024,,1,0.17,0.23,0.44,True,1.0,5.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,0.0723,0.0564,-0.28,,,,,,,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Fedde Leysen,Fedde Leysen,,fedde-leysen,F. Leysen,D,48,191,390,M,1088899,EUR,1057708800,D,48,48,False,44.0,41.0,6.0,5.0,1.0,32.0,34.0,9.0,10.0,8.0,,90.0,60.0,7.8,3.0,0.00601244,2.0,0,0.1,0.03,0.57,,3.0,1.0,4.0,5.0,,,,,1.0,,7.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Ross Sykes,,,ross-sykes,R. Sykes,D,26,196,234,M,845558,EUR,922406400,D,26,26,False,24.0,20.0,2.0,,0.0,10.0,11.0,10.0,13.0,7.0,,80.0,49.0,8.5,11.0,0.0129299,,1,0.1,0.02,0.3,,1.0,4.0,3.0,6.0,,,,1.0,,1.0,1.0,,,,2.0,2.0,0.2235,0.7676,0.58,1.0,,,,,,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Anan Khalaili,,,khalaili-anan,A. Khalaili,M,25,183,2317,M,1403362,EUR,1094169600,M,25,25,False,22.0,18.0,3.0,3.0,0.0,6.0,6.0,12.0,16.0,2.0,,67.0,49.0,7.2,15.0,0.0156921,,3,-0.02,0.11,-0.02,,1.0,1.0,4.0,3.0,,3.0,1.0,2.0,,3.0,5.0,1.0,,4.0,,1.0,1.1182,0.9549,0.31,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Charles Vanhoutte,,,charles-vanhoutte,C. Vanhoutte,M,24,182,634,M,928033,EUR,905904000,M,24,24,False,46.0,38.0,9.0,5.0,0.0,16.0,18.0,22.0,28.0,1.0,,90.0,65.0,7.6,13.0,0.283668,1.0,0,0.44,0.04,0.21,,1.0,,3.0,6.0,,,,,,1.0,7.0,6.0,5.0,,,1.0,,,,,6.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Adem Zorgane,,,adem-zorgane,A. Zorgane,M,8,184,6525,M,1000472,EUR,947116800,M,8,8,False,44.0,39.0,2.0,2.0,1.0,13.0,14.0,26.0,30.0,,,90.0,55.0,7.5,8.0,0.492161,2.0,0,0.69,0.29,-0.13,,2.0,1.0,7.0,3.0,3.0,2.0,1.0,,,1.0,3.0,1.0,,,,2.0,,,,,2.0,,,,,AdemZorgane,1.0,1.0,,,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Ousseynou Niang,,,ousseynou-niang,O. Niang,M,22,168,3149,M,880780,EUR,1002844800,M,22,22,False,27.0,23.0,2.0,2.0,0.0,9.0,10.0,14.0,17.0,,,86.0,57.0,8.4,18.0,0.090638,,4,-0.18,0.74,-0.03,,,1.0,11.0,7.0,1.0,8.0,1.0,2.0,,,4.0,3.0,1.0,2.0,2.0,1.0,0.2782,0.1818,0.48,1.0,2.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Anouar Ait El Hadj,,,anouar-ait-el-hadj,A. A. E. Hadj,M,10,167,2677,M,964764,EUR,1019260800,F,10,10,False,35.0,30.0,3.0,,1.0,8.0,9.0,22.0,26.0,1.0,,90.0,49.0,7.8,9.0,0.513291,3.0,2,0.32,0.46,0.26,,1.0,,2.0,5.0,,2.0,1.0,,,,5.0,3.0,3.0,1.0,1.0,,0.18,,-0.42,,2.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
14035841,home,Royale Union Saint-Gilloise,Raul Florucz,,,raul-florucz,R. Florucz,F,30,182,964,M,1022491,EUR,992131200,F,30,30,False,10.0,6.0,,,0.0,,1.0,6.0,9.0,,,68.0,25.0,8.4,13.0,0.0252694,,2,-0.01,0.3,-0.02,,1.0,,6.0,3.0,,4.0,,2.0,,,1.0,2.0,2.0,4.0,1.0,,0.8348,1.4483,0.73,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
