match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,confirmed,injury,length
10381998,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10381998,,,,,90,7.0,,1,,,card,Sondre Tronstad,Foul,False,120409616.0,False,red,228374.0,Sondre Tronstad,,,
10381998,,,,,90,6.0,,1,,,varDecision,,,,12558.0,False,cardUpgrade,228374.0,Sondre Tronstad,False,,
10381998,,,,,90,2.0,,1,,,substitution,,,,121234540.0,True,regular,,,,False,
10381998,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,,5.0
10381998,,,,,86,,,5,,,substitution,,,,121234499.0,True,regular,,,,False,
10381998,,,,,86,,,5,,,substitution,,,,121234498.0,True,regular,,,,False,
10381998,,,,,82,,,9,,,substitution,,,,121234456.0,False,regular,,,,False,
10381998,,,,,82,,,9,,,substitution,,,,121234455.0,False,regular,,,,False,
10381998,,3.0,1.0,,76,,,15,,,goal,,,,165566095.0,True,regular,916947.0,Kenzo Goudmijn,,,
10381998,,,,,65,,,26,,,substitution,,,,121234341.0,True,regular,,,,False,
10381998,,,,,64,,,27,,,substitution,,,,121234342.0,False,regular,,,,False,
10381998,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10381998,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,4.0
10381998,,2.0,1.0,,29,,,17,,,goal,,,,165565771.0,False,regular,935076.0,Nikolai Baden Frederiksen,,,
10381998,,2.0,0.0,,20,,,26,,,goal,,,,165565728.0,True,regular,907909.0,Reda Kharchouch,,,
10381998,,1.0,0.0,,14,,,32,,,goal,,,,165565695.0,True,regular,907909.0,Reda Kharchouch,,,
