match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_goalAssist,stat_accurateCross,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded
10407415,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1412,M,934385,EUR,1014681600,G,26,26,False,46.0,32.0,26.0,12.0,27.0,28.0,5.0,18.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,51.0,6.6,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407415,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12060,M,870360,EUR,833068800,D,23,23,False,45.0,38.0,4.0,1.0,19.0,21.0,19.0,26.0,4.0,2.0,,6.0,,,90.0,80.0,7.0,16.0,0,,,daniel.chitiva,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10407415,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4437,M,839095,EUR,920937600,D,46,46,False,51.0,46.0,5.0,2.0,34.0,37.0,12.0,14.0,7.0,,,8.0,,,90.0,60.0,6.3,5.0,2,,,,,8.0,,,,,1.0,,,1.0,,,,5.0,5.0,2.0,2.0,3.0,,,,,,,,,,,
10407415,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,2,2,False,54.0,42.0,13.0,8.0,34.0,39.0,8.0,15.0,10.0,2.0,2.0,10.0,,,90.0,67.0,7.2,13.0,1,,,,,4.0,,3.0,,1.0,2.0,2.0,1.0,1.0,,,,4.0,5.0,,1.0,,,,,,,,,,,,
10407415,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,771,M,856129,EUR,905126400,D,5,5,False,48.0,39.0,8.0,2.0,20.0,22.0,21.0,30.0,7.0,,,6.0,,,90.0,78.0,7.0,17.0,0,,,,4.0,3.0,,1.0,,1.0,3.0,3.0,2.0,2.0,,,1.0,,2.0,,,,1.0,2.0,3.0,,,,,,,,
10407415,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,359,M,198282,EUR,703900800,M,17,17,False,54.0,38.0,10.0,8.0,22.0,30.0,17.0,26.0,3.0,2.0,1.0,11.0,,,90.0,71.0,7.0,20.0,0,,,,2.0,4.0,2.0,4.0,,2.0,,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,
10407415,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,419,M,801025,EUR,855187200,M,8,8,False,23.0,15.0,2.0,,11.0,15.0,4.0,8.0,8.0,2.0,1.0,6.0,,,90.0,48.0,7.9,15.0,3,,,,,7.0,1.0,4.0,,1.0,1.0,,2.0,3.0,,,,2.0,3.0,,,,,,3.0,True,2.0,1.0,2.0,,,,
10407415,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2679,M,901285,EUR,886291200,M,28,28,False,17.0,15.0,,,7.0,7.0,8.0,10.0,10.0,6.0,5.0,2.0,,,87.0,43.0,7.1,12.0,3,,,,,5.0,,,,,1.0,,5.0,3.0,,,1.0,,1.0,,3.0,2.0,,,2.0,,,,,,,,
10407415,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25212,M,1126569,EUR,1084147200,M,34,34,False,40.0,30.0,9.0,6.0,12.0,17.0,18.0,23.0,6.0,2.0,,5.0,,,71.0,51.0,6.7,14.0,1,Bilal,El Khannouss,bilalekns_34,,5.0,1.0,,,,2.0,1.0,1.0,1.0,,,2.0,1.0,3.0,,1.0,,,,1.0,,,,,,,,
10407415,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1090,M,826183,EUR,927849600,M,11,11,False,30.0,21.0,2.0,,8.0,11.0,18.0,28.0,3.0,6.0,2.0,6.0,,,90.0,54.0,7.5,20.0,0,,,,9.0,6.0,,1.0,,,1.0,,1.0,,,,6.0,1.0,,,,,,5.0,1.0,,,,,2.0,,,
