match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_wasFouled,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_challengeLost,stat_totalContest,stat_wonContest,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalOffside,stat_errorLeadToAShot
14062190,home,Eintracht Frankfurt,Kauã Santos,kaua-dos-santos,Kauã,G,40,196,2816,M,1134203,EUR,1050019200,G,40,40,False,41.0,30.0,16.0,5.0,0.0,27.0,30.0,3.0,11.0,3.0,4.0,1.0,2.0,2.0,90.0,48.0,5.1,11.0,0.00375192,43.150764161896,10.0,6.7725876972576,0.0024,0,-1.6463,0.07,-0.04,-0.32,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062190,home,Eintracht Frankfurt,Aurèle Amenda,aurele-amenda,A. Amenda,D,5,194,696,M,999276,EUR,1059609600,D,5,5,False,64.0,57.0,6.0,1.0,0.0,30.0,33.0,27.0,31.0,1.0,3.0,,,,90.0,73.0,6.3,7.0,0.163872,85.571274337557,13.0,9.5779368597321,,2,,0.35,0.14,-0.44,,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.2658,1.0,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,
14062190,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,54.0,50.0,6.0,3.0,0.0,37.0,37.0,13.0,17.0,7.0,5.0,,,,90.0,74.0,7.7,6.0,0.00906825,117.36319982824,17.0,68.329749585567,,2,,0.14,0.08,0.74,,,,2.0,4.0,5.0,,1.0,,3.0,,3.0,,0.2957,,0.29,True,4.0,2.0,1.0,1.0,3.0,2.0,0.3838,,,,,,,,,,,,,,,,,
14062190,home,Eintracht Frankfurt,Arthur Theate,arthur-theate,A. Theate,D,3,186,2196,M,965778,EUR,959212800,D,3,3,False,79.0,72.0,8.0,5.0,0.0,47.0,48.0,25.0,31.0,3.0,5.0,,,,90.0,93.0,6.2,10.0,0.0249925,213.24947784745,22.0,85.613508942422,,1,,0.15,0.18,-0.79,,1.0,,1.0,2.0,6.0,,,1.0,,1.0,2.0,,0.0175,1.0,-0.14,,2.0,,,,1.0,1.0,,1.0,4.0,21.824882505851,39.769450195061,2.0,,,,,,,,,,,,
14062190,home,Eintracht Frankfurt,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1615,M,921789,EUR,868579200,M,13,13,False,53.0,42.0,3.0,2.0,0.0,13.0,14.0,29.0,39.0,1.0,8.0,,,,90.0,79.0,6.5,24.0,0.0347265,124.23697865561,17.0,48.479234032925,,1,,0.01,0.33,-0.21,,5.0,,1.0,3.0,4.0,,,,,,2.0,1.0,0.0372,,-0.29,,,1.0,,,,2.0,0.1674,,,34.499688005806,37.915159237434,1.0,1.0,2.0,1.0,,,,,,,,,
14062190,home,Eintracht Frankfurt,Hugo Larsson,hugo-larsson,H. Larsson,M,16,187,2774,M,1142211,EUR,1088294400,M,16,16,False,33.0,28.0,,,0.0,14.0,15.0,14.0,18.0,,,,,,57.0,34.0,6.4,5.0,0.0141391,10.549723600274,3.0,1.8480216170363,,0,,0.15,0.02,-0.22,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Hugo Larsson,,,,,,,,
14062190,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,36.0,31.0,2.0,,0.0,21.0,23.0,10.0,13.0,,4.0,,,,70.0,43.0,5.6,7.0,0.0159057,38.820617846446,6.0,25.393401356344,,0,,0.07,-0.12,-0.22,,,,1.0,5.0,2.0,,,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,2.0,1.0,,,,ellyes_skhiri,,,,,,
14062190,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,M,21,21,False,34.0,32.0,1.0,1.0,0.0,22.0,23.0,10.0,11.0,,2.0,,,,84.0,49.0,6.3,6.0,0.0303877,43.268350266292,5.0,8.3103720320857,,2,,-0.08,0.03,-0.06,,1.0,1.0,,4.0,3.0,,,1.0,,,1.0,,0.3816,,-0.47,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,3.0,1.0,,,,
14062190,home,Eintracht Frankfurt,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,F,20,20,False,27.0,19.0,2.0,1.0,0.0,,1.0,19.0,26.0,,6.0,,,,69.0,46.0,6.7,19.0,0.228334,90.622496775041,10.0,11.050627390961,,0,,0.3,0.12,-0.12,,7.0,1.0,,8.0,4.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,12.415248533386,26.205586642616,2.0,2.0,4.0,2.0,,,doanritsu,2.0,,,,,
14062190,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,24.0,20.0,2.0,1.0,0.0,4.0,5.0,16.0,19.0,,3.0,,,,69.0,39.0,6.7,12.0,0.312779,85.312994364247,9.0,1.7358417503917,,0,,0.34,0.22,-0.09,,2.0,,,10.0,4.0,,,,,2.0,1.0,4.0,,1.0,,,2.0,,,,1.0,4.0,,,3.0,,,,2.0,,,,,MarioGotze,2.0,,,,,
