match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_aerialWon,stat_duelWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_bigChanceMissed,stat_accurateCross,stat_dispossessed,stat_goals,stat_totalOffside,player_firstName,player_lastName,stat_challengeLost,stat_lastManTackle,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12501502,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,36.0,35.0,6.0,5.0,0.0,34.0,34.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,90.0,42.0,7.2,1.0,0.00016776,0,0.1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501502,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,75.0,68.0,4.0,3.0,0.0,40.0,43.0,28.0,33.0,2.0,4.0,,,,90.0,90.0,7.2,9.0,0.0285081,0,,dilorenzo22,True,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501502,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,84.0,77.0,8.0,3.0,1.0,52.0,54.0,25.0,30.0,4.0,4.0,,,,90.0,94.0,7.9,7.0,0.0144962,1,,,,,2.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2575,0.3918,1.0,,,,,,,,,,,,,,,,,,,
12501502,home,Napoli,Mathías Olivera,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,False,69.0,63.0,5.0,1.0,0.0,45.0,50.0,18.0,19.0,3.0,2.0,,,,90.0,82.0,7.8,6.0,0.0065394,1,,,,,1.0,5.0,,2.0,,,,,2.0,2.0,0.0106,,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
12501502,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,False,39.0,36.0,5.0,4.0,0.0,22.0,23.0,14.0,20.0,,5.0,,,,85.0,60.0,7.9,8.0,0.168917,3,,,,4.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,0.3517,0.4282,1.0,,,,,2.0,1.0,,,,,,,,,,,,,
12501502,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,55.0,47.0,1.0,1.0,0.0,22.0,26.0,25.0,29.0,1.0,4.0,,,,85.0,64.0,6.7,10.0,0.0185046,1,,anguiss_29,,,4.0,5.0,1.0,1.0,1.0,,,,,,0.0513,,,5.0,10.0,1.0,,,1.0,4.0,,,,,,,,,,,,
12501502,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,False,87.0,84.0,3.0,3.0,0.0,57.0,58.0,27.0,32.0,1.0,3.0,,,,90.0,98.0,7.4,7.0,0.198804,1,,billygilmour,,3.0,,3.0,,,1.0,,,1.0,3.0,3.0,0.1901,0.6261,2.0,,1.0,,,,,,1.0,,,,,,,,,,,
12501502,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,40.0,37.0,,,0.0,22.0,23.0,16.0,19.0,1.0,5.0,,,,90.0,60.0,7.4,13.0,0.0480675,2,,ScottMcTominay,,2.0,3.0,5.0,3.0,1.0,1.0,1.0,,1.0,,,0.2746,0.1299,3.0,1.0,7.0,,1.0,1.0,,3.0,,1.0,5.0,1.0,,,,,,,,
12501502,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,F,21,21,False,26.0,22.0,1.0,,1.0,8.0,9.0,16.0,26.0,1.0,1.0,,,,61.0,38.0,7.0,12.0,0.237588,1,,,,9.0,,,1.0,,,,,,,,0.0985,,2.0,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,
12501502,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,9.0,6.0,,,0.0,1.0,1.0,5.0,8.0,,,,,,76.0,17.0,7.3,6.0,0.0703203,3,,RLukaku,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,0.522,0.5018,1.0,,4.0,,,2.0,,3.0,,,2.0,1.0,1.0,,,,,,,
