match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_wonContest,stat_bigChanceCreated,captain,stat_goalAssist,stat_goals
10382059,home,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185,1498,M,123865,EUR,609206400,G,22,22,False,19.0,15.0,10.0,6.0,11.0,13.0,4.0,6.0,11.0,1.0,1.0,2.0,90.0,30.0,6.5,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382059,home,NEC Nijmegen,Bart van Rooij,,,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,58.0,49.0,6.0,4.0,26.0,29.0,23.0,29.0,7.0,,,,90.0,69.0,6.4,13.0,0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382059,home,NEC Nijmegen,Iván Márquez,,,ivan-marquez,I. Márquez,D,44,191,78,M,862479,EUR,771120000,D,4,4,False,39.0,28.0,6.0,2.0,23.0,26.0,5.0,13.0,6.0,,,,90.0,51.0,6.6,11.0,5,6.0,5.0,,,2.0,,3.0,,3.0,5.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10382059,home,NEC Nijmegen,Calvin Verdonk,,,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,False,51.0,47.0,4.0,3.0,29.0,29.0,19.0,23.0,8.0,,,,90.0,66.0,6.9,8.0,1,5.0,6.0,1.0,,2.0,2.0,1.0,,2.0,3.0,,1.0,,,,c.verdonk,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,
10382059,home,NEC Nijmegen,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,47.0,38.0,3.0,1.0,19.0,23.0,19.0,32.0,7.0,,,,80.0,83.0,6.5,25.0,1,12.0,6.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,,,,1.0,2.0,,8.0,,1.0,,2.0,1.0,2.0,,1.0,,,,
10382059,home,NEC Nijmegen,Dirk Proper,,,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,37.0,34.0,2.0,2.0,15.0,15.0,19.0,22.0,6.0,,,,80.0,50.0,6.4,7.0,0,6.0,4.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,
10382059,home,NEC Nijmegen,Oussama Tannane,,,oussama-tannane,O. Tannane,F,14,178,2916,M,249435,EUR,764380800,M,14,14,False,52.0,42.0,9.0,7.0,9.0,11.0,37.0,53.0,4.0,,,,90.0,91.0,8.4,26.0,5,7.0,7.0,4.0,5.0,,2.0,1.0,7.0,,1.0,,4.0,,1.0,1.0,,12.0,4.0,,,1.0,1.0,2.0,,3.0,3.0,,,
10382059,home,NEC Nijmegen,Lasse Schöne,,,lasse-schone,L. Schöne,M,,178,570,M,10077,EUR,517536000,M,20,20,False,62.0,58.0,3.0,2.0,22.0,24.0,40.0,48.0,4.0,,,,90.0,82.0,7.7,13.0,2,2.0,4.0,1.0,1.0,,1.0,,3.0,1.0,2.0,,1.0,1.0,,,,10.0,4.0,,,,,1.0,,1.0,1.0,True,,
10382059,home,NEC Nijmegen,Elayis Tavsan,,,elayis-tavsan,E. Tavsan,F,7,183,301,M,929631,EUR,988588800,F,7,7,False,22.0,17.0,,,3.0,3.0,14.0,19.0,3.0,,,,90.0,42.0,7.2,10.0,3,4.0,9.0,2.0,6.0,,1.0,1.0,2.0,,,,1.0,,2.0,,,,,,,3.0,1.0,1.0,,5.0,,,,
10382059,home,NEC Nijmegen,Landry Dimata,,,landry-dimata,L. Dimata,F,10,185,507,M,826944,EUR,873072000,F,19,19,False,16.0,14.0,,,2.0,2.0,12.0,14.0,1.0,,,,90.0,30.0,6.9,6.0,1,5.0,8.0,2.0,2.0,,6.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,
