match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_shotOffTarget,stat_expectedGoals,player_firstName,stat_challengeLost,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss,player_lastName,stat_penaltySave,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
12450192,home,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13363,M,gerorulli,128383,EUR,706320000,G,1,1,False,32.0,31.0,11.0,10.0,0.0,30.0,31.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,90.0,41.0,6.9,2.0,0.00031501,0,-0.7386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183,3561,M,,839493,EUR,823996800,D,62,62,False,49.0,46.0,,,0.0,33.0,36.0,13.0,13.0,1.0,7.0,1.0,,,,,,90.0,60.0,6.6,6.0,0.00831682,0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Luiz Felipe,luiz-felipe,L. Felipe,D,5,187,1042,M,,850035,EUR,858988800,D,4,4,False,34.0,30.0,2.0,1.0,0.0,15.0,16.0,15.0,18.0,4.0,,,,,,,,45.0,42.0,6.8,5.0,0.00576116,0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188,7165,M,leobalerdi5,928236,EUR,917308800,D,5,5,False,77.0,72.0,5.0,3.0,0.0,60.0,63.0,12.0,14.0,6.0,5.0,1.0,,,,,,90.0,96.0,7.2,6.0,0.00422382,1,,4.0,2.0,,,2.0,,2.0,1.0,6.0,4.0,4.0,True,1.0,1.0,0.0558,,,,,,,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,,1102502,EUR,1021507200,D,3,3,False,27.0,23.0,1.0,,0.0,15.0,16.0,8.0,11.0,2.0,2.0,,,,,,,64.0,40.0,6.8,6.0,0.00731149,0,,1.0,,,,,,,,1.0,2.0,2.0,,,,,Quentin Merlin,1.0,1.0,,,,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Ismaël Bennacer,ismael-bennacer,I. Bennacer,M,4,175,31837,M,IsmaëlBennacer,823733,EUR,880934400,M,22,22,False,53.0,50.0,1.0,1.0,0.0,29.0,29.0,23.0,27.0,,3.0,,,,,,,64.0,59.0,6.9,4.0,0.0923853,0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,23,23,False,86.0,81.0,6.0,2.0,0.0,48.0,49.0,33.0,37.0,8.0,7.0,1.0,,,,,,90.0,101.0,7.4,7.0,0.0147285,0,,2.0,1.0,,2.0,2.0,,,,,7.0,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,
12450192,home,Olympique de Marseille,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,58.0,48.0,2.0,1.0,0.0,20.0,22.0,28.0,36.0,4.0,4.0,1.0,,,,,,90.0,68.0,8.9,11.0,0.164263,4,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,1.0,,1.2097,,,1.0,,,,3.0,1.0,2.0,1.5894,,,,,,,,,
12450192,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,MGreenwood,942116,EUR,1001894400,F,10,10,False,31.0,23.0,3.0,1.0,1.0,6.0,10.0,18.0,22.0,3.0,2.0,1.0,,,,,,90.0,47.0,8.8,12.0,0.259498,6,,4.0,,,2.0,,,1.0,,1.0,2.0,1.0,,,1.0,1.9185,,2.0,,1.0,1.0,3.0,4.0,1.0,2.0,2.0407,1.0,1.0,1.0,1.0,,,,,
12450192,home,Olympique de Marseille,Amine Gouiri,amine-gouiri,A. Gouiri,F,9,180,26883,M,amine_gouiri,859026,EUR,950659200,F,9,9,False,18.0,15.0,,,0.0,6.0,7.0,9.0,13.0,1.0,1.0,1.0,,,,,,83.0,31.0,6.5,9.0,0.00806546,3,,2.0,,,2.0,,,1.0,,,,,,,1.0,0.509,,,1.0,2.0,,,2.0,,,0.5175,1.0,,1.0,,,,,,
