match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonTackle,captain,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_errorLeadToAShot
12499289,home,Genoa,Pierluigi Gollini,,,pierluigi-gollini,P. Gollini,G,95,194.0,1254,M,329175,EUR,795484800,G,95,95,False,26.0,23.0,8.0,5.0,0.0,21.0,22.0,2.0,4.0,7.0,4.0,4.0,1.0,1.0,90.0,35.0,7.5,3.0,0.0003775,0,0.5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499289,home,Genoa,Alessandro Vogliacco,,,alessandro-vogliacco,A. Vogliacco,D,4,186.0,344,M,807295,EUR,905731200,D,14,14,False,28.0,22.0,3.0,1.0,0.0,17.0,19.0,5.0,9.0,2.0,,,,,45.0,34.0,6.6,7.0,0.00585257,1,,1.0,3.0,1.0,1.0,2.0,1.0,0.1661,,,,,,,,,,,,,,,,,,,,,,,,,
12499289,home,Genoa,Koni De Winter,,,de-winter-koni,K. De Winter,D,5,191.0,3255,M,1001828,EUR,1023840000,D,4,4,False,46.0,41.0,2.0,,0.0,28.0,29.0,13.0,17.0,5.0,,,,,90.0,60.0,7.8,5.0,0.00582258,2,,3.0,4.0,,4.0,1.0,,0.2093,3.0,5.0,2.0,1.0,3.0,1.0,2.0,0.422,1.0,,,,,,,,,,,,,,,,
12499289,home,Genoa,Johan Vásquez,,,johan-vasquez,J. Vásquez,D,22,185.0,4788,M,889785,EUR,909014400,D,22,22,False,57.0,52.0,4.0,,0.0,36.0,38.0,17.0,21.0,7.0,,,,,90.0,73.0,7.5,7.0,0.0699992,2,,2.0,3.0,1.0,2.0,,1.0,0.1277,2.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
12499289,home,Genoa,Stefano Sabelli,,,stefano-sabelli,S. Sabelli,D,20,179.0,199,M,184421,EUR,726883200,M,20,20,False,31.0,17.0,8.0,1.0,0.0,9.0,12.0,10.0,27.0,5.0,,,,,90.0,64.0,6.3,30.0,0.0292116,1,,,6.0,,,4.0,2.0,0.0467,1.0,10.0,,,,2.0,1.0,,,8.0,2.0,1.0,,,4.0,2.0,2.0,3.0,,,,,,,
12499289,home,Genoa,Morten Thorsby,,,morten-thorsby,M. Thorsby,M,2,189.0,697,M,280991,EUR,831254400,M,2,2,False,5.0,2.0,,,0.0,1.0,2.0,1.0,3.0,,,,,,45.0,18.0,6.7,7.0,0.0007065,0,,3.0,7.0,,1.0,2.0,,,1.0,5.0,,,1.0,2.0,1.0,,1.0,,,,,,,3.0,,1.0,,,,,,,
12499289,home,Genoa,Milan Badelj,,,milan-badelj,M. Badelj,M,,186.0,902,M,39482,EUR,604368000,M,47,47,False,37.0,29.0,1.0,1.0,0.0,12.0,13.0,17.0,25.0,2.0,,,,,80.0,48.0,7.1,10.0,0.0120462,1,,1.0,3.0,1.0,1.0,1.0,,0.0796,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,True,,,,,,
12499289,home,Genoa,Morten Frendrup,,,morten-frendrup,M. Frendrup,M,32,178.0,1679,M,918440,EUR,986601600,M,32,32,False,38.0,34.0,,,0.0,15.0,17.0,19.0,21.0,7.0,,,,,90.0,58.0,7.2,8.0,0.0334266,0,,,8.0,,,6.0,2.0,,,6.0,,,2.0,,1.0,,,,,,,,3.0,2.0,2.0,3.0,,2.0,,,,,
12499289,home,Genoa,Aarón Martín,,,aaron-martin,A. Martín,D,3,180.0,1144,M,797286,EUR,861667200,M,3,3,False,37.0,29.0,6.0,2.0,0.0,11.0,12.0,23.0,39.0,4.0,,,,,90.0,71.0,7.9,20.0,0.660194,1,,2.0,9.0,,2.0,5.0,1.0,0.0438,,2.0,1.0,,1.0,2.0,,0.029,5.0,14.0,5.0,,,,1.0,1.0,,4.0,,,,,,,
12499289,home,Genoa,Andrea Pinamonti,,,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,19,19,False,6.0,6.0,,,0.0,,,6.0,7.0,,,,,,90.0,14.0,6.7,3.0,0.0256725,2,,2.0,3.0,2.0,1.0,1.0,1.0,0.1201,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,
