match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoals,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_keyPass,stat_shotOffTarget,stat_errorLeadToAGoal,stat_fouls,captain,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_hitWoodwork
12504369,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,29,29,False,43.0,39.0,10.0,6.0,0.0,33.0,33.0,6.0,10.0,1.0,6.0,4.0,1.0,5.0,90.0,53.0,7.3,4.0,0.00486127,0,-0.1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504369,home,Juventus,Timothy Weah,,,weah-timothy,T. Weah,M,22,185,11671,M,timothyweah,855810,EUR,951177600,D,22,22,False,24.0,19.0,,,0.0,10.0,13.0,9.0,12.0,1.0,2.0,,,,54.0,43.0,6.4,11.0,0.00832226,1,,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0354,,,,,,,,,,,,,,,,,,,,
12504369,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,32.0,28.0,1.0,,0.0,20.0,23.0,8.0,9.0,,3.0,,,,54.0,41.0,6.9,5.0,0.00313442,0,,,,3.0,4.0,1.0,,,3.0,3.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
12504369,home,Juventus,Lloyd Kelly,,,lloyd-kelly,L. Kelly,D,6,191,3053,M,,865167,EUR,907632000,D,6,6,False,67.0,59.0,6.0,2.0,0.0,46.0,46.0,13.0,21.0,2.0,6.0,,,,90.0,79.0,6.0,9.0,0.00920765,1,,,1.0,5.0,3.0,,,1.0,2.0,2.0,,1.0,0.0203,4.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,
12504369,home,Juventus,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,D,27,27,False,64.0,60.0,4.0,3.0,0.0,25.0,25.0,35.0,41.0,1.0,7.0,,,,90.0,86.0,5.9,14.0,0.0589315,0,,2.0,,8.0,2.0,2.0,,,1.0,,,1.0,,,,5.0,1.0,,,,,2.0,,,,,,,,,,,
12504369,home,Juventus,Khéphren Thuram,,,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,68.0,63.0,2.0,2.0,0.0,31.0,32.0,32.0,36.0,1.0,4.0,,,,90.0,79.0,6.7,8.0,0.0623536,1,,,2.0,6.0,3.0,1.0,,1.0,1.0,1.0,,1.0,0.0477,3.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,
12504369,home,Juventus,Manuel Locatelli,,,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,81.0,73.0,2.0,2.0,0.0,30.0,30.0,43.0,52.0,1.0,4.0,,,,90.0,99.0,7.1,13.0,0.0524057,0,,1.0,,2.0,7.0,,,1.0,2.0,2.0,,2.0,,,1.0,3.0,2.0,,,,,1.0,True,3.0,,,,,,,,,
12504369,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,M,10,10,False,12.0,9.0,,,0.0,4.0,5.0,5.0,11.0,,,,,,45.0,26.0,5.7,12.0,0.00371095,0,,4.0,,4.0,,1.0,,,,,2.0,2.0,,,,2.0,,,,,,1.0,,,,,,,,,,,
12504369,home,Juventus,Weston McKennie,,,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,M,16,16,False,51.0,43.0,1.0,,0.0,23.0,24.0,20.0,27.0,,5.0,,,,90.0,65.0,6.0,10.0,0.0552308,4,,,2.0,2.0,4.0,,2.0,,1.0,,,1.0,0.6034,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,0.7645,,,,,
12504369,home,Juventus,Nicolás González,,,nicolas-gonzalez,N. González,M,23,180,17229,M,nicoigonzalez,901325,EUR,891820800,M,11,11,False,15.0,9.0,,,0.0,3.0,3.0,7.0,13.0,2.0,1.0,,,,53.0,30.0,7.0,9.0,0.00841532,0,,1.0,4.0,2.0,9.0,1.0,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,,1.0,,4.0,,,,,1.0,,,,
