match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wasFouled,stat_duelLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_errorLeadToAGoal,stat_goalAssist,stat_hitWoodwork
10408383,home,Almería,Fernando Martínez,fernando-martinez,F. Martínez,G,13,185,172,M,139925,EUR,644976000,G,13,13,False,31.0,26.0,16.0,11.0,23.0,24.0,3.0,7.0,1.0,4.0,3.0,4.0,1.0,1.0,90.0,40.0,6.4,5.0,0.0,0.0,0.00337517,0,0.3743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408383,home,Almería,Alejandro Pozo,alejandro-pozo,A. Pozo,D,7,174,158,M,848080,EUR,919641600,D,17,17,False,20.0,9.0,5.0,,4.0,5.0,5.0,17.0,,4.0,,,,,45.0,40.0,6.3,13.0,0.0,0.0,0.00322035,0,,,,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10408383,home,Almería,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,877,M,168745,EUR,752284800,D,19,19,False,15.0,9.0,6.0,,7.0,8.0,2.0,7.0,,3.0,,,,,33.0,18.0,6.3,7.0,0.0,0.0,0.00056578,0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10408383,home,Almería,Srđan Babić,srdan-babic,S. Babić,D,6,195,634,M,280815,EUR,830131200,D,22,22,False,46.0,38.0,4.0,1.0,34.0,35.0,4.0,11.0,4.0,7.0,,,,,90.0,59.0,6.4,10.0,0.1971,0.5201,0.00228754,2,,,,,4.0,,,3.0,,5.0,,1.0,2.0,True,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10408383,home,Almería,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,False,41.0,31.0,7.0,2.0,17.0,21.0,15.0,25.0,1.0,6.0,,,,,90.0,58.0,6.6,16.0,0.0,0.0,0.173934,0,,,,5.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10408383,home,Almería,Íñigo Eguaras,inigo-eguaras,Í. Eguaras,M,16,181,52,M,572198,EUR,699926400,M,4,4,False,43.0,36.0,6.0,3.0,18.0,19.0,18.0,24.0,,8.0,,,,,90.0,48.0,6.7,9.0,0.0,0.0,0.200837,0,,,,,3.0,,,,,4.0,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,2.0,1.0,,,,,,,,,
10408383,home,Almería,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,23,23,False,63.0,45.0,9.0,4.0,28.0,37.0,17.0,26.0,2.0,11.0,,,,,90.0,85.0,8.4,18.0,0.8377,1.1975,0.0144401,3,,,,,16.0,,,2.0,2.0,7.0,1.0,,4.0,,1.0,6.0,2.0,,3.0,8.0,4.0,,,1.0,,1.0,1.0,,,,,,,
10408383,home,Almería,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,M,10,10,False,19.0,13.0,2.0,1.0,4.0,5.0,12.0,20.0,,5.0,,,,,73.0,55.0,6.4,20.0,0.0502,0.1305,0.180611,2,,,,6.0,9.0,10.0,4.0,,2.0,14.0,,,,,3.0,2.0,1.0,,1.0,1.0,,3.0,1.0,4.0,4.0,,,1.0,,,,,,
10408383,home,Almería,Gonzalo Melero,gonzalo-melero,G. Melero,M,16,183,159,M,789886,EUR,757468800,M,3,3,False,19.0,13.0,2.0,2.0,7.0,8.0,6.0,12.0,,3.0,,,,,58.0,29.0,6.6,11.0,0.0,0.0,0.0218411,0,,,,1.0,3.0,2.0,2.0,,1.0,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,
10408383,home,Almería,Francisco Portillo,francisco-portillo,F. Portillo,M,20,169,93,M,106288,EUR,645235200,M,8,8,False,28.0,19.0,2.0,,5.0,6.0,14.0,24.0,,6.0,,,,,73.0,39.0,6.0,14.0,0.0,0.0,0.0732683,0,,,,2.0,,,,1.0,,4.0,,1.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,
