match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_penaltyConceded,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_penaltyWon,stat_totalOffside
12764301,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188.0,21392,M,996953,EUR,1005004800,G,30,30,False,32.0,19.0,26.0,13.0,0.0,18.0,21.0,1.0,11.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,2.0,2.0,90.0,45.0,7.4,13.0,0.00022165,0,0.8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764301,home,Lille,Aïssa Mandi,,,aissa-mandi,A. Mandi,D,23,186.0,10286,M,122810,EUR,688089600,D,2,2,False,31.0,20.0,1.0,,0.0,8.0,14.0,12.0,17.0,,1.0,1.0,2.0,,,,,,90.0,55.0,6.7,13.0,0.00582073,0,,aissamandi23,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12764301,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182.0,1852,M,962408,EUR,978739200,D,18,18,False,47.0,43.0,8.0,6.0,0.0,31.0,31.0,12.0,16.0,,,4.0,3.0,,,,,,90.0,57.0,7.1,5.0,0.0102918,0,,,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12764301,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192.0,4607,M,1049775,EUR,934156800,D,4,4,False,54.0,46.0,9.0,4.0,0.0,40.0,44.0,6.0,10.0,1.0,3.0,4.0,6.0,,,,,,90.0,66.0,6.6,10.0,0.00330281,0,,,,3.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
12764301,home,Lille,Gabriel Gudmundsson,,,gabriel-gudmundsson,G. Gudmundsson,D,3,181.0,1203,M,834308,EUR,925344000,D,5,5,False,13.0,10.0,1.0,1.0,0.0,5.0,8.0,5.0,5.0,,1.0,3.0,1.0,,,,,,81.0,32.0,6.3,10.0,0.0107088,0,,,,4.0,2.0,2.0,,1.0,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,
12764301,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180.0,767,M,51665,EUR,649641600,M,21,21,False,35.0,28.0,,,0.0,11.0,13.0,17.0,22.0,5.0,8.0,2.0,5.0,,,,,,90.0,55.0,6.5,12.0,0.00576195,1,,,6.0,12.0,2.0,2.0,,3.0,2.0,2.0,4.0,,3.0,2.0,,,True,1.0,1.0,0.0889,,,,,,,,,,,,
12764301,home,Lille,Ayyoub Bouaddi,Ayyoub Bouaddi,,bouaddi-ayyoub,A. Bouaddi,M,32,185.0,5460,M,1564180,EUR,1191283200,M,32,32,False,30.0,26.0,3.0,3.0,0.0,17.0,19.0,9.0,11.0,1.0,4.0,1.0,6.0,,,,,,90.0,42.0,7.0,6.0,0.011825,0,,,1.0,5.0,,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12764301,home,Lille,Edon Zhegrova,,,edon-zhegrova,E. Zhegrova,M,11,181.0,9905,M,887766,EUR,922838400,M,23,23,False,21.0,15.0,1.0,1.0,1.0,4.0,4.0,12.0,18.0,,11.0,,5.0,,,,,,90.0,51.0,7.8,16.0,0.221415,3,,edonzhegrova10,,7.0,3.0,,,,2.0,,,2.0,4.0,1.0,12.0,8.0,,,,0.2012,1.0,1.0,1.0,2.0,1.0,0.1692,,,,,,
12764301,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168.0,3456,M,867441,EUR,967680000,M,8,8,False,11.0,11.0,3.0,3.0,0.0,4.0,4.0,7.0,7.0,,1.0,,1.0,,,,,,55.0,14.0,6.7,1.0,0.0261607,0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12764301,home,Lille,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,11,170.0,7349,M,965357,EUR,992217600,M,11,11,False,11.0,8.0,,,0.0,4.0,5.0,4.0,6.0,,2.0,,3.0,,,,,,87.0,24.0,6.5,9.0,0.0127375,0,,osamesahraoui,,3.0,,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
