match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_interceptionWon,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_bigChanceMissed,captain,stat_savedShotsFromInsideTheBox,stat_hitWoodwork,stat_clearanceOffLine,stat_lastManTackle,player_sofascoreId
12421146,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,33.0,6.0,32.0,5.0,0.0,2.0,3.0,4.0,30.0,1.0,8.0,4.0,90.0,39.0,7.1,27.0,0.00121454,0,0.6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421146,home,Cercle Brugge,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178.0,2182,M,1168646,EUR,1067558400,D,2,2,False,23.0,12.0,5.0,,0.0,2.0,3.0,10.0,20.0,2.0,5.0,,90.0,36.0,7.1,13.0,0.0086123,0,,Ibrahim Diakité,,3.0,2.0,9.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12421146,home,Cercle Brugge,Abu Francis,francis-abu,A. Francis,M,17,182.0,1501,M,988801,EUR,988329600,D,17,17,False,41.0,32.0,11.0,6.0,0.0,15.0,20.0,17.0,21.0,5.0,12.0,,90.0,56.0,7.5,9.0,0.0117834,0,,,,2.0,,7.0,,,,1.0,1.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,
12421146,home,Cercle Brugge,Emmanuel Kakou,emmanuel-kakou,E. Kakou,D,5,,182,M,1847412,EUR,1120089600,D,90,90,False,24.0,18.0,1.0,,0.0,12.0,13.0,6.0,11.0,7.0,2.0,,90.0,47.0,7.5,7.0,0.00806594,3,,Emmanuel Kakou,,,4.0,5.0,,,,3.0,2.0,2.0,1.0,,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0538,0.0341,,,,,,,,,,,,
12421146,home,Cercle Brugge,Erick Nunes,erick-nunes,E. Nunes,M,8,180.0,148,M,1894087,EUR,1078012800,M,8,8,False,12.0,6.0,,,0.0,1.0,1.0,5.0,19.0,1.0,,,63.0,47.0,7.6,21.0,0.507671,1,,,,,4.0,7.0,,3.0,2.0,5.0,1.0,,,,3.0,1.0,2.0,1.0,,,3.0,0.2316,0.2104,8.0,1.0,2.0,,,,,,,,,
12421146,home,Cercle Brugge,Lawrence Agyekum,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,27.0,17.0,4.0,1.0,0.0,3.0,4.0,14.0,24.0,,6.0,,90.0,50.0,7.5,16.0,0.0478286,1,,Lawrence Agyekum,,1.0,3.0,9.0,,1.0,1.0,5.0,2.0,2.0,1.0,,3.0,1.0,1.0,,1.0,,4.0,0.0476,,1.0,,1.0,,,,,,,,,
12421146,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,43.0,29.0,6.0,3.0,0.0,11.0,12.0,18.0,31.0,,8.0,,89.0,57.0,7.2,14.0,0.0424461,2,,,,1.0,9.0,8.0,,2.0,2.0,4.0,4.0,1.0,2.0,,3.0,2.0,5.0,,,,,0.0849,,,,,2.0,,,,,,,,
12421146,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,M,15,15,False,22.0,16.0,3.0,,0.0,3.0,4.0,14.0,30.0,6.0,2.0,,72.0,55.0,6.1,25.0,0.0223778,0,,,,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,3.0,,,,1.0,,,12.0,,,,1.0,,,,,,,
12421146,home,Cercle Brugge,Alan Minda,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,F,11,11,False,9.0,7.0,,,0.0,1.0,1.0,7.0,11.0,,3.0,,75.0,29.0,7.5,10.0,0.128021,1,,,,,6.0,6.0,,4.0,3.0,,,3.0,,,,3.0,2.0,1.0,,,5.0,0.0475,0.1109,3.0,1.0,3.0,,1.0,,,,,,,
12421146,home,Cercle Brugge,Kévin Denkey,kevin-denkey,K. Denkey,F,9,181.0,3511,M,862470,EUR,975542400,F,9,9,False,19.0,14.0,1.0,1.0,0.0,2.0,2.0,12.0,17.0,,6.0,,89.0,39.0,6.5,12.0,0.0529403,5,,,,2.0,14.0,6.0,1.0,5.0,3.0,1.0,1.0,,2.0,1.0,,9.0,,3.0,1.0,,4.0,0.9176,0.77,,,,1.0,,2.0,,,,,,
