match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_wasFouled,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_ownGoals,stat_errorLeadToAShot
12499389,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,24.0,16.0,11.0,3.0,0.0,14.0,15.0,2.0,9.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,34.0,7.3,8.0,0.00067144,0,0.1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499389,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,54.0,42.0,2.0,,0.0,25.0,29.0,20.0,33.0,,4.0,,,,,,,85.0,91.0,7.7,21.0,0.223526,1,,8.0,3.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0244,3.0,,,,,,,,,,,,,,,
12499389,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,D,23,23,False,96.0,87.0,8.0,3.0,0.0,63.0,68.0,24.0,28.0,2.0,5.0,,,,,,,90.0,103.0,7.1,9.0,0.015497,0,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,True,,,,,,,,,,,,
12499389,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,104.0,96.0,14.0,9.0,0.0,58.0,59.0,38.0,46.0,6.0,13.0,,,,,,,90.0,113.0,7.8,10.0,0.234361,0,,1.0,,1.0,5.0,1.0,5.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
12499389,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,False,42.0,38.0,1.0,1.0,0.0,20.0,22.0,18.0,21.0,,5.0,,,,,,,70.0,66.0,7.0,7.0,0.0368922,0,,1.0,,3.0,1.0,5.0,8.0,,2.0,2.0,,,1.0,3.0,,2.0,2.0,,,,,,,2.0,,,,,,,,,,
12499389,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,False,52.0,48.0,6.0,3.0,0.0,20.0,21.0,29.0,33.0,1.0,7.0,,,,,,,84.0,62.0,7.6,5.0,0.214744,0,,2.0,1.0,,1.0,,6.0,,,,,,1.0,4.0,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,
12499389,home,Borussia Dortmund,Pascal Groß,pascal-gross,P. Groß,M,30,181,4705,M,pascalgross65,48480,EUR,676944000,M,13,13,False,57.0,50.0,7.0,2.0,4.0,23.0,24.0,31.0,43.0,1.0,2.0,,,,,,,90.0,80.0,10.0,17.0,1.38619,3,,10.0,4.0,3.0,2.0,6.0,5.0,1.0,1.0,,1.0,,,2.0,2.0,2.0,,0.4543,7.0,,,,4.0,1.0,1.0,1.0,2.0,1.0,0.7618,,,,,
12499389,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,33.0,25.0,1.0,1.0,0.0,8.0,8.0,17.0,25.0,,4.0,,,,,,,90.0,56.0,7.3,15.0,0.681844,5,,,,,3.0,9.0,8.0,2.0,7.0,2.0,2.0,,1.0,1.0,1.0,,2.0,0.7236,4.0,,,,1.0,2.0,,2.0,,1.0,,3.0,,,,
12499389,home,Borussia Dortmund,Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185,5027,M,gioareyna,989056,EUR,1037145600,M,7,7,False,23.0,20.0,,,0.0,6.0,7.0,14.0,16.0,,2.0,,,,,,,70.0,33.0,6.6,4.0,0.0106799,0,,,,,,4.0,3.0,1.0,,,,1.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,
12499389,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,,980628,EUR,1034812800,M,14,14,False,32.0,23.0,,,1.0,5.0,7.0,19.0,27.0,,2.0,,,,,,,90.0,51.0,8.6,15.0,0.691223,6,,2.0,1.0,1.0,,5.0,4.0,2.0,4.0,3.0,4.0,,,,,2.0,1.0,0.7985,1.0,,,,1.0,1.0,,1.0,2.0,,0.8817,,1.0,,,
