match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,player_sofascoreId,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_onTargetScoringAttempt,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_goals,stat_accurateCross,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goalAssist,stat_totalOffside,stat_clearanceOffLine,stat_outfielderBlock,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceCreated,stat_hitWoodwork
11067280,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,28.0,17.0,18.0,8.0,11.0,16.0,6.0,12.0,7.0,1.0,3.0,90.0,37.0,6.6,11.0,0.0,0.0,0.00053659,0,0.0749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067280,home,São Paulo,Rafinha,rafinha,Rafinha,D,13,172,1493,M,12634,EUR,494899200,D,13,13,False,57.0,53.0,3.0,3.0,25.0,26.0,28.0,32.0,6.0,,,90.0,77.0,6.8,9.0,0.0,0.0,0.0151485,0,,True,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11067280,home,São Paulo,Diego Costa,diego-costa,D. Costa,D,4,184,1151,M,995293,EUR,932515200,D,4,4,False,26.0,25.0,1.0,1.0,15.0,15.0,10.0,11.0,1.0,,,28.0,28.0,6.4,1.0,0.0,0.0,0.00244957,0,,,,2.0,,,,1.0,,,1.0,Diego,Costa,1.0,,,,,,,,,,,,,,,,,,,,,,
11067280,home,São Paulo,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17540,M,1108441,EUR,1069632000,D,35,35,False,69.0,60.0,7.0,4.0,39.0,40.0,21.0,29.0,2.0,,,90.0,75.0,6.7,9.0,0.0,0.0,0.00872382,0,,,,,2.0,,,4.0,,,,Lucas Beraldo,,,lberaldo,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067280,home,São Paulo,Caio Paulista,caio-paulista,C. Paulista,D,38,184,1649,M,931591,EUR,894844800,D,38,38,False,39.0,37.0,,,20.0,21.0,17.0,20.0,6.0,,,90.0,59.0,6.5,9.0,0.061,0.031,0.0505635,1,,,2.0,4.0,2.0,2.0,1.0,1.0,,3.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
11067280,home,São Paulo,Luan Santos,luan-santos,Luan,M,33,173,2976,M,942426,EUR,926640000,M,8,8,False,23.0,21.0,1.0,,9.0,10.0,12.0,13.0,2.0,,,45.0,29.0,6.1,5.0,0.0,0.0,0.00538472,0,,,,5.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
11067280,home,São Paulo,Gabriel Neves,gabriel-neves,G. Neves,M,8,171,741,M,875294,EUR,871257600,M,20,20,False,65.0,56.0,3.0,3.0,28.0,31.0,28.0,36.0,6.0,,,90.0,73.0,7.2,13.0,0.1026,0.1764,0.0129413,1,,,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
11067280,home,São Paulo,Wellington Rato,wellington-rato,W. Rato,M,10,172,1278,M,865356,EUR,708825600,M,27,27,False,36.0,34.0,4.0,3.0,11.0,11.0,25.0,31.0,3.0,,,80.0,53.0,6.8,11.0,0.0,0.0,0.159212,0,,,6.0,3.0,3.0,6.0,3.0,1.0,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
11067280,home,São Paulo,Luciano,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,M,10,10,False,23.0,14.0,2.0,2.0,4.0,5.0,10.0,18.0,1.0,,,80.0,30.0,7.0,11.0,0.3065,0.3427,0.0345421,3,,,,3.0,3.0,,,,,,1.0,,,,luciano10,1.0,,,1.0,2.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,
11067280,home,São Paulo,Rodrigo Nestor,rodrigo-nestor,R. Nestor,M,11,174,2064,M,905461,EUR,965779200,M,11,11,False,20.0,15.0,,,5.0,5.0,10.0,16.0,3.0,,,45.0,29.0,6.9,6.0,0.1016,0.4345,0.0176222,2,,,1.0,3.0,3.0,1.0,1.0,,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
