match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_wasFouled,stat_totalOffside,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot
11369370,home,Real Betis,Claudio Bravo,claudio-bravo,C. Bravo,G,184,2223,M,13249,EUR,419040000,G,1,1,False,23.0,17.0,11.0,5.0,14.0,16.0,3.0,7.0,1.0,1.0,1.0,8.0,1.0,90.0,29.0,6.5,6.0,0.00022802,0,-0.6537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369370,home,Real Betis,Héctor Bellerín,hector-bellerin,H. Bellerín,D,178,3870,M,188365,EUR,795571200,D,2,2,False,42.0,34.0,2.0,1.0,19.0,21.0,15.0,23.0,1.0,5.0,2.0,4.0,,90.0,73.0,6.5,19.0,0.0157594,0,,2,Bellerín,2.0,1.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11369370,home,Real Betis,Germán Pezzella,german-pezzella,G. Pezzella,D,187,3493,M,158241,EUR,677980800,D,6,6,False,53.0,38.0,9.0,3.0,27.0,32.0,11.0,21.0,4.0,5.0,2.0,9.0,,90.0,60.0,6.7,16.0,0.00457018,0,,6,germanpezzella,,1.0,2.0,1.0,,,2.0,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,
11369370,home,Real Betis,Chadi Riad,chadi-riad,C. Riad,D,186,10944,M,1064218,EUR,1047859200,D,28,28,False,49.0,44.0,4.0,3.0,37.0,41.0,7.0,8.0,6.0,6.0,7.0,4.0,,90.0,59.0,6.8,6.0,0.00153152,0,,34,chadiriad17,,4.0,5.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11369370,home,Real Betis,Juan Miranda,juan-miranda,J. Miranda,D,185,2208,M,855829,EUR,948240000,D,3,3,False,41.0,38.0,4.0,4.0,16.0,18.0,22.0,28.0,1.0,7.0,1.0,2.0,,87.0,73.0,7.5,12.0,0.0169868,0,,33,,5.0,2.0,3.0,,1.0,,1.0,1.0,,,2.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,
11369370,home,Real Betis,Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,185,3908,M,609752,EUR,766108800,M,5,5,False,44.0,38.0,8.0,3.0,25.0,26.0,13.0,18.0,1.0,6.0,4.0,9.0,,90.0,63.0,7.1,7.0,0.00640229,1,,2,guiido_rodriguez,,,5.0,1.0,2.0,2.0,2.0,,3.0,,1.0,1.0,,2.0,,1.0,1.0,0.0179,,,,,,,,,,,,
11369370,home,Real Betis,Marc Roca,marc-roca,M. Roca,M,184,1491,M,847128,EUR,848966400,M,21,21,False,43.0,33.0,6.0,2.0,11.0,13.0,22.0,31.0,,2.0,1.0,5.0,,87.0,52.0,6.8,12.0,0.0381024,2,,21,,1.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,2.0,0.0345,,,,,,,,,,,,
11369370,home,Real Betis,Assane Diao,assane-diao,A. Diao,F,185,18044,M,1493689,EUR,1126051200,M,38,38,False,24.0,18.0,,,5.0,6.0,13.0,19.0,1.0,10.0,1.0,4.0,,90.0,53.0,6.9,18.0,0.121019,1,,38,,1.0,2.0,9.0,3.0,6.0,3.0,,5.0,1.0,,1.0,1.0,,5.0,,,1.0,0.0221,,,1.0,,,,,,,,,
11369370,home,Real Betis,Isco,isco,Isco,M,176,26276,M,103417,EUR,703814400,M,22,22,False,41.0,34.0,,,10.0,10.0,27.0,39.0,2.0,12.0,1.0,5.0,,90.0,79.0,7.9,23.0,0.381876,2,,22,iscoalarcon,8.0,1.0,13.0,7.0,2.0,1.0,1.0,3.0,2.0,,1.0,1.0,,8.0,,2.0,1.0,0.6264,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0697,,
11369370,home,Real Betis,Ayoze Pérez,ayoze-perez,A. Pérez,F,180,3785,M,345195,EUR,743385600,M,10,10,False,26.0,21.0,,,5.0,6.0,16.0,20.0,1.0,8.0,,8.0,,75.0,42.0,7.5,10.0,0.468938,0,,22,,,,5.0,2.0,3.0,3.0,,2.0,1.0,,2.0,2.0,,2.0,,2.0,,,,,1.0,,,1.0,,,,,,
