match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialWon,stat_interceptionWon,captain,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_challengeLost,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_crossNotClaimed,stat_punches,stat_clearanceOffLine,stat_ownGoals,stat_errorLeadToAGoal
12436544,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,38.0,36.0,4.0,2.0,0.0,36.0,36.0,2.0,6.0,1.0,1.0,2.0,90.0,45.0,6.7,2.0,0.00012015,0,-0.1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436544,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,42.0,30.0,8.0,1.0,0.0,14.0,17.0,25.0,4.0,,,,76.0,53.0,6.7,13.0,0.0101946,3,,16.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.1718,,,,,,,,,,,,,,,,,,,,,,,,,
12436544,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,79.0,68.0,6.0,1.0,0.0,44.0,48.0,31.0,2.0,,,,90.0,88.0,6.8,11.0,0.0176807,1,,24.0,1.0,2.0,4.0,,,1.0,,6.0,,,2.0,0.0361,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436544,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,81.0,75.0,8.0,5.0,0.0,53.0,55.0,26.0,4.0,,,,90.0,95.0,7.3,7.0,0.0593218,1,,22.0,1.0,1.0,2.0,,,1.0,,7.0,1.0,1.0,,0.0199,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12436544,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,53.0,43.0,5.0,3.0,0.0,22.0,29.0,29.0,2.0,,,,90.0,72.0,6.7,17.0,0.0406448,1,,22.0,,2.0,1.0,,,,,1.0,,,1.0,0.0638,,,,,,,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12436544,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,40.0,35.0,2.0,2.0,1.0,15.0,16.0,24.0,8.0,,,,90.0,63.0,7.1,14.0,0.0248956,1,,20.0,1.0,8.0,7.0,5.0,3.0,,,,3.0,2.0,2.0,0.0224,,,1.0,1.0,,,3.0,1.0,,,2.0,1.0,,1.0,1.0,0.0864,,,,,,,,,
12436544,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,38.0,34.0,,,0.0,12.0,13.0,29.0,7.0,,,,83.0,60.0,8.4,9.0,0.631949,3,,23.0,1.0,5.0,8.0,,,,1.0,1.0,7.0,4.0,1.0,0.1461,,,1.0,1.0,,1.0,2.0,2.0,4.0,1.0,,2.0,,3.0,,0.2323,1.0,,,,,,,,
12436544,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,33.0,26.0,1.0,,0.0,10.0,11.0,25.0,3.0,,,,90.0,48.0,8.0,16.0,0.332821,4,,16.0,,5.0,1.0,2.0,1.0,1.0,2.0,,,,,0.2078,,,,,,,3.0,6.0,3.0,,2.0,1.0,,2.0,,0.2696,1.0,1.0,1.0,,,,,,
12436544,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,22.0,19.0,1.0,,2.0,8.0,9.0,14.0,3.0,,,,68.0,30.0,8.0,5.0,0.641867,2,,11.0,,5.0,3.0,,,1.0,,,1.0,,2.0,0.2798,,,,,,,,8.0,1.0,,1.0,1.0,2.0,2.0,,0.3719,,1.0,,1.0,,,,,
12436544,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,M,18,18,False,16.0,11.0,,,0.0,3.0,4.0,15.0,4.0,,,,68.0,37.0,8.0,10.0,0.0234503,3,,8.0,1.0,3.0,6.0,1.0,1.0,2.0,,,2.0,2.0,1.0,0.1778,,,,2.0,,,1.0,1.0,3.0,,1.0,1.0,3.0,,,0.7452,1.0,,,,,,,,
