match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_goals,stat_lastManTackle,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_blockedScoringAttempt
12528092,home,Kayserispor,Onurcan Piri,onurcan-piri,O. Piri,G,1,190.0,61,M,213542,EUR,780710400,G,1,1,False,31.0,24.0,10.0,3.0,0.0,21.0,21.0,3.0,10.0,1.0,1.0,1.0,11.0,1.0,3.0,5.0,90.0,45.0,7.5,8.0,0.00061705,0,-0.1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528092,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179.0,949,M,595396,EUR,780019200,D,11,11,False,47.0,34.0,10.0,5.0,1.0,18.0,21.0,17.0,30.0,9.0,2.0,1.0,7.0,,,,90.0,82.0,7.7,18.0,0.086077,2,,True,4.0,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,0.1845,0.2203,1.0,,,,,,,,,,,,
12528092,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187.0,803,M,359332,EUR,835228800,D,5,5,False,49.0,44.0,8.0,5.0,0.0,22.0,24.0,22.0,25.0,7.0,,,3.0,,,,90.0,61.0,7.1,5.0,0.0139267,0,,,,,1.0,5.0,4.0,2.0,,,,8.0,,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,
12528092,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180.0,183,M,332963,EUR,769564800,D,3,3,False,48.0,43.0,6.0,3.0,0.0,35.0,35.0,8.0,13.0,3.0,,,3.0,,,,90.0,60.0,6.7,6.0,0.0027655,0,,,,,,,2.0,1.0,1.0,,,6.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12528092,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180.0,84,M,122922,EUR,671414400,D,23,23,False,48.0,38.0,8.0,5.0,0.0,19.0,20.0,19.0,29.0,4.0,1.0,1.0,5.0,,,,89.0,65.0,7.0,14.0,0.0109644,0,,,1.0,,,,1.0,,,,,1.0,,3.0,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,
12528092,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177.0,1057,M,966811,EUR,973296000,M,8,8,False,35.0,28.0,3.0,1.0,0.0,12.0,12.0,17.0,33.0,3.0,,,2.0,,,,89.0,54.0,7.0,17.0,0.193901,0,,,10.0,1.0,,,3.0,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12528092,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172.0,61,M,781408,EUR,822268800,M,28,28,False,27.0,16.0,2.0,,0.0,5.0,8.0,11.0,25.0,1.0,,,4.0,,,,69.0,45.0,6.6,21.0,0.0242614,1,,,6.0,,,,3.0,2.0,,1.0,,2.0,,1.0,,,1.0,1.0,0.1164,,2.0,,,4.0,,,,,,,,,
12528092,home,Kayserispor,Baran Ali Gezek,baran-ali-gezek,B. A. Gezek,M,55,182.0,95,M,1215110,EUR,1125014400,M,26,26,False,27.0,23.0,4.0,4.0,0.0,8.0,9.0,15.0,19.0,6.0,,,4.0,,,,90.0,36.0,7.0,5.0,0.01521,0,,,1.0,,1.0,2.0,5.0,3.0,,,,1.0,,2.0,3.0,2.0,1.0,1.0,,,,Baran Ali Gezek,,,,,,,,,,,
12528092,home,Kayserispor,Mehmet Eray Özbek,mehmet-eray-ozbek,M. E. Özbek,M,16,178.0,34,M,1011955,EUR,1042070400,M,16,16,False,14.0,13.0,,,0.0,5.0,5.0,9.0,11.0,3.0,1.0,1.0,1.0,,,,45.0,23.0,6.8,3.0,0.025374,1,,,2.0,1.0,,1.0,4.0,2.0,,,1.0,1.0,,,1.0,1.0,,2.0,0.0319,0.0132,1.0,,,1.0,,,,,,,,,
12528092,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176.0,326,M,344009,EUR,771984000,M,7,7,False,26.0,19.0,1.0,,0.0,8.0,9.0,12.0,18.0,3.0,2.0,1.0,4.0,,,,90.0,44.0,6.3,14.0,0.184471,1,,,1.0,1.0,,1.0,5.0,,3.0,,1.0,,,,,,1.0,1.0,0.363,0.247,2.0,,,3.0,1.0,1.0,,,,,,,
