match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_totalContest,stat_wonContest,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_lastManTackle,stat_bigChanceMissed,stat_hitWoodwork
14109737,home,Fatih Karagümrük,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1121,M,283847,EUR,821923200,G,13,13,False,39.0,29.0,14.0,5.0,0.0,26.0,28.0,3.0,11.0,1.0,2.0,1.0,2.0,2.0,10.0,3.0,4.0,4.0,2.0,90.0,57.0,7.7,10.0,0.00302432,82.626890977621,12.0,32.445,11.655,0.6193,0,0.8785,0.18,-0.03,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Ricardo Esgaio,,,ricardo-esgaio,R. Esgaio,D,47,171.0,675,M,97000,EUR,737510400,D,47,47,False,48.0,40.0,6.0,2.0,0.0,22.0,25.0,18.0,23.0,1.0,1.0,2.0,4.0,,6.0,,,,,90.0,71.0,6.9,15.0,0.0831967,93.568817119569,12.0,0.63,15.96,,0,,0.11,0.09,-0.02,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.239416207359,1.0,1.0,,,,,,,,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Atakan Çankaya,Atakan Cankaya,,atakan-cankaya,A. Çankaya,D,35,180.0,44,M,1066338,EUR,898732800,D,6,6,False,37.0,31.0,7.0,3.0,0.0,26.0,27.0,5.0,10.0,3.0,,4.0,2.0,11.0,1.0,,,,,90.0,53.0,6.8,7.0,0.00288761,205.38910961945,20.0,111.405,25.095,,0,,0.09,0.07,0.2,,,,,,,,1.0,2.0,,25.343568888379,1.0,,True,1.0,,,,,,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185.0,292,M,171625,EUR,779068800,D,29,29,False,32.0,24.0,9.0,3.0,0.0,19.0,20.0,5.0,12.0,1.0,2.0,3.0,3.0,11.0,4.0,,,,,90.0,48.0,6.7,9.0,0.00213951,133.20430451026,14.0,72.03,18.585,,1,,0.06,0.11,0.16,,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,0.0224,-0.05,,,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Çağtay Kurukalıp,,,cagtay-kurukalip,Ç. Kurukalıp,D,33,172.0,81,M,962620,EUR,1014508800,D,33,33,False,16.0,12.0,1.0,1.0,0.0,4.0,6.0,8.0,10.0,2.0,2.0,6.0,6.0,5.0,2.0,,,,,90.0,47.0,6.6,11.0,0.0550476,74.581353945126,8.0,22.365,24.045,,1,,0.16,0.08,-0.01,,2.0,2.0,,4.0,3.0,3.0,,,1.0,24.183446425189,1.0,1.0,,,1.0,0.0596,-0.21,1.0,2.0,1.0,1.0,,,,,,,,,
14109737,home,Fatih Karagümrük,Matías Kranevitter,,,matias-kranevitter,M. Kranevitter,M,5,179.0,496,M,295159,EUR,737942400,M,5,5,False,24.0,20.0,1.0,,0.0,8.0,8.0,12.0,16.0,1.0,,5.0,1.0,5.0,,,,,,89.0,37.0,6.7,8.0,0.00905868,27.672477025419,4.0,15.12,11.025,,0,,0.13,-0.03,0.35,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Marius Tresor Doh,Marius Tresor Doh,,marius-tresor-doh,M. T. Doh,M,14,177.0,352,M,1907330,EUR,1071619200,M,14,14,False,25.0,22.0,5.0,3.0,0.0,9.0,9.0,13.0,16.0,1.0,,5.0,4.0,5.0,1.0,,,,,90.0,40.0,7.0,4.0,0.0282629,96.696267308298,11.0,15.645,12.6,,0,,0.22,0.06,-0.01,,,,1.0,2.0,3.0,2.0,1.0,1.0,3.0,14.128611538293,1.0,,,2.0,,,,,,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Daniel Johnson,,,daniel-johnson,D. Johnson,M,11,174.0,141,M,291237,EUR,718502400,M,11,11,False,24.0,21.0,1.0,1.0,1.0,7.0,7.0,14.0,17.0,,,4.0,,1.0,1.0,,,,,79.0,37.0,7.1,8.0,0.147505,44.955779721636,6.0,-7.98,5.775,,0,,0.38,0.01,0.17,,2.0,1.0,,1.0,,,2.0,,2.0,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,
14109737,home,Fatih Karagümrük,Berkay Özcan,,,berkay-ozcan,B. Özcan,M,8,178.0,161,M,806964,EUR,887500800,M,8,8,False,16.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,13.0,2.0,,6.0,3.0,,1.0,,,,,87.0,27.0,6.5,10.0,0.0493305,37.611397841685,6.0,19.215,11.655,,0,,0.03,-0.16,0.13,,1.0,2.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,
14109737,home,Fatih Karagümrük,Serginho,,,serginho,Serginho,M,70,180.0,332,M,849301,EUR,797126400,M,70,70,False,17.0,11.0,,,0.0,,2.0,11.0,15.0,2.0,,10.0,9.0,2.0,6.0,,,,,90.0,40.0,6.3,12.0,0.0208389,116.80024700785,12.0,24.36,17.01,,2,,-0.27,0.09,-0.08,,,3.0,,1.0,1.0,1.0,2.0,3.0,3.0,21.442929743857,1.0,1.0,,2.0,1.0,0.2819,-0.28,,5.0,5.0,,,1.0,0.4621,,,,,,
