match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,player_firstName,player_lastName,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11401980,home,Vitesse,Eloy Room,eloy-room,E. Room,G,188,180,M,40859,EUR,602726400,G,1,1,False,31.0,21.0,22.0,12.0,12.0,12.0,9.0,19.0,1.0,1.0,1.0,12.0,5.0,5.0,90.0,46.0,7.5,10.0,0.00462523,0,0.2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401980,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,180,5896,M,794373,EUR,835920000,D,2,2,False,59.0,51.0,7.0,5.0,25.0,27.0,29.0,39.0,2.0,1.0,3.0,4.0,,,90.0,87.0,7.2,12.0,0.159326,1,,2,7.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0141,2.0,,,,,,,,,,,,,,,,
11401980,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,189,76,M,781556,EUR,690076800,D,29,29,False,76.0,60.0,14.0,7.0,45.0,50.0,15.0,26.0,3.0,,5.0,9.0,,,90.0,100.0,7.1,23.0,0.0364615,0,,,,,,5.0,8.0,,,,,2.0,2.0,1.0,,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,
11401980,home,Vitesse,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,189,435,M,916943,EUR,995414400,D,15,15,False,55.0,47.0,5.0,3.0,33.0,37.0,14.0,18.0,,,5.0,4.0,,,90.0,72.0,7.0,8.0,0.0140387,1,,3,,,,3.0,4.0,,,,4.0,1.0,,,0.0358,,,1.0,,,1.0,,,,,,,,,,,
11401980,home,Vitesse,Mica Pinto,mica-pinto,Mica,D,176,157,M,785815,EUR,739152000,D,5,5,False,48.0,39.0,7.0,1.0,23.0,29.0,17.0,25.0,5.0,1.0,2.0,6.0,,,90.0,76.0,6.9,16.0,0.0519316,1,,5,6.0,1.0,2.0,,4.0,1.0,,,,3.0,1.0,1.0,0.0313,3.0,,,1.0,1.0,1.0,,,,,,,,,,,
11401980,home,Vitesse,Toni Domgjoni,toni-domgjoni,T. Domgjoni,M,177,104,M,858226,EUR,904867200,M,22,22,False,53.0,44.0,2.0,1.0,23.0,25.0,21.0,29.0,3.0,1.0,1.0,4.0,,,76.0,65.0,6.9,11.0,0.0911394,0,,,1.0,,,,5.0,2.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,
11401980,home,Vitesse,Enzo Cornelisse,enzo-cornelisse,E. Cornelisse,M,178,40,M,1046725,EUR,1025308800,M,13,13,False,34.0,23.0,4.0,1.0,14.0,18.0,9.0,17.0,3.0,1.0,1.0,4.0,,,90.0,51.0,6.6,15.0,0.0510272,0,,6,1.0,,1.0,,4.0,3.0,3.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
11401980,home,Vitesse,Gyan de Regt,gyan-de-regt,G. d. Regt,M,176,358,M,1126966,EUR,1061164800,M,25,25,False,17.0,14.0,1.0,,8.0,10.0,6.0,7.0,4.0,,,1.0,,,45.0,24.0,6.5,5.0,0.0046197,0,,11,,,1.0,,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,
11401980,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,186,361,M,112794,EUR,723168000,M,8,8,False,7.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,,,2.0,,,26.0,11.0,6.9,3.0,0.00029295,1,,,,,1.0,1.0,3.0,,,,,2.0,2.0,1.0,0.0229,,,,,,1.0,,,True,,,,,,,,
11401980,home,Vitesse,Amine Boutrah,amine-boutrah,A. Boutrah,M,173,300,M,975307,EUR,972518400,M,7,7,False,30.0,26.0,3.0,2.0,9.0,9.0,17.0,24.0,9.0,4.0,,5.0,,,90.0,53.0,7.2,15.0,0.0351565,3,,10,3.0,,1.0,,7.0,6.0,3.0,,,,,4.0,0.1414,1.0,,,5.0,1.0,1.0,,,,2.0,0.4644,,,,,,
