match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_challengeLost,captain,stat_bigChanceMissed,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_totalOffside,stat_saves,stat_punches,stat_goalsPrevented,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11067331,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,22.0,13.0,13.0,5.0,11.0,12.0,2.0,10.0,8.0,1.0,90.0,29.0,6.9,9.0,0.0,0.0,0.00045285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Mariano,mariano,Mariano,D,,177,308,M,40076,EUR,519868800,D,25,25,False,40.0,31.0,2.0,,16.0,17.0,16.0,27.0,1.0,,90.0,54.0,6.7,13.0,0.0,0.0,0.0186635,0,4.0,1.0,5.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190,3790,M,973737,EUR,922924800,D,3,3,False,42.0,32.0,6.0,2.0,26.0,31.0,6.0,13.0,5.0,,90.0,55.0,7.2,13.0,0.0,0.0,0.00156491,0,2.0,,,3.0,,7.0,,1.0,,,,1.0,1.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Mauricio Lemos,mauricio-lemos,M. Lemos,D,4,186,1260,M,385916,EUR,820108800,D,28,28,False,47.0,41.0,7.0,3.0,31.0,33.0,10.0,14.0,10.0,,90.0,57.0,7.4,7.0,0.1529,0.1956,0.00756734,2,,,,1.0,1.0,3.0,,2.0,,1.0,,,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Guilherme Arana,guilherme-arana,G. Arana,D,13,176,4933,M,1127439,EUR,860976000,D,13,13,False,47.0,39.0,5.0,1.0,19.0,22.0,20.0,26.0,10.0,,90.0,73.0,7.7,13.0,0.0,0.0,0.0157053,0,1.0,,1.0,2.0,3.0,8.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,,,,,guiarana,1.0,,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,39.0,32.0,7.0,4.0,14.0,16.0,18.0,23.0,1.0,,90.0,46.0,7.4,7.0,0.0,0.0,0.154122,0,,,1.0,6.0,3.0,7.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Rodrigo Battaglia,rodrigo-battaglia,R. Battaglia,D,5,187,1317,M,158257,EUR,679276800,M,21,21,False,37.0,31.0,3.0,1.0,16.0,18.0,15.0,19.0,2.0,,90.0,46.0,7.0,6.0,0.0918,0.0,0.243284,1,,,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,,,,,,1.0,,,1.0,,,,True,,,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Paulinho,paulinho,Paulinho,F,10,175,11050,M,885179,EUR,963619200,M,10,10,False,26.0,23.0,,,6.0,6.0,18.0,22.0,6.0,,90.0,44.0,7.3,11.0,0.9172,1.6134,0.0852586,5,2.0,1.0,,,3.0,1.0,,,,,1.0,2.0,1.0,,5.0,,2.0,3.0,,,paulinho10,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
11067331,home,Atlético Mineiro,Pedrinho,pedrinho,Pedrinho,M,10,172,1486,M,874030,EUR,892425600,M,38,38,False,32.0,30.0,2.0,1.0,12.0,12.0,19.0,23.0,2.0,,89.0,46.0,8.0,8.0,0.0426,0.182,0.420171,2,3.0,1.0,,1.0,,6.0,,3.0,,,1.0,,,,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
11067331,home,Atlético Mineiro,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,9,9,False,26.0,24.0,4.0,4.0,8.0,8.0,17.0,22.0,,,89.0,48.0,7.0,11.0,0.0668,0.0687,0.106556,3,4.0,1.0,2.0,,7.0,5.0,,2.0,1.0,1.0,2.0,,,,3.0,3.0,,1.0,,,,3.0,1.0,,,,,,2.0,,,3.0,,,,,,
