match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_wonTackle,player_firstName,player_lastName,stat_wonContest,stat_bigChanceMissed,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,captain,stat_onTargetScoringAttempt,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist
11453195,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,27.0,23.0,7.0,4.0,23.0,24.0,3.0,8.0,2.0,3.0,90.0,34.0,6.8,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453195,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,39.0,32.0,6.0,2.0,19.0,21.0,19.0,3.0,,,80.0,63.0,6.6,14.0,0,13.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11453195,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,57.0,49.0,9.0,7.0,39.0,44.0,13.0,3.0,,,90.0,69.0,6.9,10.0,1,10.0,,2.0,3.0,3.0,5.0,1.0,,,3.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11453195,home,Al-Khaleej,Lisandro López,lisandro-lopez,L. López,D,17,187.0,201,M,174377,EUR,620611200,D,4,4,False,67.0,64.0,12.0,10.0,51.0,52.0,15.0,6.0,,,90.0,81.0,6.9,4.0,1,13.0,,1.0,,2.0,3.0,1.0,,1.0,5.0,1.0,2.0,1.0,,,,1.0,1.0,2.0,Lisandro,López,1.0,1.0,1.0,,,,,,,,,,,,
11453195,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,54.0,46.0,4.0,3.0,30.0,32.0,27.0,5.0,,,90.0,75.0,7.0,12.0,0,18.0,5.0,,1.0,1.0,3.0,1.0,,,4.0,,1.0,,1.0,,2.0,,,1.0,,,,,,2.0,1.0,,,,,,,,,,
11453195,home,Al-Khaleej,Woo-Young Jung,woo-young-jung,W. Jung,M,5,186.0,181,M,147128,EUR,629596800,M,55,55,False,7.0,5.0,3.0,1.0,2.0,2.0,5.0,,,,20.0,11.0,6.8,2.0,0,3.0,,,,,4.0,,,,,,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,
11453195,home,Al-Khaleej,Khaled Narey,khaled-narey,K. Narey,M,7,180.0,366,M,190065,EUR,774921600,M,7,7,False,14.0,9.0,1.0,1.0,4.0,4.0,15.0,2.0,,,80.0,32.0,6.5,14.0,1,7.0,5.0,,,5.0,3.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,,2.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,
11453195,home,Al-Khaleej,Abduleallah Hawsawi,abduleallah-hawsawi,A. Hawsawi,M,77,170.0,210,M,1533745,EUR,991440000,M,18,18,False,29.0,25.0,1.0,,10.0,10.0,20.0,4.0,,,80.0,40.0,6.4,8.0,1,16.0,1.0,1.0,1.0,4.0,2.0,2.0,,2.0,2.0,,,3.0,,,,1.0,,,Abduleallah Hawsawi,,1.0,,,1.0,,,,,,,,,,,
11453195,home,Al-Khaleej,Ivo Rodrigues,ivo-rodrigues,I. Rodrigues,M,7,182.0,204,M,190171,EUR,796521600,M,8,8,False,39.0,33.0,6.0,4.0,16.0,17.0,22.0,4.0,,,90.0,57.0,6.9,9.0,1,17.0,,,,5.0,6.0,2.0,,3.0,3.0,3.0,4.0,,,2.0,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,
11453195,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,29.0,24.0,5.0,3.0,9.0,10.0,20.0,4.0,,,90.0,49.0,6.9,10.0,1,16.0,1.0,,,7.0,7.0,,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,True,1.0,,,,,,,,
