match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,captain,stat_onTargetScoringAttempt,stat_goals,stat_dispossessed,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_totalOffside
12624372,home,Al Orobah,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187.0,160,M,794989,EUR,910051200.0,G,28,28,False,29.0,17.0,22.0,10.0,0.0,8.0,11.0,9.0,18.0,14.0,1.0,2.0,90.0,40.0,6.7,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624372,home,Al Orobah,Osama Al Khalaf,osama-al-khalaf,O. A. Khalaf,D,8,178.0,26,M,818871,EUR,851558400.0,D,88,88,False,30.0,27.0,4.0,3.0,0.0,17.0,19.0,12.0,16.0,5.0,,,90.0,55.0,6.5,11.0,0,5.0,2.0,1.0,1.0,8.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
12624372,home,Al Orobah,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192.0,736,M,934196,EUR,879292800.0,D,3,3,False,24.0,22.0,1.0,,0.0,18.0,18.0,4.0,6.0,1.0,,,90.0,36.0,6.8,2.0,0,,,1.0,1.0,1.0,3.0,,,,,6.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
12624372,home,Al Orobah,Kurt Zouma,kurt-zouma,K. Zouma,D,,190.0,2246,M,139227,EUR,783216000.0,D,5,5,False,27.0,25.0,2.0,1.0,0.0,24.0,25.0,1.0,2.0,6.0,,,90.0,35.0,7.6,2.0,1,,,1.0,1.0,1.0,2.0,,1.0,1.0,,2.0,,,,,,,,3.0,1.0,True,1.0,1.0,,,,,,,,,
12624372,home,Al Orobah,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,,172.0,16,M,793916,EUR,623462400.0,D,13,13,False,23.0,19.0,1.0,,0.0,12.0,14.0,7.0,9.0,5.0,,,80.0,37.0,6.6,6.0,0,,,,,1.0,4.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12624372,home,Al Orobah,Fwaz Altryes,fwaz-altryes,F. Altryes,F,8,170.0,19,M,902358,EUR,861840000.0,M,27,27,False,21.0,16.0,2.0,1.0,1.0,10.0,12.0,7.0,11.0,3.0,,,66.0,27.0,6.6,9.0,0,2.0,1.0,,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,
12624372,home,Al Orobah,Fahad Al-Reshedi,fahad-al-reshedi,F. Al-Reshedi,M,80,173.0,10,M,818573,EUR,676339200.0,M,80,80,False,29.0,23.0,3.0,2.0,0.0,12.0,14.0,11.0,16.0,4.0,,,90.0,40.0,6.4,10.0,0,1.0,,,1.0,4.0,4.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,
12624372,home,Al Orobah,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600.0,M,33,33,False,34.0,27.0,5.0,3.0,0.0,18.0,18.0,9.0,17.0,3.0,,,90.0,45.0,6.8,8.0,0,1.0,,,1.0,2.0,4.0,2.0,1.0,1.0,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12624372,home,Al Orobah,Mohannad Abu Taha,mohannad-abu-taha,M. A. Taha,M,14,176.0,520,M,1114775,EUR,1044144000.0,M,14,14,False,22.0,16.0,8.0,7.0,1.0,5.0,6.0,12.0,20.0,5.0,,,89.0,44.0,8.0,14.0,5,4.0,1.0,,1.0,8.0,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,Abu Taha,,,,,3.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,
12624372,home,Al Orobah,Fahad Zubaidi,fahad-zubaidi,F. Zubaidi,M,27,175.0,36,M,1445997,EUR,1010880000.0,F,29,29,False,18.0,18.0,2.0,2.0,0.0,2.0,2.0,17.0,17.0,2.0,,,90.0,33.0,8.3,2.0,3,1.0,1.0,2.0,1.0,4.0,7.0,,2.0,1.0,1.0,,,,1.0,5.0,1.0,Fahad Zubaidi,,,1.0,,3.0,1.0,,1.0,,,,1.0,,,
12624372,home,Al Orobah,Omar Al-Somah,omar-al-somah,O. Al-Somah,F,9,192.0,6658,M,791575,EUR,606614400.0,F,99,99,False,20.0,13.0,3.0,2.0,1.0,5.0,6.0,9.0,15.0,,,,90.0,40.0,7.3,15.0,4,1.0,1.0,4.0,2.0,7.0,8.0,1.0,2.0,2.0,1.0,,1.0,1.0,6.0,3.0,2.0,,,,,,,,1.0,1.0,1.0,3.0,1.0,,,,
12624372,home,Al Orobah,Abdulaziz Awadh Masnom,abdulaziz-awadh-masnom,A. A. Masnom,F,99,194.0,192,M,1947429,EUR,1139184000.0,F,91,91,True,6.0,3.0,1.0,1.0,0.0,,,3.0,6.0,,,,24.0,9.0,6.8,3.0,0,,,2.0,2.0,3.0,2.0,,,,,2.0,,,,,2.0,Abdulaziz Awadh Masnom,,,,,,,,2.0,,,,,,,
12624372,home,Al Orobah,Mohammed Al-Shanqiti,mohammed-al-shanqiti,M. Al-Shanqiti,D,50,168.0,20,M,976206,EUR,926726400.0,D,40,40,True,,,,,0.0,,,,,,,,10.0,3.0,6.7,,0,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,
