match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_outfielderBlock,stat_lastManTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_unsuccessfulTouch,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyWon,stat_keyPass,stat_totalOffside,stat_bigChanceCreated,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
11450061,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,34.0,30.0,10.0,6.0,0.0,29.0,31.0,1.0,3.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,44.0,6.5,4.0,0.00044121,0,-1.2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450061,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,D,23,23,False,,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,,1.0,,,,,,,,,23.0,7.0,6.7,1.0,0.0008554,0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450061,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,60.0,48.0,5.0,,0.0,36.0,43.0,12.0,17.0,6.0,9.0,3.0,3.0,,,,,,,90.0,72.0,6.9,13.0,0.00527003,1,,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0831,,,,,,,,,,,,,,,,,,,,
11450061,home,Galatasaray,Berkan Kutlu,berkan-kutlu,B. Kutlu,M,18,186,2127,M,,992912,EUR,885686400,D,18,18,False,,76.0,57.0,11.0,3.0,0.0,36.0,40.0,21.0,36.0,1.0,2.0,,10.0,,,,,,,90.0,80.0,6.4,19.0,0.0169914,0,,2.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11450061,home,Galatasaray,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1915,M,,886737,EUR,918086400,D,17,17,False,,26.0,19.0,,,0.0,8.0,9.0,12.0,20.0,3.0,5.0,3.0,6.0,,,,,,,90.0,48.0,6.9,13.0,0.0203159,3,,9.0,1.0,,1.0,,1.0,,,1.0,4.0,0.1565,3.0,1.0,2.0,2.0,2.0,1.0,0.4897,,,,,,,,,,,,,
11450061,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,61.0,59.0,1.0,1.0,0.0,29.0,29.0,30.0,32.0,,1.0,1.0,6.0,,,,,,,78.0,70.0,7.2,2.0,0.0546544,1,,7.0,2.0,3.0,,,,,,1.0,3.0,0.5307,,,,,1.0,1.0,0.7343,,,2.0,,,,,,,,,,
11450061,home,Galatasaray,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,,142619,EUR,741657600,M,8,8,False,,61.0,49.0,3.0,2.0,0.0,26.0,29.0,23.0,33.0,1.0,4.0,2.0,8.0,,,,,,,90.0,80.0,8.9,17.0,0.0612641,3,,8.0,1.0,1.0,2.0,1.0,,,,1.0,4.0,0.8354,1.0,,2.0,1.0,3.0,3.0,1.7423,,,1.0,1.0,,,,,,,,,
11450061,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,M,53,53,False,,30.0,27.0,,,0.0,12.0,13.0,16.0,20.0,2.0,7.0,2.0,9.0,,,,,,,90.0,61.0,6.9,13.0,0.0159642,1,,7.0,3.0,1.0,2.0,2.0,,,,1.0,2.0,0.0684,3.0,1.0,2.0,3.0,1.0,,0.1439,,,,4.0,2.0,,,,,,,,
11450061,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,37.0,31.0,4.0,2.0,1.0,7.0,8.0,25.0,33.0,,6.0,,5.0,,,,,,,78.0,56.0,7.8,13.0,0.23426,2,,5.0,1.0,,4.0,2.0,,1.0,,2.0,1.0,0.0982,4.0,1.0,2.0,1.0,1.0,,0.0229,,,,1.0,,1.0,1.0,2.0,,,,,
11450061,home,Galatasaray,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24917,M,KAktürkoğlu,903324,EUR,908928000,M,7,7,False,,21.0,12.0,,,0.0,3.0,4.0,9.0,17.0,1.0,2.0,1.0,3.0,,,,,,,78.0,32.0,6.4,13.0,0.0220427,0,,3.0,,,,,,,,,,,,,3.0,1.0,,,,,,,1.0,1.0,,,,,,,,
