match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_duelLost,stat_bigChanceCreated,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals
14598955,home,Wigan Athletic,Sam Tickle,Sam Tickle,,tickle-sam,S. Tickle,G,1,188.0,179,M,1064266,EUR,1017532800.0,G,1,1,False,13.0,6.0,8.0,1.0,0.0,6.0,8.0,5.0,1.0,4.0,2.0,90.0,19.0,6.6,7.0,0.2909,0,0.01,0.01,-0.14,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598955,home,Wigan Athletic,Jensen Weir,,,jensen-weir,Weir,M,6,184.0,84,M,1514742,EUR,1012435200.0,D,6,6,False,64.0,53.0,9.0,4.0,0.0,37.0,42.0,22.0,8.0,6.0,,90.0,87.0,6.4,15.0,,1,0.03,0.12,-0.38,,16.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.28,,,,,,,,,,,,,,,,,,,,
14598955,home,Wigan Athletic,Will Aimson,,,will-aimson,W. Aimson,D,4,179.0,29,M,247349,EUR,757382400.0,D,4,4,False,60.0,53.0,13.0,9.0,0.0,46.0,48.0,12.0,9.0,8.0,,90.0,80.0,7.3,9.0,,1,0.01,0.12,0.15,,7.0,,7.0,10.0,1.0,2.0,,,,3.0,-0.09,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,
14598955,home,Wigan Athletic,Morgan Fox,,,morgan-fox,M. Fox,D,3,185.0,40,M,288957,EUR,748569600.0,D,3,3,False,66.0,58.0,6.0,2.0,0.0,35.0,36.0,30.0,3.0,7.0,,90.0,88.0,7.3,16.0,,1,0.36,0.35,-0.03,,23.0,4.0,3.0,5.0,1.0,3.0,2.0,,,,-0.32,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
14598955,home,Wigan Athletic,Babajide Adeeko,Babajide Adeeko,,babajide-adeeko,B. Adeeko,M,16,175.0,81,M,1138396,EUR,1049328000.0,M,16,16,False,29.0,26.0,3.0,2.0,0.0,19.0,21.0,8.0,2.0,1.0,,70.0,36.0,6.5,3.0,,0,-0.03,0.0,-0.09,,7.0,,3.0,3.0,,2.0,,,,,,,,,,,3.0,,1.0,,1.0,1.0,,,,,,,,,
14598955,home,Wigan Athletic,Raphael Rodrigues,,,raphael-rodrigues,R. Rodrigues,M,21,173.0,137,M,995962,EUR,1063238400.0,M,21,21,False,18.0,16.0,,,0.0,7.0,7.0,11.0,,4.0,,70.0,46.0,7.0,17.0,,0,0.27,0.12,-0.05,,9.0,8.0,,7.0,,1.0,3.0,2.0,,1.0,,,,,2.0,1.0,7.0,,,1.0,3.0,,2.0,5.0,3.0,,,,,,
14598955,home,Wigan Athletic,Oliver Cooper,,,oliver-cooper,O. Cooper,M,31,176.0,93,M,970396,EUR,945129600.0,M,31,31,False,25.0,18.0,2.0,2.0,0.0,7.0,9.0,16.0,,2.0,,70.0,43.0,6.9,11.0,,1,-0.03,0.28,-0.08,,11.0,2.0,,8.0,1.0,1.0,5.0,5.0,,2.0,-0.2,,,,3.0,2.0,4.0,,3.0,,,,1.0,1.0,1.0,,,,,,
14598955,home,Wigan Athletic,Callum Wright,,,callum-wright,C. Wright,M,8,182.0,80,M,970398,EUR,957225600.0,M,8,8,False,29.0,18.0,4.0,,0.0,8.0,12.0,17.0,1.0,4.0,,90.0,45.0,6.7,11.0,,0,-0.03,0.1,-0.08,,10.0,1.0,,8.0,,2.0,5.0,4.0,,3.0,,,,,,1.0,4.0,,2.0,,2.0,,,,,,,,,,
14598955,home,Wigan Athletic,Joseph Hungbo,,,hungbo-joseph,J. Hungbo,M,44,173.0,55,M,1013992,EUR,947894400.0,M,44,44,False,13.0,11.0,2.0,2.0,0.0,5.0,6.0,7.0,2.0,2.0,,80.0,32.0,6.9,10.0,,0,0.41,0.06,-0.17,,6.0,5.0,,4.0,,1.0,1.0,1.0,,1.0,,,,,,,5.0,,1.0,,2.0,1.0,1.0,2.0,2.0,,,,,,
14598955,home,Wigan Athletic,Dara Costelloe,,,costelloe-dara,D. Costelloe,F,11,175.0,133,M,981805,EUR,1039564800.0,F,11,11,False,15.0,14.0,,,0.0,6.0,6.0,9.0,,4.0,,90.0,25.0,5.7,9.0,,0,-0.05,0.08,-0.07,,8.0,,,,,,,,,,,,,,6.0,,12.0,,2.0,1.0,7.0,1.0,2.0,,,,,,,,
