match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_totalContest,stat_fouls,stat_keyPass,stat_totalClearance,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_goalAssist,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal,stat_ownGoals,stat_bigChanceMissed,stat_bigChanceCreated
11028818,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23571,M,d_degea,69378,EUR,657936000,G,1,1,False,28.0,18.0,10.0,1.0,17.0,22.0,1.0,6.0,6.0,5.0,6.0,1.0,1.0,90.0,39.0,7.7,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11028818,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22937,M,DDalot,843200,EUR,921715200,D,20,20,False,49.0,44.0,3.0,3.0,25.0,27.0,19.0,23.0,7.0,,,,,90.0,69.0,6.8,10.0,1,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11028818,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27967,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,76.0,62.0,8.0,3.0,43.0,51.0,19.0,25.0,5.0,,,,,90.0,83.0,6.6,15.0,0,,3.0,6.0,5.0,7.0,,,3.0,1.0,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11028818,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8787,M,victorlindelof,143334,EUR,774403200,D,2,2,False,65.0,62.0,5.0,3.0,48.0,48.0,14.0,17.0,6.0,,,,,58.0,71.0,6.9,3.0,0,,1.0,3.0,2.0,3.0,,,1.0,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,
11028818,home,Manchester United,Tyrell Malacia,,,tyrell-malacia,T. Malacia,D,12,169,8793,M,tyrellmalacia,825839,EUR,934761600,D,12,12,False,46.0,37.0,2.0,,22.0,25.0,15.0,22.0,9.0,,,,,90.0,78.0,7.7,11.0,1,1.0,3.0,,4.0,8.0,,1.0,5.0,7.0,7.0,1.0,,1.0,1.0,,4.0,1.0,,,,,,,,,,,,,,
11028818,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,44.0,34.0,6.0,2.0,9.0,10.0,26.0,46.0,2.0,,,,,90.0,67.0,7.3,25.0,3,12.0,,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11028818,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25842,M,ScottMcTominay,879346,EUR,850003200,M,39,39,False,20.0,18.0,1.0,,7.0,7.0,11.0,13.0,2.0,,,,,45.0,26.0,6.7,2.0,1,,1.0,1.0,3.0,2.0,,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
11028818,home,Manchester United,Marcel Sabitzer,,,marcel-sabitzer,M. Sabitzer,M,20,177,8472,M,marcel7sabitzer,133908,EUR,763862400,M,15,15,False,29.0,23.0,1.0,1.0,5.0,6.0,18.0,23.0,5.0,,,,,86.0,37.0,6.8,8.0,2,,2.0,,5.0,2.0,2.0,,1.0,2.0,1.0,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
11028818,home,Manchester United,Antony,,,antony,Antony,M,7,172,218925,M,Antony,958380,EUR,951350400,F,21,21,False,25.0,18.0,2.0,1.0,3.0,5.0,15.0,21.0,5.0,,,,,58.0,36.0,6.8,11.0,3,1.0,,,4.0,3.0,2.0,2.0,,2.0,1.0,2.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,
11028818,home,Manchester United,Wout Weghorst,,,wout-weghorst,W. Weghorst,F,25,197,6763,M,wout.weghorst,252215,EUR,713145600,F,27,27,False,25.0,22.0,2.0,1.0,6.0,7.0,16.0,18.0,7.0,,,,,90.0,34.0,7.4,6.0,2,,1.0,,4.0,2.0,1.0,1.0,,1.0,1.0,3.0,,1.0,2.0,5.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,
