match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,captain,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded
12499627,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,35.0,28.0,11.0,5.0,0.0,28.0,29.0,6.0,7.0,1.0,1.0,3.0,90.0,43.0,6.1,7.0,8.479e-05,0,-0.0068999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Yan Couto,couto-yan,Y. Couto,D,2,169,7173,M,yan.couto,1002813,EUR,1023062400,D,2,2,False,74.0,64.0,8.0,4.0,0.0,32.0,33.0,45.0,11.0,,,,82.0,88.0,7.0,14.0,0.706096,0,,,,33.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,81.0,78.0,7.0,6.0,0.0,56.0,56.0,26.0,5.0,,,,90.0,93.0,7.2,5.0,0.00707184,0,,,,22.0,1.0,,5.0,4.0,,4.0,2.0,1.0,1.0,,,,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,71.0,65.0,9.0,8.0,0.0,48.0,53.0,18.0,11.0,,,,90.0,77.0,6.9,6.0,0.0458562,0,,,,17.0,,,3.0,5.0,,,,,,1.0,,,3.0,3.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,32.0,32.0,,,0.0,8.0,8.0,25.0,2.0,,,,74.0,51.0,6.5,9.0,0.0537656,1,,,,24.0,1.0,,5.0,1.0,,1.0,,,5.0,,1.0,2.0,1.0,,,3.0,1.0,1.0,1.0,1.0,0.0334,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,68.0,60.0,7.0,5.0,0.0,21.0,23.0,45.0,2.0,,,,90.0,81.0,7.5,11.0,0.0722108,3,,,,39.0,,,7.0,9.0,1.0,,2.0,1.0,,1.0,2.0,,1.0,6.0,,1.0,,1.0,2.0,2.0,0.9237,True,1.0,1.0,1.0,0.9861,,,,,,,,,
12499627,home,Borussia Dortmund,Pascal Groß,pascal-gross,P. Groß,M,30,181,4705,M,pascalgross65,48480,EUR,676944000,M,13,13,False,67.0,62.0,11.0,10.0,0.0,19.0,21.0,59.0,5.0,,,,74.0,94.0,7.8,19.0,0.397984,2,,,,45.0,13.0,2.0,7.0,4.0,2.0,1.0,3.0,1.0,1.0,,2.0,5.0,3.0,1.0,,,,,,,0.165,,1.0,,,0.022,1.0,1.0,,,,,,,
12499627,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,27.0,22.0,,,2.0,8.0,9.0,18.0,3.0,,,,90.0,51.0,7.5,15.0,0.346805,3,,,,14.0,,,10.0,6.0,,,1.0,1.0,2.0,,3.0,4.0,,,,11.0,5.0,,1.0,,0.1389,,1.0,,,0.0648,1.0,2.0,1.0,,,,,,
12499627,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,10,10,False,27.0,21.0,2.0,2.0,1.0,4.0,5.0,26.0,1.0,,,,74.0,41.0,7.1,13.0,0.478678,2,,,,18.0,4.0,1.0,2.0,1.0,1.0,,,,3.0,1.0,,3.0,1.0,,,,,,,1.0,0.4182,,1.0,,,0.1346,1.0,,1.0,2.0,,,,,
12499627,home,Borussia Dortmund,Jamie Gittens,jamie-bynoe-gittens,J. Gittens,M,11,178,23992,M,jbgittens,1140599,EUR,1091923200,M,43,43,False,19.0,15.0,,,0.0,1.0,1.0,20.0,,,,,66.0,39.0,7.0,12.0,0.191224,2,,,,14.0,2.0,,4.0,6.0,,,,,2.0,,1.0,,,,,6.0,6.0,1.0,4.0,,0.0739,,,,,,,2.0,,,,,,,
12499627,home,Borussia Dortmund,Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,187,50480,M,guirassy19off,328027,EUR,826588800,F,9,9,False,17.0,13.0,,,0.0,5.0,5.0,12.0,1.0,,,,90.0,30.0,9.3,8.0,0.0993961,6,,,,8.0,,,5.0,7.0,,,,,3.0,2.0,1.0,2.0,3.0,4.0,,2.0,1.0,,,2.0,1.2201,,3.0,,2.0,0.6467,1.0,1.0,1.0,,1.0,,,,
12499627,home,Borussia Dortmund,Julien Duranville,julien-duranville,J. Duranville,F,18,170,4601,M,julien.drnl,1171540,EUR,1146787200,F,16,16,True,7.0,3.0,1.0,,0.0,,,7.0,,,,,24.0,14.0,7.3,5.0,0.464688,1,,,,3.0,,,,4.0,,,,,1.0,1.0,,1.0,,,,3.0,3.0,,,1.0,0.0262,,,,,,1.0,,,,,,,,
12499627,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,True,7.0,7.0,,,0.0,5.0,5.0,2.0,2.0,,,,16.0,10.0,6.6,1.0,0.0441352,1,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,0.1016,,,,,,,1.0,,,,,,,
12499627,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,,907463,EUR,971136000,M,8,8,True,11.0,9.0,1.0,1.0,0.0,5.0,5.0,6.0,2.0,,,,16.0,16.0,7.8,2.0,0.00466701,1,,,,4.0,,,2.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,2.0,,,0.0799,,1.0,,1.0,0.0947,,,,,,,,,
12499627,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,,980628,EUR,1034812800,F,14,14,True,4.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,,,16.0,10.0,6.8,3.0,0.0456399,0,,,,1.0,,,2.0,2.0,,,,,2.0,,1.0,1.0,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,
12499627,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,True,9.0,9.0,,,0.0,4.0,4.0,5.0,,,,,8.0,10.0,6.6,,0.00389584,1,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,0.0693,,,,,,,,,,,,,,
