match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,from
12499627,FT,4.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12499627,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,
12499627,,,,,82,,,9,,,substitution,,123098925.0,False,True,regular,,,,,,
12499627,,,,,82,,,9,,,substitution,,123098927.0,False,False,regular,,,,,,
12499627,,,,,82,,,9,,,substitution,,123098926.0,False,False,regular,,,,,,
12499627,,4.0,2.0,,81,,,10,,,goal,,187628846.0,,True,regular,907463.0,Felix Nmecha,,,,
12499627,,3.0,2.0,,75,,,16,,,goal,,187628548.0,,True,regular,328027.0,Serhou Guirassy,,,,
12499627,,,,,74,,,17,,,substitution,,123098819.0,False,True,regular,,,,,,
12499627,,,,,74,,,17,,,substitution,,123098817.0,False,True,regular,,,,,,
12499627,,,,,74,,,17,,,substitution,,123098818.0,False,True,regular,,,,,,
12499627,,,,,72,,,19,,,substitution,,123098809.0,False,False,regular,,,,,,
12499627,,,,,70,,,21,,,card,,121587158.0,,True,yellow,48480.0,Pascal Groß,Pascal Groß,Foul,False,
12499627,,,,,66,,,25,,,substitution,,123098779.0,True,True,injury,,,,,,
12499627,,,,,62,,,29,,,substitution,,123098736.0,False,False,regular,,,,,,
12499627,,2.0,2.0,,62,,,29,,,goal,,187627846.0,,True,penalty,138156.0,Emre Can,,,,penalty
12499627,,,,,58,,,33,,,card,,121587100.0,,True,yellow,1002813.0,Yan Couto,Yan Couto,Argument,False,
12499627,HT,1.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12499627,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
12499627,,1.0,2.0,,44,,,2,,,goal,,187625661.0,,True,regular,328027.0,Serhou Guirassy,,,,
12499627,,0.0,2.0,,21,,,25,,,goal,,187624351.0,,False,regular,855854.0,Dani de Wit,,,,
12499627,,0.0,1.0,,16,,,30,,,goal,,187624048.0,,False,regular,187207.0,Matúš Bero,,,,
