match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,rescinded,player_id,player_name,reason
10825456,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,
10825456,,,,,90,,,1,,,substitution,121430887.0,False,False,regular,,,,,
10825456,,,,,87,,,4,,,substitution,121430822.0,False,True,regular,,,,,
10825456,,,,,84,,,7,,,card,120554892.0,,False,yellow,Gold Omotayo,False,941198.0,Gold Omotayo,
10825456,,0.0,1.0,,83,,,8,,,goal,166999146.0,,False,regular,,,941198.0,Gold Omotayo,
10825456,,,,,82,,,9,,,substitution,121430756.0,False,True,regular,,,,,
10825456,,,,,82,,,9,,,substitution,121430757.0,True,False,injury,,,,,
10825456,,,,,72,,,19,,,substitution,121430550.0,False,False,regular,,,,,
10825456,,,,,57,,,34,,,substitution,121430319.0,False,True,regular,,,,,
10825456,,,,,57,,,34,,,substitution,121430318.0,False,True,regular,,,,,
10825456,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,
10825456,,,,,39,,,7,,,card,120538455.0,,False,yellow,Adam Crowther,False,1423945.0,Adam Crowther,Argument
