match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,player_lastName,stat_shotOffTarget,stat_penaltyConceded,stat_expectedGoals,stat_unsuccessfulTouch,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,player_sofascoreId
13472890,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190.0,551,M,844576,EUR,871948800,G,1,1,False,True,22.0,21.0,5.0,4.0,0.0,21.0,22.0,1.0,11.0,2.0,1.0,3.0,1.0,90.0,36.0,6.9,1.0,9.637e-05,0,-1.2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Nathan Mendes,nathan-mendes,N. Mendes,D,45,182.0,358,M,1116955,EUR,1029715200,D,45,45,False,,64.0,51.0,7.0,4.0,0.0,29.0,34.0,1.0,5.0,,,,,90.0,95.0,6.8,19.0,0.0326297,0,,Nathan,22.0,30.0,2.0,4.0,4.0,11.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188.0,417,M,551774,EUR,812592000,D,14,14,False,,74.0,61.0,20.0,13.0,0.0,43.0,46.0,3.0,3.0,,,,,90.0,82.0,6.7,13.0,0.0417263,0,,,18.0,28.0,,1.0,4.0,3.0,1.0,,,,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Gustavo Marques,gustavo-marques,G. Marques,D,16,189.0,357,M,1174764,EUR,1002585600,D,16,16,False,,64.0,56.0,5.0,3.0,0.0,46.0,52.0,4.0,3.0,,,,,90.0,78.0,6.8,8.0,0.00726665,1,,Gustavo Marques,10.0,12.0,,4.0,3.0,8.0,1.0,,,,3.0,1.0,1.0,2.0,,1.0,2.0,2.0,,1.0,1.0,0.1135,,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Guilherme Lopes,guilherme-lopes,G. Lopes,D,31,178.0,87,M,1097858,EUR,1013644800,D,31,31,False,,30.0,25.0,4.0,2.0,0.0,14.0,14.0,,3.0,,,,,74.0,53.0,6.1,13.0,0.00791638,0,,,11.0,16.0,2.0,1.0,2.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186.0,445,M,1018093,EUR,1013126400,M,25,25,False,,39.0,31.0,5.0,2.0,0.0,16.0,18.0,,5.0,,,,,68.0,58.0,6.8,13.0,0.051696,3,,,15.0,21.0,3.0,2.0,6.0,5.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,2.0,,,,1.0,,0.1884,2.0,2.0,2.0,0.1185,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Gabriel Girotto,gabriel-girotto,Gabriel,M,6,171.0,540,M,242052,EUR,710726400,M,6,6,False,,26.0,20.0,1.0,,0.0,15.0,18.0,,4.0,,,,,56.0,31.0,5.9,8.0,0.00200447,0,,,5.0,8.0,,,4.0,1.0,2.0,,,,1.0,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,
13472890,home,Red Bull Bragantino,Ignacio Laquintana,ignacio-laquintana,I. Laquintana,M,19,177.0,612,M,948004,EUR,917827200,M,33,33,False,,19.0,13.0,,,0.0,6.0,7.0,1.0,3.0,,,,,56.0,30.0,6.2,13.0,0.0248531,1,,,7.0,12.0,4.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.052,1.0,,1.0,0.1432,1.0,,,,,,,,,,
13472890,home,Red Bull Bragantino,Lucas Barbosa,lucas-barbosa,L. Barbosa,M,21,193.0,762,M,1067641,EUR,982800000,M,21,21,False,,17.0,15.0,1.0,1.0,0.0,9.0,10.0,,2.0,,,,,68.0,33.0,6.5,9.0,0.0934108,4,,Lucas Barbosa,6.0,7.0,,,6.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,0.2386,2.0,,2.0,0.1493,,2.0,,,,,,,,,
13472890,home,Red Bull Bragantino,Jhon Jhon,jhon-jhon,Jhon Jhon,M,10,178.0,2841,M,1167069,EUR,1031529600,M,10,10,False,,36.0,25.0,5.0,3.0,1.0,6.0,8.0,1.0,4.0,,,,,90.0,69.0,6.6,29.0,0.0997281,2,,Jhon Jhon,19.0,28.0,6.0,,9.0,4.0,2.0,2.0,8.0,3.0,,,1.0,,4.0,,,2.0,,,,0.2638,5.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,
