match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,stat_challengeLost,stat_outfielderBlock,stat_keyPass,stat_totalContest,stat_wonContest,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11450087,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,True,11.0,10.0,5.0,4.0,8.0,8.0,2.0,3.0,5.0,1.0,90.0,16.0,6.4,1.0,0.00481949,0,-0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450087,home,Hatayspor,Rigoberto Rivas,rigoberto-rivas,R. Rivas,M,99,178,347,M,837742,EUR,901843200,D,99,99,False,,46.0,39.0,1.0,,19.0,21.0,20.0,30.0,8.0,,90.0,77.0,6.8,21.0,0.0398842,1,,,,5.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,0.0114,,,,,,,,,,,,,,,,
11450087,home,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180,314,M,944222,EUR,928022400,D,3,3,False,,63.0,60.0,1.0,1.0,32.0,33.0,28.0,30.0,7.0,,90.0,70.0,7.1,4.0,0.0180261,1,,,,,6.0,2.0,7.0,,,1.0,,,,1.0,,0.0449,2.0,1.0,1.0,,,,,,,,,,,,,
11450087,home,Hatayspor,Nikola Maksimović,nikola-maksimovic,N. Maksimović,D,15,193,266,M,68076,EUR,691027200,D,19,19,False,,56.0,56.0,,,37.0,37.0,19.0,20.0,3.0,,90.0,67.0,6.7,3.0,0.0666814,0,,Nikola,Maksimović,1.0,1.0,6.0,3.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,,,,,3.0,1.0,1.0,,,,,,,,,,
11450087,home,Hatayspor,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,False,,51.0,45.0,2.0,,21.0,22.0,24.0,33.0,6.0,,88.0,69.0,6.8,14.0,0.0230403,0,,,,4.0,1.0,4.0,4.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,3.0,2.0,,,,,,,,
11450087,home,Hatayspor,Chandrel Massanga,chandrel-massanga,C. Massanga,M,8,172,201,M,1083138,EUR,934848000,M,4,4,False,,105.0,93.0,12.0,5.0,28.0,29.0,65.0,76.0,11.0,,90.0,121.0,7.7,13.0,0.0729686,2,,Chandrel Massanga,,,1.0,4.0,5.0,,,1.0,3.0,2.0,2.0,1.0,2.0,0.0339,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,
11450087,home,Hatayspor,Abdulkadir Parmak,abdulkadir-parmak,A. Parmak,M,20,176,57,M,344225,EUR,788572800,M,6,6,False,,33.0,31.0,1.0,1.0,11.0,12.0,20.0,24.0,6.0,,45.0,41.0,7.0,6.0,0.0221596,0,,,,3.0,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,
11450087,home,Hatayspor,Ömer Faruk Beyaz,omer-faruk-beyaz,Ö. F. Beyaz,M,99,171,399,M,1022881,EUR,1062115200,M,7,7,False,,35.0,28.0,1.0,,5.0,9.0,24.0,28.0,4.0,,64.0,55.0,7.2,14.0,0.157613,2,,,,2.0,,7.0,8.0,1.0,,,,3.0,1.0,1.0,,0.0734,2.0,,,1.0,,1.0,8.0,5.0,1.0,2.0,0.1796,,,,,
11450087,home,Hatayspor,Halil Dervişoğlu,halil-dervisoglu,H. Dervişoğlu,F,11,183,812,M,930775,EUR,944611200,M,11,11,False,,12.0,10.0,1.0,1.0,,,10.0,12.0,,,90.0,27.0,6.6,8.0,0.0299771,4,,,,,1.0,5.0,4.0,1.0,3.0,,,,,3.0,2.0,0.1381,1.0,,1.0,,,,4.0,2.0,,1.0,0.4679,,,,,
11450087,home,Hatayspor,Fisayo Dele-Bashiru,dele-bashiru-oluwafisayo,F. Dele-Bashiru,M,7,186,3768,M,910121,EUR,981417600,M,17,17,False,,22.0,20.0,,,5.0,5.0,15.0,19.0,3.0,,65.0,36.0,6.5,11.0,0.0203345,0,,,,2.0,1.0,7.0,5.0,3.0,,,,2.0,2.0,2.0,1.0,,,,,1.0,,1.0,4.0,2.0,,,,,,,,
