match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
14025256,home,Brentford,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,1,1,False,41.0,27.0,20.0,6.0,0.0,21.0,22.0,6.0,19.0,10.0,2.0,2.0,2.0,90.0,51.0,8.1,15.0,0.0110591,52.164833641256,8.0,19.845,10.185,0.7606,0,0.8925,0.12,0.02,0.29,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025256,home,Brentford,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,False,48.0,40.0,1.0,,0.0,27.0,30.0,13.0,18.0,4.0,,,,90.0,77.0,7.3,17.0,0.308993,200.72639382557,20.0,103.635,26.145,,0,,0.32,0.17,-0.06,,2.0,1.0,6.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,66.702120066867,3.0,1.0,,,,,,,,,,,,,,,,,,,,
14025256,home,Brentford,Kristoffer Ajer,,,kristoffer-ajer,K. Ajer,D,20,196,1144,M,,576384,EUR,892771200,D,20,20,False,65.0,58.0,4.0,1.0,0.0,38.0,39.0,20.0,26.0,4.0,,,,90.0,81.0,7.4,8.0,0.00612461,173.91507384474,21.0,98.805,20.79,,0,,0.12,0.08,0.68,,,2.0,4.0,3.0,,,8.0,2.0,1.0,1.0,,,1.0,17.903389176354,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
14025256,home,Brentford,Nathan Collins,,,nathan-collins,N. Collins,D,22,193,1556,M,,958916,EUR,988588800,D,22,22,False,72.0,58.0,12.0,5.0,0.0,38.0,39.0,20.0,33.0,7.0,,,,90.0,84.0,7.8,16.0,0.0125842,233.77872750279,27.0,122.64,20.685,,1,,-0.07,-0.48,0.63,,,6.0,3.0,8.0,,,5.0,,2.0,1.0,1.0,,,28.874047715815,2.0,,3.0,,1.0,True,1.0,1.0,0.1035,0.0429,-0.14,,,,,,,,,,,
14025256,home,Brentford,Rico Henry,,,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,D,3,3,False,28.0,25.0,,,0.0,14.0,15.0,11.0,13.0,4.0,,,,90.0,51.0,6.7,13.0,0.00440981,69.322947296136,9.0,50.085,14.175,,1,,0.02,0.03,0.15,,4.0,1.0,3.0,2.0,,1.0,2.0,,1.0,1.0,4.0,,1.0,14.211651030053,1.0,,1.0,,,,,,0.0251,,0.0,1.0,,,,,,,,,,
14025256,home,Brentford,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,6,6,False,68.0,54.0,9.0,6.0,0.0,26.0,30.0,28.0,38.0,3.0,,,,90.0,79.0,8.0,19.0,0.748811,146.75281530223,25.0,7.105427357601e-15,9.24,,0,,0.94,0.03,0.15,,5.0,1.0,4.0,4.0,,2.0,,,2.0,1.0,1.0,,,,,1.0,3.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,
14025256,home,Brentford,Vitaly Janelt,,,vitaly-janelt,V. Janelt,M,27,184,1191,M,,814873,EUR,894758400,M,27,27,False,52.0,49.0,3.0,3.0,0.0,27.0,29.0,22.0,23.0,6.0,,,,90.0,69.0,7.3,5.0,0.0766234,89.176829439995,13.0,30.135,14.49,,1,,0.28,0.08,0.18,,2.0,1.0,5.0,6.0,1.0,1.0,,3.0,4.0,1.0,1.0,,2.0,,,1.0,2.0,,1.0,,1.0,,0.2513,0.2436,-0.22,,1.0,1.0,,1.0,,,,,,
14025256,home,Brentford,Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2555,M,,1031258,EUR,1078099200,M,18,18,False,48.0,43.0,3.0,1.0,0.0,18.0,20.0,25.0,28.0,8.0,,,,80.0,65.0,6.8,9.0,0.0868196,98.235727393075,11.0,-34.125,8.085,,1,,0.25,-0.09,-0.13,,1.0,1.0,9.0,6.0,4.0,,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,,0.0552,,-0.05,1.0,1.0,,,,,,,,,
14025256,home,Brentford,Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,,972421,EUR,982800000,F,23,23,False,26.0,19.0,6.0,2.0,0.0,7.0,8.0,12.0,18.0,9.0,,,,90.0,47.0,7.0,16.0,0.0247222,105.37524409975,10.0,48.825,20.265,,2,,0.27,0.16,-0.04,,3.0,1.0,6.0,7.0,2.0,3.0,,1.0,1.0,1.0,4.0,4.0,1.0,34.455031994997,2.0,,1.0,,,,,,0.291,,-0.24,,,1.0,,,2.0,1.0,,,,
14025256,home,Brentford,Igor Thiago,,,igor-thiago,I. Thiago,F,9,191,31181,M,,1016907,EUR,993513600,F,9,9,False,25.0,17.0,,,0.0,6.0,8.0,11.0,17.0,1.0,,,,90.0,41.0,5.6,18.0,0.0145408,43.867711650355,6.0,25.515,9.555,,1,,-0.13,-0.22,-0.02,,,,8.0,3.0,,1.0,,,1.0,,5.0,2.0,,,,,4.0,3.0,,,,,0.1976,,-0.56,1.0,,,,,,1.0,,,,
