match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_penaltyConceded,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wasFouled,player_firstName,player_lastName,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_wonTackle,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox
11067408,home,Fortaleza,João Ricardo,joao-ricardo,J. Ricardo,G,1,188,675,M,839761,EUR,589507200,G,1,1,False,18.0,12.0,7.0,1.0,12.0,12.0,6.0,9.0,2.0,1.0,1.0,90.0,30.0,6.1,6.0,0.0,0.0,5.656e-05,0,-0.0862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067408,home,Fortaleza,Tinga,tinga,Tinga,D,2,179,424,M,330057,EUR,746841600,D,2,2,False,69.0,54.0,4.0,1.0,20.0,22.0,55.0,8.0,,,,90.0,105.0,7.0,30.0,0.0655,0.0,0.0419114,1,,True,35.0,8.0,1.0,4.0,3.0,7.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11067408,home,Fortaleza,Emanuel Brítez,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,19,19,False,43.0,38.0,3.0,,16.0,19.0,25.0,7.0,,,,90.0,55.0,6.4,6.0,0.0,0.0,0.138262,0,,,23.0,1.0,1.0,4.0,5.0,4.0,,,,,5.0,1.0,1.0,,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,
11067408,home,Fortaleza,Titi,titi,Titi,D,4,187,324,M,243435,EUR,574128000,D,4,4,False,47.0,44.0,4.0,2.0,19.0,19.0,28.0,4.0,,,,90.0,50.0,6.5,3.0,0.0,0.0,0.00975119,0,,,25.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
11067408,home,Fortaleza,Bruno Pacheco,bruno-pacheco,B. Pacheco,D,91,174,374,M,870691,EUR,692150400,D,6,6,False,49.0,40.0,3.0,1.0,13.0,17.0,34.0,6.0,,,,90.0,72.0,7.4,13.0,0.1776,0.4612,0.0177248,2,,,27.0,2.0,,2.0,1.0,8.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,3.0,,,,,,,,
11067408,home,Fortaleza,Zé Welison,ze-welison,Zé Welison,M,28,177,354,M,551422,EUR,794880000,M,17,17,False,37.0,36.0,1.0,1.0,13.0,14.0,26.0,2.0,,,,45.0,46.0,6.8,5.0,0.0,0.0,0.166076,0,,,24.0,3.0,1.0,,3.0,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,
11067408,home,Fortaleza,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,8,8,False,99.0,87.0,4.0,3.0,32.0,35.0,65.0,7.0,,,,90.0,112.0,6.3,17.0,0.0139,0.0,0.123622,1,,,55.0,1.0,,,7.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,2.0,,,,
11067408,home,Fortaleza,Yago Pikachu,yago-pikachu,Y. Pikachu,M,22,170,1544,M,363688,EUR,707702400,M,22,22,False,29.0,27.0,,,6.0,6.0,26.0,1.0,,,,78.0,38.0,6.3,7.0,0.0449,0.0,0.0486257,1,,,22.0,3.0,1.0,1.0,4.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,3.0,,,,
11067408,home,Fortaleza,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,M,7,7,False,43.0,39.0,2.0,,7.0,8.0,43.0,3.0,,,,88.0,69.0,7.1,12.0,0.0462,0.0,0.226828,1,,,33.0,8.0,1.0,,5.0,7.0,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,5.0,,,,,3.0,,2.0,,
11067408,home,Fortaleza,Guilherme,guilherme,Guilherme,M,11,178,3515,M,844605,EUR,797731200,M,29,29,False,13.0,9.0,3.0,1.0,,1.0,16.0,3.0,,,,45.0,28.0,6.7,11.0,0.1543,0.0,0.0115119,4,,,9.0,4.0,,3.0,2.0,6.0,,1.0,1.0,1.0,1.0,,,3.0,,1.0,2.0,,,,3.0,,,2.0,,,,,,,,
11067408,home,Fortaleza,Juan Martín Lucero,juan-martin-lucero,J. M. Lucero,F,9,179,1899,M,359024,EUR,691459200,F,9,9,False,8.0,7.0,,,3.0,3.0,5.0,,,,,69.0,19.0,7.4,4.0,0.8763,1.2423,0.0037079,3,,,4.0,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,2.0,,1.0,,2.0,,,,,,,1.0,
