match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_goalAssist,stat_dispossessed,stat_totalContest,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_totalOffside,stat_punches,stat_bigChanceCreated,stat_clearanceOffLine,stat_bigChanceMissed
11026222,home,Sunderland,Anthony Patterson,,,anthony-patterson,A. Patterson,G,13,188,359,M,958718,EUR,957916800,G,1,1,False,30.0,19.0,13.0,2.0,18.0,24.0,1.0,6.0,1.0,11.0,1.0,2.0,2.0,2.0,90.0,43.0,6.3,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11026222,home,Sunderland,Trai Hume,,,hume-trai,T. Hume,D,32,180,1059,M,989034,EUR,1016409600,D,32,32,False,48.0,36.0,,,18.0,22.0,18.0,28.0,,8.0,,,,,90.0,69.0,6.2,18.0,1,2.0,2.0,1.0,7.0,6.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11026222,home,Sunderland,Daniel Ballard,,,ballard-daniel,D. Ballard,D,5,187,4668,M,958878,EUR,937958400,D,5,5,False,70.0,63.0,6.0,3.0,44.0,45.0,19.0,25.0,1.0,5.0,,,,,90.0,81.0,6.7,8.0,2,,1.0,2.0,1.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11026222,home,Sunderland,Danny Batth,,,danny-batth,D. Batth,D,4,191,117,M,90121,EUR,653875200,D,6,6,False,71.0,64.0,4.0,2.0,59.0,59.0,5.0,12.0,5.0,6.0,,,,,90.0,79.0,6.8,7.0,1,,3.0,2.0,4.0,2.0,,1.0,1.0,,,,,,1.0,,True,,,,,,,,,,,,,,,
11026222,home,Sunderland,Ajibola-Joshua Alese,,,ajibola-joshua-alese,A. Alese,D,34,192,213,M,934228,EUR,979689600,D,42,42,False,45.0,38.0,2.0,1.0,30.0,34.0,8.0,11.0,,2.0,,,,,90.0,61.0,6.3,12.0,0,,4.0,1.0,6.0,3.0,,,,1.0,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
11026222,home,Sunderland,Patrick Roberts,,,patrick-roberts,P. Roberts,M,16,167,457,M,361326,EUR,855100800,M,10,10,False,40.0,32.0,2.0,1.0,15.0,21.0,18.0,20.0,1.0,5.0,,,,,64.0,59.0,7.3,13.0,2,1.0,,1.0,7.0,8.0,1.0,1.0,,,2.0,2.0,1.0,2.0,2.0,5.0,,,1.0,6.0,1.0,3.0,1.0,1.0,,,,,,,,
11026222,home,Sunderland,Dan Neil,,,dan-neil,D. Neil,M,6,178,468,M,964106,EUR,1007078400,M,24,24,False,39.0,34.0,3.0,1.0,23.0,25.0,11.0,14.0,,7.0,,,,,64.0,56.0,6.6,9.0,2,,1.0,,10.0,7.0,4.0,1.0,,1.0,5.0,3.0,1.0,1.0,3.0,,,,2.0,1.0,,1.0,,,1.0,,,,,,,
11026222,home,Sunderland,Édouard Michut,,,edouard-michut,É. Michut,M,20,178,701,M,1048011,EUR,1046736000,M,25,25,False,36.0,35.0,,,18.0,19.0,17.0,17.0,,5.0,,,,,72.0,49.0,6.3,5.0,0,,2.0,,9.0,3.0,,,1.0,1.0,,,1.0,2.0,4.0,,,,2.0,2.0,,1.0,,,,,,,,,,
11026222,home,Sunderland,Jack Clarke,,,jack-clarke,J. Clarke,M,47,181,1602,M,921005,EUR,974937600,M,20,20,False,34.0,31.0,2.0,2.0,15.0,17.0,16.0,18.0,1.0,10.0,,,,,90.0,49.0,7.2,9.0,2,1.0,,,5.0,2.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,3.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,
11026222,home,Sunderland,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104235,M,971037,EUR,1026345600,F,16,16,False,30.0,25.0,,,8.0,8.0,17.0,22.0,,1.0,,,,,71.0,46.0,6.7,11.0,2,,,,8.0,5.0,2.0,,,,2.0,2.0,,1.0,,1.0,,,4.0,4.0,,2.0,2.0,,,,AmadDiallo19,,,,,
11026222,home,Sunderland,Abdoullah Ba,,,abdoullah-ba,A. Ba,M,46,180,423,M,1000139,EUR,1059609600,F,17,17,False,24.0,17.0,2.0,1.0,7.0,11.0,10.0,13.0,,4.0,,,,,79.0,36.0,6.4,11.0,2,,1.0,,5.0,3.0,,1.0,,,,,,2.0,,,,,3.0,2.0,,1.0,,,1.0,,,1.0,,,,
11026222,home,Sunderland,Luke O'Nien,,,luke-onien,L. O'Nien,D,13,174,563,M,365812,EUR,785376000,M,13,13,True,20.0,18.0,3.0,2.0,7.0,8.0,11.0,12.0,,3.0,,,,,26.0,24.0,6.6,3.0,1,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
