match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,captain,stat_dispossessed,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
13250586,home,Newcastle United,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3069,M,42209,EUR,600825600,G,1,1,False,26.0,9.0,22.0,5.0,0.0,6.0,7.0,3.0,19.0,1.0,1.0,2.0,9.0,1.0,2.0,3.0,2.0,90.0,37.0,7.4,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13250586,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8330,M,69256,EUR,653702400,D,2,2,False,25.0,16.0,5.0,,0.0,12.0,15.0,4.0,11.0,2.0,6.0,7.0,2.0,,,,,90.0,49.0,7.3,10.0,0,ktrippier2,1.0,4.0,8.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13250586,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3152,M,101882,EUR,693187200,D,5,5,False,20.0,13.0,5.0,1.0,1.0,11.0,14.0,2.0,7.0,2.0,3.0,4.0,2.0,,,,,90.0,31.0,7.3,8.0,1,,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13250586,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3363,M,910046,EUR,947635200,D,4,4,False,21.0,14.0,3.0,,0.0,13.0,16.0,1.0,5.0,6.0,9.0,10.0,2.0,,,,,80.0,42.0,7.4,8.0,1,,,,1.0,,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
13250586,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4556,M,99090,EUR,705369600,D,33,33,False,18.0,12.0,4.0,1.0,0.0,7.0,10.0,5.0,8.0,3.0,7.0,6.0,4.0,,,,,90.0,34.0,7.5,8.0,0,,,,,,1.0,2.0,4.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
13250586,home,Newcastle United,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4180,M,1136730,EUR,1094601600,D,20,20,False,22.0,14.0,7.0,2.0,0.0,11.0,13.0,5.0,11.0,,2.0,2.0,6.0,,,,,90.0,46.0,7.5,11.0,0,lewishall_10,2.0,1.0,1.0,,,2.0,2.0,2.0,,,,,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,
13250586,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3587,M,372336,EUR,793584000,M,23,23,False,5.0,2.0,1.0,,0.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,,,,,80.0,14.0,7.5,4.0,1,,1.0,1.0,3.0,2.0,,,2.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
13250586,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31704,M,866469,EUR,879638400,M,39,39,False,18.0,14.0,4.0,1.0,0.0,8.0,9.0,6.0,9.0,,7.0,1.0,9.0,,,,,89.0,36.0,6.6,9.0,1,BrunoGuimarães,,,7.0,1.0,,2.0,2.0,1.0,5.0,3.0,,1.0,,2.0,,,1.0,,,,,True,1.0,,,,,,,
13250586,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14430,M,892673,EUR,957744000,M,8,8,False,21.0,14.0,1.0,1.0,0.0,10.0,13.0,4.0,9.0,,1.0,4.0,3.0,,,,,87.0,39.0,6.6,15.0,0,sandrotonali,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,5.0,,,,,,1.0,,,,,,,
13250586,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,18379,M,914902,EUR,982972800,M,10,10,False,12.0,9.0,3.0,1.0,0.0,4.0,5.0,5.0,7.0,,7.0,2.0,6.0,,,,,90.0,43.0,7.3,13.0,4,AGordon,,1.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,
