match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_shotValueNormalized,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_wonContest,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_totalOffside,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_challengeLost
14888298,home,Port Vale,Joe Gauci,Joe,Gauci,joe-gauci,J. Gauci,G,46,194.0,369,M,966874,EUR,962668800.0,G,46,46,False,26.0,23.0,6.0,4.0,0.0,23.0,25.0,1.0,9.0,90.0,30.0,6.4,3.0,0,0.05,0.01,-0.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14888298,home,Port Vale,Jesse Debrah,,,jesse-debrah,J. Debrah,D,15,187.0,28,M,943651,EUR,988675200.0,D,22,22,False,75.0,67.0,13.0,6.0,0.0,50.0,50.0,25.0,5.0,90.0,88.0,6.4,12.0,3,0.02,0.27,-0.08,,17.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.55,,,,,,,,,,,,,,,,,,,
14888298,home,Port Vale,Cameron Humphreys,,,cameron-humphreys,C. Humphreys,D,25,187.0,59,M,803180,EUR,903744000.0,D,25,25,False,65.0,58.0,3.0,2.0,0.0,26.0,29.0,36.0,6.0,59.0,73.0,7.3,7.0,0,0.44,0.26,-0.13,,32.0,,1.0,,3.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14888298,home,Port Vale,Connor Hall,Connor,Hall,connor-hall,C. Hall,D,5,193.0,14,M,1002299,EUR,738115200.0,D,5,5,False,56.0,51.0,4.0,4.0,1.0,30.0,32.0,24.0,,72.0,63.0,7.3,7.0,0,0.58,-0.54,-0.18,,21.0,1.0,,3.0,2.0,,,,,,1.0,2.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
14888298,home,Port Vale,George Hall,,,george-hall,G. Hall,M,33,175.0,95,M,1136413,EUR,1089849600.0,M,33,33,False,31.0,26.0,3.0,2.0,1.0,4.0,6.0,25.0,,90.0,58.0,9.1,17.0,1,0.71,0.34,-0.04,,22.0,2.0,,7.0,6.0,,1.0,,,1.0,1.0,2.0,0.51,,1.0,,7.0,5.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
14888298,home,Port Vale,Rhys Walters,Rhys Walters,,rhys-walters,R. Walters,M,12,,20,M,1423760,EUR,1132272000.0,M,12,12,False,62.0,54.0,4.0,2.0,0.0,27.0,29.0,33.0,4.0,90.0,76.0,7.3,9.0,0,0.25,0.16,-0.04,,27.0,1.0,,4.0,10.0,,,,,1.0,,3.0,,3.0,1.0,7.0,3.0,2.0,2.0,,,,,,,,,,,,,
14888298,home,Port Vale,George Byers,George,Byers,george-byers,G. Byers,M,7,180.0,51,M,787586,EUR,833328000.0,M,7,7,False,57.0,48.0,6.0,4.0,1.0,19.0,20.0,37.0,2.0,68.0,69.0,7.3,12.0,3,0.55,0.01,-0.02,,29.0,1.0,,3.0,3.0,1.0,1.0,,,2.0,2.0,2.0,-0.25,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,True,1.0,,,,,
14888298,home,Port Vale,Marvin Johnson,Marvin,Johnson,marvin-johnson,M. Johnson,M,28,178.0,56,M,222188,EUR,660009600.0,M,28,28,False,40.0,31.0,6.0,4.0,1.0,10.0,12.0,28.0,2.0,58.0,61.0,8.1,15.0,2,0.83,0.27,-0.05,,21.0,,,1.0,3.0,,,,,,,4.0,0.01,,,,4.0,3.0,,6.0,2.0,,,,,,2.0,,,,,
14888298,home,Port Vale,Ruari Paton,,,ruari-paton,R. Paton,F,18,177.0,69,M,988686,EUR,968371200.0,F,17,17,False,36.0,28.0,2.0,2.0,0.0,8.0,9.0,27.0,1.0,90.0,62.0,9.8,19.0,9,0.38,0.89,-0.03,,20.0,,,2.0,3.0,2.0,3.0,,,,3.0,4.0,0.82,,,2.0,2.0,1.0,,7.0,1.0,1.0,,2.0,,,4.0,,,,,
14888298,home,Port Vale,Mo Faal,,,mo-faal,M. Faal,F,36,196.0,142,M,1018519,EUR,1044921600.0,F,36,36,False,17.0,14.0,1.0,1.0,0.0,2.0,3.0,14.0,2.0,90.0,30.0,6.0,7.0,2,0.19,0.12,0.21,,12.0,6.0,2.0,11.0,3.0,2.0,,4.0,,,1.0,2.0,-0.72,1.0,,1.0,,,3.0,,,3.0,,,,,,1.0,,,,
