match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_challengeLost,stat_wonTackle,stat_ownGoals,player_firstName,player_lastName,captain,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_wasFouled,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
12437635,home,Leganés,Marko Dmitrović,marko-dmitrovic,M. Dmitrović,G,13,194,1184,M,94527,EUR,696211200,G,13,13,False,31.0,8.0,27.0,4.0,0.0,4.0,4.0,4.0,27.0,2.0,14.0,2.0,3.0,4.0,90.0,47.0,7.0,23.0,0.00240785,0,-0.4556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437635,home,Leganés,Valentin Rosier,valentin-rosier,V. Rosier,D,19,175,797,M,842419,EUR,840412800,D,12,12,False,20.0,16.0,,,0.0,7.0,8.0,9.0,15.0,6.0,1.0,,,,90.0,53.0,7.1,10.0,0.0455092,0,,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437635,home,Leganés,Jorge Sáenz,jorge-saenz,J. Sáenz,D,3,192,188,M,592098,EUR,848188800,D,3,3,False,33.0,26.0,7.0,,0.0,20.0,23.0,6.0,10.0,11.0,3.0,,,,90.0,51.0,6.6,7.0,0.00463171,0,,,,2.0,3.0,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437635,home,Leganés,Sergio González,sergio-gonzalez,S. González,D,4,186,271,M,377234,EUR,703728000,D,6,6,False,39.0,33.0,7.0,4.0,0.0,23.0,24.0,10.0,15.0,4.0,2.0,,,,90.0,50.0,6.7,7.0,0.00219304,1,,,,4.0,1.0,,,,2.0,1.0,,1.0,2.0,1.0,,,,True,1.0,1.0,0.0159,,,,,,,,,,,,,,
12437635,home,Leganés,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,20,20,False,40.0,32.0,9.0,5.0,0.0,15.0,17.0,17.0,24.0,1.0,9.0,,,,90.0,63.0,6.9,14.0,0.0950334,0,,1.0,,3.0,3.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,
12437635,home,Leganés,Adrià Altimira,altimira-adria,A. Altimira,D,2,170,365,M,980732,EUR,985737600,M,2,2,False,13.0,10.0,,,0.0,3.0,3.0,7.0,13.0,,2.0,,,,75.0,23.0,6.3,10.0,0.0174005,1,,3.0,,2.0,,,,,2.0,,2.0,,1.0,,,,,,,,0.1225,,1.0,1.0,1.0,1.0,0.2108,,,,,,,,
12437635,home,Leganés,Óscar Rodríguez,oscar-rodriguez,Ó. Rodríguez,M,14,174,618,M,794948,EUR,898992000,M,7,7,False,16.0,11.0,1.0,,0.0,2.0,3.0,11.0,17.0,,,,,,67.0,23.0,6.8,8.0,0.227679,0,,4.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,
12437635,home,Leganés,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,M,5,5,False,31.0,20.0,7.0,2.0,0.0,12.0,15.0,8.0,16.0,2.0,9.0,,,,90.0,39.0,6.4,13.0,0.00350384,0,,,,3.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
12437635,home,Leganés,Seydouba Cisse,seydouba-cisse,S. Cisse,M,8,172,3843,M,906065,EUR,981763200,M,8,8,False,25.0,21.0,1.0,1.0,0.0,15.0,16.0,6.0,9.0,,5.0,,,,75.0,36.0,7.0,6.0,0.0145696,0,,,,5.0,7.0,2.0,1.0,,,6.0,,1.0,1.0,4.0,,,,,1.0,,,,1.0,,,,,,1.0,seydoubacisse32,,,,,
12437635,home,Leganés,Yan Diomande,yan-diomande,Y. Diomande,F,49,180,20639,M,2087085,EUR,1163462400,M,30,30,False,7.0,7.0,,,0.0,4.0,4.0,3.0,4.0,,2.0,,,,59.0,24.0,6.1,10.0,0.00518214,1,,1.0,1.0,12.0,2.0,3.0,1.0,,,,2.0,5.0,,,,Yan Diomande,,,5.0,,0.0384,,,,,1.0,,,1.0,,1.0,,,,
