match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_hitWoodwork,stat_goalAssist,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim
10406808,home,RSC Anderlecht,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4218,M,994363,EUR,1029628800,G,16,16,False,48.0,35.0,23.0,10.0,30.0,30.0,5.0,18.0,1.0,12.0,1.0,2.0,1.0,90.0,55.0,7.4,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406808,home,RSC Anderlecht,Amir Murillo,michael-murillo,A. Murillo,D,62,183,3627,M,839493,EUR,823996800,D,62,62,False,44.0,33.0,9.0,7.0,26.0,33.0,8.0,12.0,3.0,8.0,,,,90.0,65.0,7.4,15.0,0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10406808,home,RSC Anderlecht,Zeno Debast,zeno-debast,Z. Debast,D,6,191,3329,M,1126512,EUR,1066867200,D,56,56,False,54.0,40.0,10.0,7.0,33.0,40.0,7.0,14.0,4.0,2.0,,,,90.0,61.0,7.3,14.0,1,,,3.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10406808,home,RSC Anderlecht,Jan Vertonghen,jan-vertonghen,J. Vertonghen,D,,189,1673,M,16921,EUR,546220800,D,14,14,False,71.0,56.0,9.0,4.0,49.0,60.0,7.0,11.0,10.0,8.0,,,,90.0,93.0,7.5,17.0,0,,,12.0,16.0,3.0,1.0,,2.0,,,,,,1.0,True,5.0,9.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,
10406808,home,RSC Anderlecht,Killian Sardella,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,57.0,43.0,10.0,4.0,31.0,38.0,12.0,20.0,1.0,5.0,,,,90.0,84.0,6.5,23.0,0,1.0,,2.0,5.0,2.0,,2.0,1.0,,,,,,,,5.0,10.0,,,2.0,2.0,1.0,2.0,,,,,,,,,
10406808,home,RSC Anderlecht,Yari Verschaeren,verschaeren-yari,Y. Verschaeren,M,10,172,1145,M,901898,EUR,994896000,M,10,10,False,44.0,34.0,6.0,2.0,16.0,23.0,20.0,24.0,1.0,7.0,,,,90.0,58.0,6.7,15.0,2,3.0,2.0,,3.0,2.0,,2.0,1.0,,3.0,,,1.0,,,,2.0,,1.0,2.0,1.0,,,2.0,1.0,,,,,,,
10406808,home,RSC Anderlecht,Kristian Arnstad,kristian-arnstad,K. Arnstad,M,10,171,574,M,984989,EUR,1062892800,M,61,61,False,32.0,28.0,9.0,6.0,10.0,11.0,18.0,22.0,3.0,9.0,,,,88.0,48.0,7.5,8.0,2,1.0,,1.0,6.0,1.0,1.0,3.0,1.0,,2.0,,,2.0,,,,2.0,,1.0,3.0,2.0,2.0,,,,1.0,1.0,,,,,
10406808,home,RSC Anderlecht,Majeed Ashimeru,majeed-ashimeru,M. Ashimeru,M,18,182,1285,M,901149,EUR,876441600,M,18,18,False,43.0,34.0,4.0,3.0,22.0,26.0,12.0,17.0,1.0,11.0,,,,75.0,53.0,6.6,11.0,0,,,,6.0,4.0,4.0,1.0,2.0,,1.0,,,,,,2.0,5.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
10406808,home,RSC Anderlecht,Anders Dreyer,anders-dreyer,A. Dreyer,F,10,174,2337,M,809280,EUR,894067200,F,36,36,False,28.0,21.0,4.0,2.0,8.0,10.0,14.0,21.0,,2.0,,,,90.0,43.0,7.6,11.0,4,3.0,1.0,,3.0,3.0,2.0,,1.0,,1.0,,,,,,,3.0,2.0,2.0,,,,,,4.0,,,1.0,,,,
10406808,home,RSC Anderlecht,Islam Slimani,islam-slimani,I. Slimani,F,19,188,7448,M,238708,EUR,582595200,F,13,13,False,18.0,12.0,1.0,1.0,5.0,6.0,7.0,12.0,5.0,4.0,,,,88.0,49.0,8.4,12.0,9,,,4.0,15.0,3.0,3.0,3.0,5.0,1.0,2.0,,,3.0,,,1.0,7.0,2.0,,3.0,2.0,1.0,3.0,3.0,4.0,1.0,,,islamslimani09,2.0,2.0,
