match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_shotOffTarget,stat_wonTackle,stat_totalOffside,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_goalAssist
11481889,home,Bari,Pierluigi Frattali,,,pierluigi-frattali,P. Frattali,G,185,25,M,43945,EUR,502243200,G,1,1,False,18.0,16.0,5.0,3.0,16.0,16.0,2.0,1.0,7.0,1.0,1.0,1.0,90.0,28.0,6.2,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11481889,home,Bari,Mehdi Dorval,Mehdi Dorval,,mehdi-dorval,M. Dorval,M,176,3543,M,1391304,EUR,981676800,D,93,93,False,53.0,42.0,2.0,2.0,22.0,28.0,31.0,4.0,5.0,1.0,,,90.0,85.0,6.4,21.0,0,93,21.0,6.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11481889,home,Bari,Valerio Di Cesare,,,valerio-di-cesare,V. D. Cesare,D,187,55,M,44027,EUR,422496000,D,6,6,False,56.0,47.0,5.0,2.0,37.0,42.0,14.0,3.0,6.0,,,,90.0,64.0,6.3,9.0,0,,10.0,,,3.0,1.0,4.0,,,,,,1.0,,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11481889,home,Bari,Francesco Vicari,,,francesco-vicari,F. Vicari,D,190,73,M,328103,EUR,775872000,D,23,23,False,59.0,51.0,3.0,2.0,41.0,46.0,13.0,,5.0,,,,90.0,65.0,6.0,9.0,0,34,10.0,,,2.0,,5.0,3.0,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
11481889,home,Bari,Giacomo Ricci,,,giacomo-ricci,G. Ricci,M,180,57,M,606940,EUR,841622400,D,31,31,False,52.0,41.0,4.0,2.0,18.0,21.0,34.0,6.0,4.0,3.0,,,63.0,72.0,7.1,18.0,0,31,24.0,3.0,1.0,,1.0,,,,2.0,2.0,5.0,,1.0,,1.0,,,,,,,,,,,,,,,
11481889,home,Bari,Aurélien Scheidler,,,aurelien-scheidler,A. Scheidler,F,192,170,M,915567,EUR,896918400,M,44,44,False,16.0,14.0,4.0,4.0,1.0,1.0,15.0,3.0,,,,,63.0,23.0,6.7,3.0,2,21,13.0,,,4.0,2.0,5.0,,,,,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,
11481889,home,Bari,Ahmad Benali,,,ahmad-benali,A. Benali,M,173,270,M,187841,EUR,697420800,M,8,8,False,73.0,61.0,11.0,7.0,38.0,39.0,35.0,7.0,9.0,2.0,,,90.0,90.0,7.0,15.0,0,7,23.0,1.0,,,1.0,5.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,,1.0,4.0,,3.0,,,,,,,,,,
11481889,home,Bari,Mattia Maita,,,mattia-maita,M. Maita,M,182,56,M,139402,EUR,725932800,M,4,4,False,48.0,41.0,4.0,2.0,21.0,22.0,26.0,4.0,2.0,,,,88.0,55.0,6.6,8.0,0,8,20.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,
11481889,home,Bari,Nicola Bellomo,,,nicola-bellomo,N. Bellomo,M,174,63,M,126161,EUR,666835200,F,10,10,False,29.0,21.0,2.0,1.0,10.0,12.0,27.0,2.0,7.0,1.0,,,63.0,46.0,6.6,20.0,0,10,14.0,10.0,3.0,,,5.0,1.0,3.0,1.0,,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,
11481889,home,Bari,Marco Nasti,,,marco-nasti,M. Nasti,F,179,425,M,1101161,EUR,1063756800,F,9,9,False,13.0,10.0,,,4.0,4.0,10.0,4.0,1.0,1.0,,,90.0,23.0,6.9,7.0,3,19,6.0,1.0,,2.0,1.0,4.0,,,,,3.0,2.0,,,,,,2.0,3.0,2.0,2.0,,,,,,,,,
