match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_totalOffside,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_ownGoals
11409110,home,CF Estrela Amadora,Wagner,wagner,Wagner,G,28,188,43,M,1400276,EUR,893721600,G,98,98,False,24.0,18.0,8.0,2.0,17.0,17.0,1.0,7.0,1.0,17.0,2.0,4.0,1.0,90.0,41.0,7.4,6.0,0.00080981,0,0.8142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409110,home,CF Estrela Amadora,Hevertton Santos,hevertton-santos,H. Santos,D,20,182,177,M,1087355,EUR,980985600,D,27,27,False,61.0,51.0,5.0,3.0,36.0,40.0,15.0,21.0,4.0,8.0,,,,90.0,79.0,7.0,12.0,0.0066178,0,,,,1.0,1.0,4.0,8.0,6.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11409110,home,CF Estrela Amadora,Kialonda Gaspar,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,1090374,EUR,875318400,D,4,4,False,53.0,51.0,4.0,2.0,42.0,43.0,9.0,10.0,5.0,4.0,,,,90.0,60.0,6.6,2.0,0.00658458,0,,Kialonda Gaspar,,,1.0,2.0,3.0,,,,,,2.0,True,2.0,,,,,,,,,,,,,,,,,,
11409110,home,CF Estrela Amadora,Júnior Almeida,erivaldo-almeida,Jr. Almeida,D,4,189,45,M,1046500,EUR,947894400,D,14,14,False,61.0,52.0,13.0,6.0,44.0,46.0,8.0,15.0,6.0,4.0,,,,90.0,74.0,6.7,10.0,0.00325036,1,,Erivaldo Almeida,,,2.0,2.0,3.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0366,,,,,,,,,,,,,,
11409110,home,CF Estrela Amadora,Jean Felipe,jean-felipe,J. Felipe,D,12,180,36,M,386094,EUR,769219200,M,12,12,False,42.0,34.0,4.0,1.0,18.0,18.0,17.0,27.0,,2.0,,,,90.0,66.0,7.1,12.0,0.0392075,0,,,,1.0,,2.0,3.0,,,,2.0,2.0,,,1.0,1.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,,
11409110,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,41.0,39.0,3.0,2.0,24.0,24.0,15.0,17.0,,8.0,,,,90.0,50.0,6.7,4.0,0.0863215,0,,,,3.0,1.0,10.0,4.0,1.0,,,2.0,2.0,4.0,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,
11409110,home,CF Estrela Amadora,Vitó,vito,Vitó,M,8,180,26,M,845680,EUR,874540800,M,18,18,False,40.0,28.0,3.0,1.0,17.0,20.0,12.0,21.0,,5.0,,,,67.0,52.0,6.6,14.0,0.00683906,0,,,,,2.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,,,1.0,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,
11409110,home,CF Estrela Amadora,João Reis,joao-reis,J. Reis,D,17,174,24,M,343487,EUR,709344000,M,17,17,False,38.0,32.0,2.0,,24.0,25.0,8.0,13.0,1.0,4.0,,,,76.0,50.0,6.3,8.0,0.00454696,0,,,,1.0,,4.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
11409110,home,CF Estrela Amadora,Ronald,ronald,Ronald,M,35,177,288,M,1123234,EUR,992476800,F,90,90,False,27.0,16.0,2.0,,8.0,14.0,9.0,15.0,,3.0,,,,82.0,42.0,6.6,17.0,0.117395,0,,Ronald,,1.0,2.0,9.0,5.0,1.0,,,1.0,,4.0,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,3.0,1.0,,,,,,,
11409110,home,CF Estrela Amadora,Léo Jabá,leo-jaba,L. Jabá,F,,178,256,M,852518,EUR,902016000,F,8,8,False,17.0,8.0,2.0,,2.0,5.0,7.0,15.0,,3.0,,,,67.0,33.0,7.3,17.0,0.43276,1,,,,1.0,1.0,6.0,4.0,3.0,1.0,,,,1.0,,2.0,1.0,,2.0,0.0717,3.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.1422,,,
