match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyConceded,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_errorLeadToAShot,stat_penaltyMiss
12421251,home,Sint-Truidense VV,Léo Kokubo,,,leo-kokubo,L. Kokubo,G,16,193.0,966,M,997020,EUR,980208000,G,16,16,False,23.0,19.0,14.0,10.0,0.0,14.0,15.0,5.0,8.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,90.0,32.0,8.2,4.0,0.00090826,0,1.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421251,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187.0,193,M,1047163,EUR,1027468800,D,20,20,False,51.0,43.0,10.0,6.0,0.0,28.0,34.0,15.0,17.0,4.0,5.0,,,,,,90.0,66.0,7.0,10.0,0.00449998,0,,1.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12421251,home,Sint-Truidense VV,Visar Musliu,Visar,Musliu,visar-musliu,V. Musliu,D,26,186.0,207,M,134231,EUR,784684800,D,26,26,False,37.0,33.0,6.0,2.0,0.0,30.0,31.0,3.0,6.0,10.0,2.0,,,,,,90.0,57.0,7.6,4.0,0.0008998,0,,1.0,3.0,3.0,6.0,,,2.0,1.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12421251,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190.0,68,M,247321,EUR,705456000,D,31,31,False,45.0,41.0,2.0,1.0,0.0,22.0,24.0,19.0,21.0,10.0,2.0,,,,,,90.0,62.0,7.5,6.0,0.00773201,0,,1.0,3.0,3.0,3.0,,,,,,,1.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12421251,home,Sint-Truidense VV,Robert-Jan Vanwesemael,,,vanwesemael-robert-jan,R. Vanwesemael,M,60,175.0,67,M,1047164,EUR,1017100800,M,60,60,False,32.0,24.0,6.0,5.0,0.0,12.0,17.0,14.0,18.0,2.0,4.0,,,,,,75.0,51.0,7.1,10.0,0.23392,1,,,2.0,1.0,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0133,2.0,,,,,,,,
12421251,home,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175.0,1436,M,1002461,EUR,1013817600,M,8,8,False,38.0,34.0,1.0,,0.0,21.0,24.0,13.0,14.0,,5.0,,,,,,90.0,52.0,6.9,8.0,0.0180906,1,,1.0,2.0,7.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,2.0,1.0,,,,0.0451,3.0,1.0,0.0704,,,,,,
12421251,home,Sint-Truidense VV,Ryotaro Ito,Ryotaro,Ito,ryotaro-ito,R. Ito,M,13,174.0,672,M,831697,EUR,886723200,M,13,13,False,47.0,39.0,5.0,3.0,0.0,27.0,29.0,12.0,18.0,,12.0,,,,,,89.0,67.0,7.3,12.0,0.0223672,1,,1.0,,2.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,,1.0,,,1.0,,,,,0.0267,,,,1.0,,,,,
12421251,home,Sint-Truidense VV,Ryoya Ogawa,,,ryoya-ogawa,R. Ogawa,M,7,182.0,155,M,790973,EUR,848793600,M,2,2,False,22.0,15.0,2.0,1.0,0.0,9.0,11.0,8.0,14.0,2.0,2.0,,,,,,90.0,47.0,7.3,11.0,0.322407,0,,,,1.0,3.0,,,2.0,2.0,1.0,1.0,,,1.0,,1.0,3.0,2.0,,1.0,,,,,2.0,,,,,,,,
12421251,home,Sint-Truidense VV,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173.0,746,M,867250,EUR,966124800,F,91,91,False,22.0,15.0,3.0,2.0,0.0,5.0,9.0,10.0,13.0,1.0,1.0,,,,,,89.0,39.0,7.1,12.0,0.0372968,3,,1.0,1.0,8.0,5.0,4.0,2.0,1.0,,1.0,1.0,1.0,,4.0,,3.0,,,,,1.0,,,0.8328,,1.0,0.8754,1.0,1.0,,,,
12421251,home,Sint-Truidense VV,Andrés Ferrari,,,andres-ferrari,A. Ferrari,F,9,183.0,452,M,1177406,EUR,1041552000,F,9,9,False,10.0,9.0,1.0,1.0,0.0,4.0,5.0,5.0,5.0,1.0,1.0,,,,,,75.0,29.0,7.8,8.0,0.0154647,3,,1.0,2.0,4.0,7.0,2.0,2.0,2.0,,,1.0,1.0,,,,5.0,,,2.0,,,,2.0,0.5144,1.0,3.0,1.1979,,,2.0,1.0,,
