match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle,stat_errorLeadToAShot
12476543,home,Cambridge United,Jack Stevens,jack-stevens,J. Stevens,G,25,188.0,17,M,822350,EUR,870480000.0,G,1,1,False,50.0,40.0,17.0,7.0,0.0,35.0,38.0,5.0,12.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,2.0,90.0,62.0,5.9,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476543,home,Cambridge United,Connor O'Riordan,connor-oriordan,C. O'Riordan,D,26,193.0,71,M,1133480,EUR,1066521600.0,D,29,29,False,38.0,37.0,3.0,3.0,0.0,29.0,29.0,8.0,9.0,2.0,4.0,,1.0,1.0,,,,66.0,43.0,7.0,1.0,0,Connor O'Riordan,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12476543,home,Cambridge United,Michael Morrison,michael-morrison,M. Morrison,D,5,191.0,23,M,38009,EUR,573350400.0,D,5,5,False,87.0,75.0,9.0,4.0,0.0,62.0,67.0,13.0,20.0,4.0,6.0,1.0,2.0,,,2.0,,90.0,97.0,6.7,12.0,0,,,3.0,2.0,,2.0,,2.0,,,,True,,,,,,,,,,,,,,,,,
12476543,home,Cambridge United,Zeno Ibsen Rossi,zeno-ibsen-rossi,Z. I. Rossi,D,16,191.0,31,M,1020667,EUR,972691200.0,D,16,16,False,80.0,68.0,12.0,4.0,0.0,46.0,49.0,22.0,31.0,4.0,8.0,1.0,4.0,5.0,,1.0,,90.0,104.0,7.0,15.0,2,,,2.0,3.0,,,2.0,4.0,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,
12476543,home,Cambridge United,Liam Bennett,liam-bennett,L. Bennett,M,2,175.0,34,M,1132091,EUR,1007078400.0,M,2,2,False,35.0,31.0,5.0,4.0,0.0,7.0,8.0,26.0,37.0,6.0,3.0,1.0,1.0,2.0,,,,90.0,63.0,6.7,17.0,2,Liam Bennett,,2.0,2.0,,,,,,,1.0,,1.0,10.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,
12476543,home,Cambridge United,Paul Digby,paul-digby,P. Digby,M,8,175.0,21,M,182623,EUR,791683200.0,M,4,4,False,90.0,83.0,4.0,4.0,0.0,40.0,41.0,43.0,51.0,2.0,4.0,1.0,,3.0,,,,90.0,99.0,7.7,9.0,1,,,,3.0,,1.0,,,,1.0,,,,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,
12476543,home,Cambridge United,James Brophy,james-brophy,J. Brophy,M,7,180.0,35,M,804525,EUR,775094400.0,M,7,7,False,41.0,39.0,,,0.0,18.0,19.0,22.0,23.0,3.0,5.0,,,4.0,,3.0,,66.0,52.0,6.7,5.0,0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,
12476543,home,Cambridge United,Danny Andrew,danny-andrew,D. Andrew,D,21,180.0,20,M,47510,EUR,661910400.0,M,3,3,False,38.0,32.0,1.0,1.0,0.0,17.0,18.0,16.0,29.0,7.0,7.0,2.0,2.0,3.0,,1.0,,90.0,65.0,7.1,18.0,2,Danny,Andrew,3.0,3.0,,,1.0,2.0,1.0,,3.0,,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
12476543,home,Cambridge United,Elias Kachunga,elias-kachunga,E. Kachunga,F,10,178.0,80,M,114066,EUR,703900800.0,F,10,10,False,23.0,19.0,,,0.0,8.0,8.0,12.0,16.0,6.0,3.0,,,3.0,,1.0,,45.0,36.0,6.6,9.0,1,,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,,,,,,
12476543,home,Cambridge United,Daniel Barton,barton-daniel,D. Barton,F,,170.0,14,M,1632580,EUR,1106870400.0,F,36,36,False,31.0,29.0,,,0.0,12.0,12.0,18.0,21.0,8.0,5.0,,,4.0,,2.0,,88.0,54.0,7.3,12.0,2,,,2.0,1.0,,,,2.0,2.0,,3.0,,,2.0,1.0,5.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,
