match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_blockedScoringAttempt,stat_keyPass,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_outfielderBlock,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_punches,stat_goalAssist,stat_goals
11067427,home,Coritiba,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,30.0,20.0,16.0,7.0,15.0,18.0,5.0,12.0,1.0,8.0,1.0,2.0,3.0,90.0,41.0,6.1,10.0,0.0009938,0,-1.3363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067427,home,Coritiba,Natanael,natanael,Natanael,D,2,172,1029,M,1046805,EUR,1010188800,D,16,16,False,36.0,28.0,,,9.0,12.0,20.0,28.0,,4.0,,,,77.0,57.0,6.6,11.0,0.0204624,2,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2089,0.057,,,,,,,,,,,,,,,,,,,
11067427,home,Coritiba,Thalisson Gabriel,thalisson-gabriel,Thalisson Gabriel,D,6,190,175,M,1109577,EUR,1011484800,D,14,14,False,67.0,55.0,6.0,2.0,35.0,43.0,20.0,24.0,3.0,9.0,,,,90.0,76.0,6.4,12.0,0.0196634,0,,,,1.0,3.0,6.0,,,,,1.0,1.0,1.0,,,Thalisson,Gabriel,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,
11067427,home,Coritiba,Jean Pedroso,jean-pedroso,Jean Pedroso,D,47,191,259,M,1462756,EUR,1075248000,D,47,47,False,68.0,57.0,11.0,3.0,33.0,35.0,24.0,33.0,1.0,7.0,,,,90.0,70.0,6.0,11.0,0.02225,0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067427,home,Coritiba,Victor Luis,victor-luis,V. Luis,D,12,180,1056,M,252781,EUR,740793600,D,26,26,False,43.0,37.0,1.0,1.0,18.0,19.0,21.0,28.0,1.0,9.0,,,,70.0,68.0,6.8,13.0,0.250662,1,,4.0,2.0,,2.0,,,,,4.0,,,,0.0704,,,,,,2.0,,,1.0,3.0,,,,,,,,,,
11067427,home,Coritiba,Willian Farias,willian-farias,W. Farias,M,5,176,330,M,243239,EUR,613094400,M,8,8,False,64.0,51.0,4.0,3.0,18.0,24.0,33.0,41.0,1.0,6.0,,,,90.0,76.0,7.1,15.0,0.0400845,3,,1.0,,1.0,1.0,3.0,,2.0,,3.0,,,,0.1083,,,,1.0,,1.0,1.0,1.0,1.0,1.0,True,1.0,,,,,,,,
11067427,home,Coritiba,Robson,robson,Robson,F,11,179,708,M,850987,EUR,675561600,M,30,30,False,25.0,20.0,1.0,,6.0,7.0,15.0,20.0,1.0,1.0,,,,64.0,40.0,6.4,10.0,0.0916554,1,,2.0,1.0,7.0,11.0,2.0,,1.0,,1.0,,,2.0,0.0182,,,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,
11067427,home,Coritiba,Matheus Bianqui,matheus-bianqui,M. Bianqui,M,17,187,122,M,981746,EUR,886204800,M,17,17,False,24.0,16.0,4.0,,8.0,12.0,8.0,12.0,,4.0,,,,76.0,42.0,7.0,11.0,0.00417799,3,,,,3.0,6.0,10.0,,2.0,,2.0,5.0,4.0,2.0,0.2484,,,,5.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,
11067427,home,Coritiba,Marcelino Moreno,marcelino-moreno,M. Moreno,M,10,175,936,M,848472,EUR,804038400,M,10,10,False,55.0,51.0,5.0,5.0,11.0,11.0,45.0,62.0,,6.0,,,,90.0,106.0,7.2,32.0,1.05025,1,,18.0,5.0,2.0,16.0,9.0,,,,1.0,,,2.0,0.0152,,,,,1.0,11.0,6.0,3.0,1.0,3.0,,4.0,6.0,,2.0,,,,,
11067427,home,Coritiba,Sebastian Gomez,sebastian-gomez,S. Gomez,M,19,172,521,M,925142,EUR,833760000,M,19,19,False,20.0,16.0,,,4.0,4.0,13.0,18.0,,3.0,,,,45.0,29.0,6.4,8.0,0.0630625,0,,2.0,1.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,
