match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_bigChanceCreated,stat_keyPass,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId
12765053,home,Mladá Boleslav,Matouš Trmal,matous-trmal,M. Trmal,G,29,190.0,52,M,909632,EUR,907286400,G,29,29,False,34.0,22.0,16.0,4.0,0.0,21.0,23.0,1.0,11.0,1.0,6.0,2.0,3.0,90.0,39.0,6.6,12.0,0.00028019,0,-0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765053,home,Mladá Boleslav,Tomas Kral,kral-tomas,T. Kral,D,5,185.0,42,M,1438661,EUR,1098748800,D,14,14,False,45.0,36.0,7.0,2.0,0.0,29.0,32.0,7.0,13.0,2.0,8.0,,,90.0,58.0,6.6,14.0,0.00397487,0,,,,2.0,3.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12765053,home,Mladá Boleslav,Marek Suchý,marek-suchy,M. Suchý,D,17,184.0,32,M,12189,EUR,575596800,D,17,17,False,40.0,38.0,3.0,1.0,0.0,32.0,32.0,6.0,8.0,6.0,3.0,,,90.0,54.0,6.6,3.0,0.00404375,1,,,,3.0,7.0,1.0,,2.0,1.0,,True,4.0,1.0,1.0,2.0,2.0,0.1522,,,,,,,,,,,,,,,
12765053,home,Mladá Boleslav,Martin Králik,martin-kralik,M. Králik,D,3,186.0,28,M,187223,EUR,796867200,D,3,3,False,30.0,25.0,3.0,1.0,0.0,20.0,21.0,5.0,9.0,4.0,2.0,,,90.0,53.0,7.5,9.0,0.00319012,1,,,,2.0,5.0,1.0,2.0,1.0,3.0,3.0,,2.0,1.0,,,1.0,0.0423,1.0,2.0,,,,,,,,,,,,,
12765053,home,Mladá Boleslav,Dominik Kostka,dominik-kostka,D. Kostka,M,31,177.0,3,M,815276,EUR,831168000,M,31,31,False,29.0,23.0,2.0,,0.0,12.0,14.0,11.0,16.0,2.0,8.0,,,90.0,49.0,6.7,11.0,0.00793223,0,,,,7.0,5.0,2.0,,1.0,,,,2.0,,,,1.0,,,,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,
12765053,home,Mladá Boleslav,Patrik Vydra,patrik-vydra,P. Vydra,M,26,190.0,155,M,1123855,EUR,1056067200,M,66,66,False,55.0,43.0,8.0,2.0,0.0,23.0,25.0,20.0,31.0,1.0,10.0,,,90.0,75.0,7.1,21.0,0.0293123,3,,Patrik Vydra,,7.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,0.8752,,1.0,1.0,,2.0,5.0,1.0,,1.0,1.0,1.0,0.9871,,,
12765053,home,Mladá Boleslav,Vojtěch Stránský,vojtech-stransky,V. Stransky,M,12,181.0,28,M,1030207,EUR,1047513600,M,12,12,False,29.0,23.0,1.0,1.0,0.0,10.0,10.0,13.0,19.0,,9.0,,,81.0,47.0,8.0,9.0,0.0873011,2,,,,1.0,9.0,,,,5.0,3.0,,,1.0,2.0,4.0,,0.0541,1.0,1.0,,,,1.0,,,1.0,,,0.0526,,,
12765053,home,Mladá Boleslav,Daniel Mareček,daniel-marecek,D. Mareček,M,37,177.0,11,M,839720,EUR,896486400,M,30,30,False,12.0,6.0,1.0,,0.0,3.0,5.0,4.0,9.0,,3.0,,,69.0,28.0,6.5,10.0,0.0809138,4,,,,6.0,2.0,,,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,0.4591,,1.0,2.0,4.0,,,,,3.0,,,1.6608,1.0,2.0,
12765053,home,Mladá Boleslav,Tomáš Ladra,tomas-ladra,T. Ladra,F,18,178.0,58,M,827568,EUR,861840000,F,10,10,False,34.0,26.0,7.0,4.0,0.0,10.0,11.0,17.0,27.0,,4.0,,,90.0,57.0,7.1,16.0,0.363296,3,,,,8.0,7.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,0.4235,,2.0,4.0,2.0,,6.0,3.0,,2.0,,,0.5294,1.0,1.0,
12765053,home,Mladá Boleslav,Matyáš Vojta,matyas-vojta,M. Vojta,F,29,189.0,97,M,1090061,EUR,1077753600,F,9,9,False,19.0,12.0,,,0.0,5.0,6.0,7.0,13.0,,2.0,,,81.0,27.0,7.2,8.0,0.0079693,3,,,,6.0,3.0,,,,,,,2.0,1.0,1.0,1.0,2.0,0.969,,,,4.0,,,,2.0,2.0,,1.0,1.7515,,1.0,
