match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_fouls,captain,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_totalContest,stat_totalOffside,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,stat_ownGoals,stat_outfielderBlock
12436612,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,37.0,24.0,19.0,6.0,0.0,23.0,25.0,1.0,12.0,1.0,1.0,2.0,6.0,1.0,4.0,4.0,1.0,1.0,1.0,90.0,46.0,7.2,13.0,0.00017494,0,-0.4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436612,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,53.0,48.0,2.0,1.0,0.0,19.0,20.0,29.0,33.0,1.0,6.0,1.0,6.0,,,,,,,68.0,66.0,7.5,6.0,0.01472,1,,,,1.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0731,1.0,,,,,,,,,,,,,,,,,,,,
12436612,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,60.0,55.0,5.0,3.0,0.0,30.0,31.0,25.0,29.0,2.0,4.0,5.0,1.0,,,,,,,90.0,69.0,6.9,6.0,0.0191567,0,,,,1.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12436612,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,66.0,63.0,8.0,7.0,0.0,33.0,33.0,30.0,33.0,4.0,4.0,6.0,4.0,,,,,,,90.0,80.0,7.7,6.0,0.0148694,2,,,,,2.0,,,,,,0.1752,,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4037,,,,,,,,,,
12436612,home,Liverpool,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16200,M,TK21,786259,EUR,831859200,D,21,21,False,40.0,37.0,3.0,3.0,0.0,14.0,14.0,24.0,32.0,,3.0,,1.0,,,,,,,60.0,59.0,7.0,11.0,0.392388,0,,,,,3.0,2.0,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,,6.0,1.0,1.0,1.0,,,,,,
12436612,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,49.0,42.0,1.0,,0.0,15.0,16.0,27.0,33.0,,7.0,,5.0,,,,,,,90.0,62.0,7.0,9.0,0.0646459,1,,,,,4.0,2.0,1.0,3.0,2.0,2.0,0.0198,,1.0,,,,,,1.0,,1.0,,,,3.0,,2.0,,,,,
12436612,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,36.0,30.0,3.0,1.0,1.0,6.0,8.0,26.0,37.0,1.0,7.0,1.0,2.0,,,,,,,90.0,63.0,7.7,15.0,0.314354,4,,,,4.0,8.0,2.0,,3.0,1.0,2.0,0.3035,2.0,2.0,,,2.0,2.0,,1.0,,2.0,0.2585,9.0,2.0,1.0,,1.0,1.0,1.0,,,
12436612,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,37.0,29.0,,,1.0,4.0,4.0,25.0,35.0,,1.0,,,,,,,,,85.0,48.0,7.6,14.0,0.28125,1,,,,1.0,5.0,,,,,,0.0912,3.0,1.0,,1.0,1.0,,,,,1.0,,2.0,,3.0,2.0,1.0,,,2.0,,
12436612,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,45.0,43.0,1.0,,0.0,10.0,10.0,33.0,36.0,,2.0,,2.0,,,,,,,68.0,54.0,6.9,5.0,0.262618,1,,,,1.0,3.0,,,2.0,1.0,,0.018,,1.0,,,,1.0,,,,1.0,0.0103,1.0,,1.0,,,,,,,
12436612,home,Liverpool,Luis Díaz,luis-diaz,L. Díaz,F,14,178,142017,M,LuisDíaz,883537,EUR,853113600,M,7,7,False,26.0,20.0,1.0,1.0,0.0,4.0,4.0,18.0,25.0,1.0,6.0,,4.0,,,,,,,90.0,44.0,8.1,10.0,0.198081,4,,,,1.0,5.0,1.0,2.0,3.0,1.0,,1.0009,2.0,2.0,,1.0,,2.0,1.0,,,1.0,1.0518,3.0,2.0,2.0,1.0,2.0,,1.0,,,
