match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_totalCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_wonContest,captain,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_lastManTackle,stat_bigChanceMissed
14573089,home,SK Sigma Olomouc,Jan Koutný,jan-koutny,J. Koutny,G,91,195.0,70,M,1416941,EUR,1097712000,G,91,91,False,38.0,23.0,24.0,10.0,0.0,18.0,21.0,5.0,17.0,1.0,1.0,4.0,1.0,3.0,5.0,1.0,1.0,90.0,48.0,7.0,15.0,0.0010304,0.1368,0,0.0205,0.03,0.01,0.18,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573089,home,SK Sigma Olomouc,Filip Slavíček,filip-slavicek,F. Slavicek,D,16,185.0,10,M,1138819,EUR,1032912000,D,16,16,False,38.0,29.0,7.0,2.0,0.0,24.0,26.0,5.0,12.0,3.0,2.0,5.0,,,,,,62.0,51.0,6.6,12.0,0.00334428,,1,,-0.07,0.05,-0.08,,,,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0192,-0.05,,,,,,,,,,,,,,,,,
14573089,home,SK Sigma Olomouc,Abdoulaye Sylla,abdoulaye-sylla,A. Sylla,D,2,181.0,345,M,1102501,EUR,955324800,D,2,2,False,53.0,42.0,11.0,3.0,0.0,35.0,41.0,7.0,12.0,3.0,5.0,5.0,1.0,,,,,90.0,67.0,6.5,12.0,0.00394368,,2,,0.07,0.0,-0.09,,Abdoulaye Sylla,,2.0,3.0,,,1.0,2.0,,,1.0,1.0,0.1123,-0.14,2.0,1.0,1.0,,,,,,,,,,,,,,
14573089,home,SK Sigma Olomouc,Jan Král,jan-kral,J. Král,D,21,197.0,41,M,826043,EUR,923270400,D,21,21,False,33.0,31.0,3.0,2.0,0.0,25.0,26.0,6.0,8.0,6.0,12.0,2.0,1.0,,,,,90.0,51.0,8.0,3.0,0.00464553,,1,,0.11,0.0,0.14,,,,4.0,6.0,,,,,1.0,1.0,,1.0,0.147,0.53,5.0,,,1.0,1.0,1.0,0.3723,,,,,,,,,,
14573089,home,SK Sigma Olomouc,Jiří Sláma,jiri-slama,J. Sláma,D,13,177.0,15,M,927169,EUR,915753600,D,13,13,False,34.0,18.0,11.0,1.0,0.0,9.0,14.0,10.0,26.0,1.0,,1.0,1.0,,,,,82.0,63.0,6.7,23.0,0.152229,,0,,0.25,0.04,-0.03,,,,,1.0,,,,,,,2.0,,,,1.0,,,6.0,,,,1.0,1.0,,,,,,,,
14573089,home,SK Sigma Olomouc,Michal Beran,michal-beran,M. Beran,M,47,167.0,52,M,987805,EUR,966902400,M,47,47,False,41.0,34.0,2.0,,0.0,18.0,19.0,16.0,23.0,3.0,2.0,9.0,1.0,,,,,90.0,52.0,6.4,12.0,0.00728738,,0,,0.05,0.07,-0.11,,,,,4.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,
14573089,home,SK Sigma Olomouc,Tihomir Kostadinov,tihomir-kostadinov,T. Kostadinov,M,26,178.0,83,M,802844,EUR,825897600,M,10,10,False,25.0,21.0,1.0,,0.0,5.0,5.0,16.0,20.0,2.0,,2.0,,,,,,63.0,31.0,6.5,6.0,0.0140834,,0,,0.05,0.03,-0.04,,,,1.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,
14573089,home,SK Sigma Olomouc,Jan Navrátil,jan-navratil,J. Navratil,M,30,170.0,10,M,79083,EUR,639964800,M,30,30,False,27.0,21.0,2.0,1.0,0.0,12.0,13.0,9.0,15.0,3.0,1.0,5.0,1.0,,,,,90.0,39.0,6.6,9.0,0.00718851,,0,,0.04,0.03,-0.07,,,,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,True,1.0,,,,
14573089,home,SK Sigma Olomouc,Matěj Mikulenka,matej-mikulenka,M. Mikulenka,M,25,179.0,32,M,1394226,EUR,1075939200,M,25,25,False,27.0,21.0,2.0,1.0,0.0,9.0,12.0,12.0,15.0,2.0,,5.0,,,,,,90.0,37.0,6.2,10.0,0.0172573,,0,,0.1,0.11,0.15,,,,,9.0,,1.0,,,2.0,2.0,3.0,2.0,,,7.0,,1.0,,,,,,1.0,,,,,,,,
14573089,home,SK Sigma Olomouc,Abubakar Ghali,abubakar-ghali,A. Ghali,M,70,170.0,66,M,1030309,EUR,961718400,M,70,70,False,20.0,12.0,1.0,,0.0,3.0,4.0,9.0,19.0,7.0,,6.0,,,,,,72.0,35.0,6.5,18.0,0.00494131,,1,,-0.06,0.21,-0.07,,,,4.0,10.0,2.0,7.0,,,,,2.0,2.0,0.0541,-0.02,2.0,1.0,,3.0,,,,,,,3.0,,,,,,
