match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_challengeLost,stat_dispossessed,stat_wasFouled,player_sofascoreId,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
10835043,home,SC Heerenveen,Alex Timossi Andersson,,,alex-timossi-andersson,A. T. Andersson,D,170.0,90,876303,EUR,979862400,F,8,8,True,1.0,1.0,,,,,1.0,1.0,1.0,,,8.0,3.0,6.6,1.0,0,21,M,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
10835043,home,SC Heerenveen,Andries Noppert,,,andries-noppert,A. Noppert,G,203.0,438,339339,EUR,765676800,G,44,44,True,,,,,,,,,,,,,,,,0,44,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,home,SC Heerenveen,Jan Bekkema,,,jan-bekkema,J. Bekkema,G,186.0,29,843764,EUR,829008000,G,23,23,True,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,home,SC Heerenveen,Hussein Ali,,,hussein-ali,H. Ali,D,180.0,1943,962056,EUR,1014940800,D,15,15,True,,,,,,,,,,,,,,,,0,15,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,home,SC Heerenveen,Timo Zaal,,,timo-zaal,T. Zaal,M,184.0,36,1047394,EUR,1076284800,M,34,34,True,,,,,,,,,,,,,,,,0,22,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Filip Stanković,,,filip-stankovic,F. Stanković,G,185.0,1038,986355,EUR,1014595200,G,1,1,False,42.0,19.0,34.0,12.0,10.0,16.0,9.0,26.0,12.0,3.0,3.0,90.0,52.0,6.5,23.0,0,1,M,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,
10835043,away,FC Volendam,Xavier Mbuyamba,,,xavier-mbuyamba,X. Mbuyamba,D,195.0,633,974020,EUR,1009756800,D,31,31,False,32.0,24.0,2.0,,15.0,18.0,9.0,14.0,3.0,,,61.0,39.0,6.7,8.0,1,3,M,,,,,3.0,1.0,3.0,,,,,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,
10835043,away,FC Volendam,Damon Mirani,,,damon-mirani,D. Mirani,D,182.0,56,318575,EUR,831945600,D,4,4,False,44.0,33.0,7.0,1.0,19.0,24.0,14.0,20.0,2.0,,,90.0,54.0,6.3,11.0,1,4,M,,,,3.0,3.0,4.0,3.0,,,,,1.0,5.0,1.0,,,,,,2.0,True,1.0,,,,,,,,,,1.0
10835043,away,FC Volendam,Josh Flint,,,josh-flint,J. Flint,D,186.0,47,966460,EUR,971395200,D,28,28,False,37.0,25.0,10.0,4.0,17.0,21.0,8.0,16.0,9.0,,,90.0,44.0,6.3,12.0,0,28,M,,,,1.0,2.0,2.0,2.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,
10835043,away,FC Volendam,Brian Plat,,,brian-plat,B. Plat,D,191.0,60,980673,EUR,954892800,M,3,3,False,20.0,13.0,3.0,1.0,3.0,5.0,10.0,15.0,2.0,,,90.0,40.0,6.4,14.0,1,4,M,,,,1.0,2.0,6.0,6.0,1.0,1.0,,,1.0,1.0,2.0,3.0,2.0,2.0,2.0,,,,1.0,2.0,,,,,,,,,
