match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_fouls,captain,stat_onTargetScoringAttempt,stat_goals,stat_challengeLost,stat_bigChanceMissed,stat_totalOffside,stat_outfielderBlock
11067567,home,Athletico,Bento,,,bento,Bento,G,24,190,9735,M,bento_matheus,1016104,EUR,928972800,G,1,1,False,25.0,15.0,13.0,3.0,15.0,18.0,7.0,1.0,14.0,4.0,2.0,6.0,1.0,1.0,1.0,90.0,47.0,8.2,10.0,0.0,0.0,5.986e-05,0,0.5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067567,home,Athletico,Khellven,,,khellven,Khellven,D,12,176,2672,M,,984896,EUR,983059200,D,2,2,False,46.0,38.0,6.0,4.0,15.0,17.0,34.0,,3.0,,,,,,,87.0,65.0,8.4,14.0,0.0337,0.0,0.916602,1,,2.0,26.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,
11067567,home,Athletico,Zé Ivaldo,,,ze-ivaldo,Z. Ivaldo,D,2,185,1464,M,,844602,EUR,856483200,D,3,3,False,54.0,42.0,12.0,6.0,28.0,32.0,22.0,3.0,6.0,,,,,,,90.0,70.0,7.6,13.0,0.0359,0.0,0.00794676,1,,,14.0,,,1.0,3.0,10.0,,,,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,
11067567,home,Athletico,Thiago Heleno,,,thiago-heleno,T. Heleno,D,44,185,283,M,,33106,EUR,590457600,D,44,44,False,46.0,40.0,5.0,2.0,33.0,36.0,10.0,3.0,5.0,,,,,,,90.0,56.0,7.1,6.0,0.0,0.0,0.00148231,0,,,7.0,,,1.0,3.0,3.0,,,,3.0,1.0,1.0,,,2.0,,,,,2.0,True,,,,,,
11067567,home,Athletico,Lucas Esquivel,Lucas Esquivel,,lucas-esquivel,L. Esquivel,D,37,183,1067,M,,1087079,EUR,1003017600,D,37,37,False,55.0,46.0,5.0,2.0,33.0,38.0,20.0,,4.0,,,,,,,90.0,81.0,6.9,15.0,0.0,0.0,0.00660892,0,,,13.0,3.0,,3.0,6.0,5.0,2.0,,,,4.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,
11067567,home,Athletico,Erick,,,erick,Erick,M,14,176,1116,M,,874063,EUR,879465600,M,26,26,False,40.0,38.0,4.0,4.0,25.0,25.0,15.0,1.0,5.0,,,,,,,90.0,53.0,7.8,6.0,0.0928,0.142,0.0319507,2,,,13.0,,,3.0,5.0,7.0,,,,2.0,1.0,,2.0,,4.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,,,
11067567,home,Athletico,Fernandinho,,,fernandinho,Fernandinho,M,,179,1901,M,,13630,EUR,484012800,M,5,5,False,57.0,53.0,8.0,8.0,22.0,25.0,32.0,2.0,9.0,,,,,,,87.0,66.0,7.5,4.0,0.0,0.0,0.109346,0,,,31.0,,,,3.0,1.0,,1.0,,5.0,1.0,1.0,,1.0,,,,,,1.0,,,,2.0,,,
11067567,home,Athletico,Vitor Bueno,,,vitor-bueno,Vitor Bueno,M,15,183,625,M,,808785,EUR,778723200,M,8,8,False,29.0,22.0,,,11.0,11.0,20.0,,5.0,,,,,,,62.0,35.0,6.8,8.0,0.1251,0.0,0.050493,1,,,13.0,2.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,1.0,,,1.0,2.0,,,,,1.0,,,
11067567,home,Athletico,Christian,,,christian,Christian,M,88,178,1761,M,,981733,EUR,977184000,M,88,88,False,47.0,42.0,6.0,5.0,19.0,21.0,27.0,,5.0,,,,,,,90.0,62.0,6.7,11.0,0.6412,0.3432,0.0261336,3,,,23.0,1.0,,,3.0,6.0,,,1.0,,2.0,,4.0,1.0,,3.0,3.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,
11067567,home,Athletico,Agustín Canobbio,,,agustin-canobbio,A. Canobbio,M,17,175,3082,M,,846413,EUR,907200000,M,14,14,False,26.0,20.0,1.0,,4.0,4.0,26.0,,3.0,,,,,,,75.0,53.0,6.6,19.0,0.0,0.0,0.24496,0,,,17.0,4.0,1.0,,9.0,3.0,2.0,1.0,,1.0,1.0,,2.0,2.0,,6.0,1.0,,1.0,2.0,,,,,,1.0,
