match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_outfielderBlock,stat_clearanceOffLine
11407429,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,19.0,18.0,1.0,0.0,18.0,18.0,1.0,5.0,2.0,1.0,1.0,90.0,26.0,7.3,1.0,8.584e-05,0,0.1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407429,home,Juventus,Federico Gatti,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,68.0,62.0,4.0,0.0,38.0,38.0,31.0,8.0,,,,90.0,79.0,7.3,8.0,0.220257,3,,Federico Gatti,,2.0,25.0,1.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0954,1.0,,,,,,,,,,,,,,
11407429,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,89.0,80.0,7.0,0.0,45.0,46.0,43.0,15.0,,,,90.0,102.0,7.5,10.0,0.0152153,0,,,,4.0,35.0,,,1.0,2.0,6.0,,,,,3.0,,,,2.0,1.0,,,4.0,5.0,,,,,,,,,,,,
11407429,home,Juventus,Daniele Rugani,daniele-rugani,D. Rugani,D,24,188,2117,M,,139273,EUR,775440000,D,24,24,False,49.0,46.0,3.0,0.0,26.0,28.0,21.0,2.0,,,,87.0,56.0,6.8,4.0,0.00671014,0,,,,2.0,20.0,,,2.0,3.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,
11407429,home,Juventus,Timothy Weah,weah-timothy,T. Weah,M,22,185,11671,M,timothyweah,855810,EUR,951177600,M,22,22,False,22.0,21.0,1.0,0.0,12.0,12.0,10.0,3.0,,,,45.0,34.0,7.1,4.0,0.0178811,2,,,,1.0,9.0,,,,2.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,,1.0,0.0674,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
11407429,home,Juventus,Weston McKennie,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,M,16,16,False,32.0,29.0,,0.0,8.0,8.0,26.0,3.0,,,,90.0,44.0,7.1,10.0,0.103735,0,,,,,21.0,2.0,,1.0,5.0,2.0,,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,,
11407429,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,75.0,63.0,11.0,0.0,20.0,21.0,55.0,6.0,,,,90.0,86.0,7.7,13.0,0.131118,2,,,,8.0,44.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,,2.0,1.0,,,,,1.0,0.0675,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11407429,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,42.0,34.0,5.0,0.0,7.0,8.0,36.0,7.0,,,,90.0,62.0,7.2,14.0,0.0686003,2,,,,2.0,27.0,2.0,,4.0,6.0,5.0,,,,1.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0643,,1.0,,1.0,,1.0,True,,,,,,,,
11407429,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,M,11,11,False,28.0,26.0,1.0,0.0,8.0,8.0,30.0,4.0,,,,62.0,49.0,7.3,12.0,0.606412,0,,,,,21.0,10.0,3.0,2.0,4.0,,,,2.0,,,,,1.0,,,,5.0,,,2.0,,,,,,,,,,,
11407429,home,Juventus,Moise Kean,moise-kean,M. Kean,F,20,183,15084,M,moise_kean,835601,EUR,951696000,F,18,18,False,9.0,6.0,,0.0,1.0,2.0,7.0,,,,,62.0,21.0,6.3,7.0,0.0201472,5,,,,,5.0,,,,3.0,4.0,,4.0,,3.0,,,,3.0,,2.0,0.8016,1.0,1.0,,,3.0,1.0,,2.0,1.0,1.0,0.1508,,,,
