match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_totalOffside,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_keyPass,stat_outfielderBlock,stat_blockedScoringAttempt,stat_punches,stat_goals,stat_hitWoodwork
12437616,home,Real Madrid,Andriy Lunin,andriy-lunin,A. Lunin,G,13,191,79229,M,ALunin,857574,EUR,918691200,G,13,13,False,32.0,19.0,21.0,9.0,0.0,18.0,26.0,1.0,6.0,1.0,10.0,1.0,3.0,1.0,1.0,90.0,43.0,6.5,13.0,0.00014013,0,-1.2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437616,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,60349,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,39.0,30.0,2.0,,0.0,15.0,17.0,17.0,27.0,,1.0,,,,,90.0,62.0,6.0,15.0,0.076326,0,,,,True,5.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
12437616,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,30.0,23.0,11.0,5.0,0.0,16.0,16.0,7.0,14.0,2.0,6.0,,,,,90.0,42.0,6.4,8.0,0.00939105,1,,,,,,,,4.0,5.0,,2.0,3.0,3.0,4.0,1.0,2.0,0.047,,,,,,,,,,,,,,,,
12437616,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,42.0,35.0,5.0,2.0,0.0,29.0,32.0,7.0,11.0,7.0,4.0,,,,,90.0,54.0,6.2,9.0,0.0113181,0,,,,,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,
12437616,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70735,M,FerMendy,792073,EUR,802569600,D,23,23,False,36.0,29.0,3.0,2.0,0.0,23.0,28.0,6.0,8.0,1.0,7.0,,,,,86.0,50.0,6.1,11.0,0.00167369,0,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
12437616,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,15.0,13.0,1.0,,0.0,10.0,10.0,3.0,5.0,,5.0,,,,,90.0,31.0,6.1,8.0,0.00102355,1,,,,,,,2.0,6.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.4985,1.0,3.0,1.0,1.0,,,,,,,,,,,,
12437616,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,8,8,False,33.0,22.0,6.0,2.0,0.0,10.0,15.0,12.0,22.0,,4.0,,,,,90.0,50.0,6.5,17.0,0.00575769,1,,,,,4.0,,,3.0,3.0,,1.0,1.0,,1.0,,,0.024,1.0,,,,1.0,2.0,1.0,1.0,0.0704,,,,,,,
12437616,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,15.0,13.0,,,0.0,9.0,10.0,4.0,5.0,,2.0,,,,,63.0,24.0,6.8,3.0,0.00897371,0,,,,,,,1.0,3.0,2.0,,3.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,
12437616,home,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,Tacklevinga,973887,EUR,1036886400,M,6,6,False,24.0,22.0,1.0,1.0,0.0,8.0,8.0,14.0,16.0,,7.0,,,,,77.0,42.0,7.4,6.0,0.017063,0,,,,,,,,3.0,10.0,1.0,,4.0,3.0,1.0,,4.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,
12437616,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1731608,M,KMbappé,826643,EUR,914112000,F,9,9,False,13.0,13.0,2.0,2.0,0.0,5.0,5.0,8.0,10.0,,2.0,,,,,90.0,27.0,6.0,9.0,0.00695923,3,,,,,2.0,,,4.0,1.0,1.0,,,,,,,0.5784,,3.0,2.0,8.0,,4.0,1.0,3.0,0.4244,,1.0,,,,,
