match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_expectedGoals,stat_accurateCross,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_ownGoals,stat_blockedScoringAttempt
11388479,home,Vitesse,Eloy Room,eloy-room,E. Room,G,188,180,M,40859,EUR,602726400,G,1,1,False,True,49.0,25.0,31.0,7.0,22.0,26.0,3.0,23.0,14.0,2.0,2.0,3.0,90.0,62.0,6.7,24.0,0.0006395,0,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388479,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,180,5896,M,794373,EUR,835920000,D,2,2,False,,55.0,47.0,7.0,5.0,25.0,26.0,22.0,30.0,7.0,,,,90.0,79.0,6.9,12.0,0.0348506,0,,2,1.0,1.0,3.0,6.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11388479,home,Vitesse,Dominik Oroz,dominik-oroz,D. Oroz,D,190,131,M,874936,EUR,972777600,D,6,6,False,,56.0,45.0,9.0,5.0,33.0,36.0,12.0,20.0,6.0,,,,83.0,65.0,6.0,12.0,0.00774733,0,,5,,,3.0,1.0,5.0,,1.0,,,2.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
11388479,home,Vitesse,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,189,435,M,916943,EUR,995414400,D,15,15,False,,77.0,67.0,10.0,6.0,51.0,56.0,16.0,21.0,5.0,,,,90.0,87.0,7.1,11.0,0.0680569,0,,3,,2.0,1.0,3.0,4.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
11388479,home,Vitesse,Mica Pinto,mica-pinto,Mica,D,176,157,M,785815,EUR,739152000,D,5,5,False,,39.0,30.0,4.0,,22.0,25.0,8.0,14.0,4.0,,,,75.0,58.0,6.9,10.0,0.00764857,0,,5,,,1.0,2.0,7.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11388479,home,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,182,3151,M,984602,EUR,1066262400,M,17,17,False,,22.0,18.0,1.0,1.0,11.0,12.0,7.0,10.0,3.0,,,,79.0,36.0,6.7,8.0,0.0100587,1,,10,,,1.0,2.0,4.0,,,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,0.0262,,,,,,,,,
11388479,home,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,185,201,M,891795,EUR,931046400,M,20,20,False,,45.0,35.0,5.0,1.0,23.0,26.0,12.0,19.0,7.0,,,,90.0,56.0,6.8,11.0,0.0140746,0,,21,,1.0,2.0,1.0,3.0,,,,,,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
11388479,home,Vitesse,Paxten Aaronson,paxten-aaronson,P. Aaronson,M,175,898,M,1035515,EUR,1061856000,M,14,14,False,,30.0,25.0,1.0,,11.0,11.0,15.0,20.0,2.0,,,,90.0,43.0,6.7,7.0,0.111662,0,,31,1.0,2.0,1.0,6.0,5.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,2.0,1.0,Paxten Aaronson,,,,1.0,2.0,,,,1.0,,,,,,,,
11388479,home,Vitesse,Anis Hadj Moussa,anis-hadj-moussa,A. H. Moussa,F,176,22233,M,1218066,EUR,1013385600,F,28,28,False,,38.0,25.0,5.0,3.0,11.0,13.0,14.0,30.0,3.0,,,,90.0,56.0,6.8,23.0,0.0729611,1,,23,5.0,,,7.0,2.0,4.0,,3.0,,,,,,,2.0,,,,,,1.0,1.0,1.0,,0.0536,,hadj.a20,,,,,,,
11388479,home,Vitesse,Mexx Meerdink,mexx-meerdink,M. Meerdink,F,182,933,M,1153117,EUR,1059004800,F,35,35,False,,11.0,8.0,1.0,1.0,3.0,4.0,5.0,7.0,,,,,79.0,21.0,6.6,6.0,0.0200879,2,,35,,2.0,3.0,8.0,4.0,,1.0,1.0,1.0,2.0,,,,,1.0,5.0,,,,,2.0,1.0,,,0.1652,,,1.0,2.0,1.0,0.2432,,,
11388479,home,Vitesse,Amine Boutrah,amine-boutrah,A. Boutrah,M,173,300,M,975307,EUR,972518400,F,7,7,False,,26.0,24.0,,,12.0,12.0,13.0,16.0,7.0,,,,90.0,49.0,7.0,13.0,0.0855163,2,,10,2.0,1.0,,6.0,6.0,,2.0,5.0,3.0,,,,,,3.0,1.0,,,,,5.0,,1.0,,0.1038,1.0,,,1.0,,0.1071,,,
11388479,home,Vitesse,Enzo Cornelisse,enzo-cornelisse,E. Cornelisse,M,178,40,M,1046725,EUR,1025308800,D,13,13,True,,11.0,8.0,2.0,1.0,4.0,4.0,4.0,7.0,,,,,15.0,14.0,6.4,4.0,0.001742,0,,6,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
