match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_bigChanceMissed,stat_penaltyConceded,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_penaltyWon
10389861,home,AS Monaco,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2042,M,584722,EUR,844041600,G,16,16,False,17.0,14.0,11.0,8.0,14.0,16.0,1.0,1.0,6.0,1.0,1.0,2.0,90.0,27.0,5.8,3.0,0.0,0.0,0.00013241,0,-1.2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389861,home,AS Monaco,Vanderson,Vanderson,,vanderson,Vanderson,D,2,173,6111,M,1090694,EUR,993081600,D,2,2,False,50.0,39.0,6.0,2.0,18.0,20.0,33.0,2.0,4.0,,,,72.0,73.0,5.7,15.0,0.0598,0.0,0.0488045,1,,22.0,3.0,1.0,2.0,5.0,8.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
10389861,home,AS Monaco,Axel Disasi,,,axel-disasi,A. Disasi,D,4,190,9725,M,827243,EUR,889574400,D,6,6,False,53.0,44.0,3.0,1.0,26.0,27.0,26.0,2.0,3.0,,,,90.0,59.0,6.2,10.0,0.0,0.0,0.0347544,0,,18.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,axel_disasi,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10389861,home,AS Monaco,Benoît Badiashile,,,benoit-badiashile,B. Badiashile,D,5,194,10555,M,904827,EUR,985564800,D,5,5,False,67.0,64.0,6.0,4.0,36.0,36.0,31.0,1.0,6.0,,,,90.0,71.0,7.0,3.0,0.1511,0.1346,0.637304,1,,28.0,,,4.0,3.0,5.0,,,,,1.0,1.0,1.0,,,3.0,badiashile,,,,,1.0,1.0,1.0,1.0,,,,,,,,
10389861,home,AS Monaco,Caio Henrique,,,caio-henrique,C. Henrique,D,12,178,3679,M,845170,EUR,870307200,D,12,12,False,36.0,25.0,3.0,1.0,14.0,16.0,24.0,1.0,3.0,,,,67.0,50.0,6.9,15.0,0.0295,0.0933,0.115392,1,,12.0,4.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,,
10389861,home,AS Monaco,Krépin Diatta,,,krepin-diatta,K. Diatta,M,27,173,13115,M,873534,EUR,919900800,M,27,27,False,16.0,14.0,,,8.0,9.0,8.0,,3.0,,,,90.0,32.0,6.7,8.0,0.028,0.0,0.0414288,1,,6.0,1.0,,1.0,2.0,6.0,1.0,3.0,3.0,1.0,1.0,,,,2.0,1.0,krepindiatta,,,,2.0,,,,1.0,,,,,,,,
10389861,home,AS Monaco,Eliot Matazo,,,eliot-matazo,E. Matazo,M,36,174,581,M,1046150,EUR,1013731200,M,15,15,False,15.0,14.0,1.0,1.0,9.0,9.0,6.0,,2.0,,,,45.0,16.0,6.3,1.0,0.0,0.0,0.00513513,0,,5.0,,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
10389861,home,AS Monaco,Jean Lucas,,,jean-lucas,J. Lucas,M,6,181,3741,M,927975,EUR,898473600,M,11,11,False,45.0,39.0,4.0,2.0,17.0,18.0,27.0,,5.0,,,,76.0,53.0,6.8,6.0,0.1632,0.0,0.139698,1,,22.0,,,,2.0,4.0,,3.0,3.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,
10389861,home,AS Monaco,Takumi Minamino,,,takumi-minamino,T. Minamino,M,18,174,8866,M,155818,EUR,790214400,M,18,18,False,9.0,6.0,1.0,,2.0,2.0,9.0,1.0,2.0,,,,56.0,24.0,5.9,9.0,0.1382,0.1197,0.00666304,1,,4.0,2.0,,,4.0,2.0,,1.0,,,1.0,,,,2.0,1.0,Minamino,1.0,2.0,,2.0,,1.0,,,,1.0,,,,,,
10389861,home,AS Monaco,Breel Embolo,,,breel-embolo,B. Embolo,F,7,185,4494,M,352296,EUR,855878400,F,36,36,False,13.0,10.0,3.0,3.0,1.0,1.0,12.0,1.0,2.0,,,,90.0,29.0,6.5,6.0,0.4587,0.0,0.213488,2,,9.0,,,,7.0,7.0,,4.0,3.0,2.0,2.0,1.0,1.0,,3.0,5.0,breelembolo97,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,
