match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated
14109654,home,Gençlerbirliği,Erhan Erentürk,erhan-erenturk,E. Erentürk,G,18,190,42,M,997705,EUR,801792000,G,18,18,False,34.0,19.0,28.0,13.0,0.0,7.0,10.0,12.0,24.0,2.0,8.0,2.0,2.0,2.0,1.0,90.0,42.0,7.6,16.0,0.00491907,0.2593,0,0.5491,0.08,0.01,0.26,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,286,M,807291,EUR,885427200,D,13,13,False,22.0,19.0,5.0,5.0,0.0,12.0,14.0,7.0,8.0,7.0,3.0,,,,,90.0,47.0,7.5,6.0,0.00447782,,0,,0.12,-0.01,0.57,,,,2.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189,261,M,257497,EUR,765417600,D,6,6,False,20.0,15.0,7.0,3.0,0.0,12.0,13.0,3.0,7.0,12.0,,,,,,90.0,43.0,8.2,6.0,0.000607,,0,,0.03,-0.07,1.0,,,,3.0,,7.0,,,3.0,,4.0,2.0,,,True,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184,112,M,863277,EUR,894499200,D,2,2,False,19.0,19.0,5.0,5.0,0.0,17.0,17.0,2.0,2.0,6.0,1.0,,,,,90.0,29.0,7.7,,0.00100919,,1,,0.04,0.0,0.49,,,,2.0,1.0,4.0,,,,,2.0,,,1.0,,1.0,0.0699,-0.25,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,56,M,320905,EUR,738979200,D,23,23,False,21.0,14.0,6.0,1.0,0.0,8.0,12.0,6.0,9.0,2.0,1.0,,,,,90.0,41.0,6.5,11.0,0.0691448,,0,,0.16,0.02,-0.07,,,,,4.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
14109654,home,Gençlerbirliği,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,16.0,11.0,7.0,3.0,0.0,9.0,12.0,2.0,4.0,5.0,2.0,,,,,60.0,32.0,7.5,5.0,0.0305211,,0,,0.19,0.01,0.47,,Ogulcan Ülgün,,2.0,3.0,9.0,1.0,,2.0,1.0,3.0,2.0,,2.0,,,,,1.0,1.0,,4.0,2.0,,,,,,,,,
14109654,home,Gençlerbirliği,Dal Varešanović,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,M,53,53,False,10.0,8.0,3.0,2.0,0.0,7.0,7.0,1.0,3.0,,5.0,,,,,60.0,21.0,6.3,8.0,0.00035114,,1,,0.03,0.02,-0.05,,,,,11.0,3.0,1.0,4.0,1.0,,,,1.0,4.0,,1.0,0.0542,-0.06,,,1.0,2.0,,2.0,1.0,,,,,,,
14109654,home,Gençlerbirliği,Göktan Gürpüz,goktan-gurpuz,G. Gürpüz,M,11,178,348,M,997007,EUR,1043193600,M,11,11,False,13.0,13.0,,,1.0,4.0,4.0,9.0,9.0,,1.0,,,,,73.0,20.0,8.4,1.0,0.926161,,0,,0.86,0.05,-0.07,,,,,3.0,3.0,2.0,2.0,,,1.0,1.0,,,,,,,1.0,1.0,,,5.0,1.0,2.0,,,,,,,
14109654,home,Gençlerbirliği,Sekou Koita,sekou-koita,S. Koita,F,22,173,3333,M,822710,EUR,943747200,M,22,22,False,12.0,7.0,,,0.0,2.0,3.0,5.0,9.0,2.0,1.0,,,,,81.0,31.0,6.7,11.0,0.0627532,,1,,0.07,0.16,0.32,,,,,3.0,5.0,,1.0,,,2.0,2.0,4.0,1.0,,,0.125,-0.5,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,
14109654,home,Gençlerbirliği,Franco Tongya,franco-tongya,F. Tongya,M,70,175,467,M,965015,EUR,1015977600,M,70,70,False,17.0,13.0,,,0.0,3.0,3.0,10.0,14.0,,5.0,,,,,81.0,32.0,7.7,8.0,0.041663,,2,,0.11,0.29,0.13,,,,,3.0,3.0,,2.0,,1.0,,,1.0,1.0,,1.0,0.1984,0.5,1.0,,,1.0,,2.0,2.0,,1.0,1.0,1.0,0.5703,,
14109654,home,Gençlerbirliği,M'Baye Niang,mbaye-niang,M. Niang,F,29,188,1637,M,139228,EUR,787795200,F,29,29,False,11.0,7.0,1.0,1.0,0.0,1.0,2.0,6.0,9.0,,2.0,,,,,90.0,34.0,6.6,11.0,0.00956509,,4,,-0.19,0.08,-0.02,,,,5.0,15.0,10.0,,3.0,,,1.0,,3.0,5.0,,1.0,0.2311,-0.53,,,7.0,3.0,,2.0,1.0,1.0,2.0,,1.0,0.397,,
14109654,home,Gençlerbirliği,Žan Žužek,zan-zuzek,Ž. Žužek,D,4,186,103,M,355582,EUR,854236800,D,4,4,True,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,,,,,,,30.0,11.0,6.6,3.0,0.00090209,,0,,0.01,,0.18,,,,,2.0,2.0,,,,1.0,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,
14109654,home,Gençlerbirliği,Tom Dele-Bashiru,tom-dele-bashiru,T. Dele-Bashiru,M,15,185,385,M,904845,EUR,937526400,M,15,15,True,7.0,5.0,3.0,1.0,0.0,3.0,3.0,2.0,4.0,1.0,,,,,,30.0,12.0,6.8,3.0,0.00192499,,2,,-0.05,0.09,0.35,,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.0825,0.03,,,,,,1.0,,1.0,1.0,,,0.0728,,
14109654,home,Gençlerbirliği,Kevin Csoboth,csoboth-kevin,K. Csoboth,M,17,174,1001,M,879542,EUR,961459200,M,17,17,True,4.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,17.0,15.0,6.7,5.0,0.00028859,,0,,0.04,-0.01,-0.01,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,
14109654,home,Gençlerbirliği,Samed Onur,samed-onur,S. Onur,M,8,175,60,M,980608,EUR,1026691200,M,8,8,True,5.0,3.0,1.0,,0.0,1.0,1.0,2.0,4.0,,2.0,,,,,9.0,9.0,6.9,3.0,0.0022204,,0,,0.05,0.04,0.26,,,,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,
14109654,home,Gençlerbirliği,Metehan Mimaroğlu,metehan-mimaroglu,M. Mimaroğlu,M,10,178,135,M,900809,EUR,773539200,F,10,10,True,2.0,1.0,,,0.0,,,1.0,2.0,1.0,,,,,,9.0,8.0,6.4,4.0,0.00107762,,0,,-0.05,0.01,0.14,,,,,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Gökhan Akkan,gokhan-akkan,G. Akkan,G,22,188,109,M,225012,EUR,788918400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,502,M,845792,EUR,903571200,G,24,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Abdurrahim Dursun,abdurrahim-dursun,A. Dursun,D,77,176,46,M,883275,EUR,912470400,D,77,77,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Sinan Osmanoğlu,sinan-osmanoglu,S. Osmanoğlu,D,5,197,25,M,69369,EUR,631843200,D,90,90,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,home,Gençlerbirliği,Henry Onyekuru,henry-onyekuru,H. Onyekuru,F,7,175,741,M,809220,EUR,865468800,F,7,7,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109654,away,Eyüpspor,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,1,1,False,34.0,26.0,13.0,5.0,0.0,22.0,25.0,4.0,9.0,,4.0,,3.0,3.0,,90.0,38.0,7.2,8.0,0.00233431,0.2834,0,0.04,0.14,0.02,-0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
