match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14083586,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,1,1,False,17.0,12.0,6.0,1.0,0.0,11.0,13.0,1.0,4.0,1.0,1.0,4.0,9.0,1.0,3.0,4.0,4.0,90.0,33.0,7.6,5.0,8.499e-05,0.4949,0,0.7222,0.0,0.0,0.19,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Santiago Mouriño,,,santiago-mourino,S. Mouriño,D,15,186,2593,M,1468046,EUR,1013558400,D,15,15,False,40.0,36.0,7.0,5.0,0.0,28.0,30.0,8.0,10.0,1.0,10.0,5.0,3.0,,,,,90.0,65.0,7.7,5.0,0.0145734,,1,,0.12,0.04,0.4,,8.0,3.0,1.0,2.0,1.0,8.0,6.0,1.0,5.0,1.0,0.0081,-0.03,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Rafa Marín,,,rafa-marin,R. Marín,D,4,190,2354,M,984623,EUR,1021766400,D,4,4,False,53.0,48.0,9.0,7.0,0.0,35.0,37.0,13.0,16.0,2.0,7.0,9.0,2.0,,,,,90.0,71.0,8.0,5.0,0.00938409,,1,,0.15,0.07,0.62,,1.0,,1.0,1.0,,4.0,3.0,1.0,,,0.0401,-0.25,1.0,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190,11718,M,1087359,EUR,1059436800,D,12,12,False,49.0,45.0,7.0,3.0,0.0,36.0,37.0,9.0,12.0,1.0,1.0,4.0,4.0,,,,,90.0,59.0,7.3,5.0,0.00655912,,0,,0.16,0.06,0.47,,,,,2.0,1.0,,,,,,,,,renatoveiga95,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,23,23,False,43.0,33.0,5.0,,0.0,18.0,23.0,15.0,20.0,2.0,3.0,2.0,1.0,,,,,90.0,71.0,7.1,19.0,0.106524,,0,,0.32,0.16,-0.03,,,,,,2.0,1.0,1.0,,,,,,,,True,6.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
14083586,home,Villarreal,Ilias Akhomach,,,ilias-akhomach,I. Akhomach,M,12,175,15826,M,1089108,EUR,1082073600,M,11,11,False,9.0,6.0,,,0.0,1.0,1.0,5.0,8.0,,2.0,1.0,2.0,,,,,45.0,23.0,6.8,9.0,0.0194734,,0,,0.09,0.19,0.24,,3.0,,,2.0,,2.0,,,1.0,,,,,iliasakhomach,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
14083586,home,Villarreal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,316148,EUR,739929600,M,16,16,False,35.0,26.0,3.0,,0.0,9.0,12.0,17.0,23.0,2.0,2.0,2.0,3.0,,,,,72.0,47.0,6.5,12.0,0.0467976,,2,,-0.09,0.16,0.21,,5.0,,1.0,,2.0,,,,1.0,,0.0363,0.0,1.0,TPartey5,,,,,,,3.0,,,1.0,0.0705,,,,,,,
14083586,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36528,M,879694,EUR,917136000,M,18,18,False,49.0,34.0,8.0,2.0,0.0,18.0,25.0,16.0,24.0,2.0,5.0,3.0,5.0,,,,,90.0,63.0,6.6,18.0,0.0204336,,2,,-0.02,0.14,-0.1,,2.0,,1.0,,1.0,1.0,,2.0,2.0,,0.047,-0.1,,p.gueye24,,,,1.0,1.0,,,,,1.0,0.0089,,,,,,,
14083586,home,Villarreal,Manor Solomon,,,manor-solomon,M. Solomon,M,19,167,5398,M,862223,EUR,932774400,M,6,6,False,17.0,15.0,,,0.0,5.0,6.0,10.0,11.0,,4.0,,5.0,,,,,72.0,34.0,6.5,12.0,0.0272122,,0,,-0.06,-0.56,-0.07,,5.0,1.0,,,,,,1.0,,,,,1.0,,,4.0,,,3.0,,1.0,5.0,,,,3.0,,,,,,
14083586,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,F,19,19,False,19.0,17.0,,,0.0,5.0,6.0,12.0,13.0,,5.0,2.0,4.0,,,,,89.0,40.0,7.7,6.0,0.554071,,5,,0.74,0.47,0.23,,5.0,,2.0,,,3.0,3.0,1.0,1.0,4.0,0.7032,-0.74,4.0,nicolas_pepe19,,4.0,2.0,,2.0,3.0,,1.0,1.0,1.0,0.272,1.0,2.0,2.0,1.0,,,
14083586,home,Villarreal,Georges Mikautadze,,,mikautadze-georges,G. Mikautadze,F,9,176,13076,M,1009372,EUR,972950400,F,9,9,False,11.0,6.0,,,0.0,4.0,5.0,2.0,6.0,,3.0,,2.0,,,,,72.0,21.0,6.2,9.0,0.0021447,,1,,-0.15,0.0,0.18,,2.0,,,,,1.0,,2.0,,,0.1807,-0.67,1.0,georgesmkd,,,,,2.0,,1.0,,,1.0,0.5645,,1.0,,,,,
14083586,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183,7471,M,973290,EUR,918432000,F,17,17,True,10.0,9.0,,,0.0,1.0,2.0,8.0,8.0,,4.0,1.0,5.0,,,,,45.0,20.0,7.1,4.0,0.107466,,0,,0.28,0.03,0.14,,2.0,,,,,,,1.0,2.0,,,,,,,2.0,1.0,,1.0,1.0,,3.0,1.0,,,3.0,,,,,,
14083586,home,Villarreal,Alberto Moleiro,,,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,M,20,20,True,3.0,2.0,1.0,,0.0,,,2.0,3.0,,,,,,,,,18.0,5.0,8.0,2.0,0.0453913,,1,,0.28,0.2,0.0,,,,,,,,,,,,0.1369,0.55,,,,1.0,,,,1.0,,,,1.0,0.6674,,,,,1.0,,
14083586,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180,1999,M,39182,EUR,608688000,M,10,10,True,11.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,6.0,,2.0,1.0,1.0,,,,,18.0,17.0,6.8,3.0,0.0237375,,0,,0.14,0.0,0.17,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,
14083586,home,Villarreal,Tani Oluwaseyi,Tani Oluwaseyi,,oluwaseyi-tani,T. Oluwaseyi,F,21,188,2594,M,1172477,EUR,958348800,F,21,21,True,6.0,3.0,,,0.0,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,,,,,18.0,13.0,6.6,5.0,0.00160911,,1,,-0.05,0.04,0.15,,1.0,,,,,1.0,1.0,1.0,,2.0,0.0719,-0.11,,,,,,,1.0,,1.0,,,,,,,1.0,,,,
14083586,home,Villarreal,Alfonso Pedraza,,,alfonso-pedraza,A. Pedraza,D,24,184,576,M,797290,EUR,829008000,D,24,24,True,1.0,,,,0.0,,,,1.0,,1.0,,2.0,,,,,1.0,3.0,,2.0,,,0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14083586,home,Villarreal,Diego Conde,,,diego-conde,D. Conde,G,13,188,451,M,951008,EUR,909532800,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Arnau Tenas,,,arnau-tenas,A. Tenas,G,25,185,5097,M,908714,EUR,991180800,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Adrià Altimira,,,altimira-adria,A. Altimira,D,2,170,365,M,980732,EUR,985737600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Jean Ives Valou,Jean Ives,Valou,jean-ives-valou,J. I. Valou,D,27,188,120,M,1924859,EUR,1135209600,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083586,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
