match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_clearanceOffLine,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_totalOffside,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,player_sofascoreId
14109622,home,Fatih Karagümrük,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1120,M,283847,EUR,821923200,G,13,13,False,29.0,23.0,6.0,1.0,0.0,23.0,26.0,3.0,5.0,11.0,1.0,4.0,3.0,2.0,2.0,90.0,47.0,6.3,6.0,7.268e-05,0.2924,0,-0.1774,-0.01,-0.01,-0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Atakan Çankaya,Atakan Cankaya,,atakan-cankaya,A. Çankaya,D,35,180.0,44,M,1066338,EUR,898732800,D,6,6,False,59.0,43.0,5.0,1.0,0.0,23.0,31.0,28.0,1.0,6.0,,,,,,90.0,92.0,6.5,21.0,0.00951332,,0,,-0.02,0.14,-0.33,,True,20.0,1.0,3.0,5.0,9.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Fatih Kurucuk,,,fatih-kurucuk,F. Kurucuk,D,22,190.0,25,M,807093,EUR,885340800,D,22,22,False,46.0,37.0,7.0,2.0,0.0,28.0,32.0,14.0,6.0,,,,,,,90.0,59.0,6.6,10.0,0.00255421,,0,,0.05,0.03,-0.1,,,9.0,11.0,4.0,13.0,7.0,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185.0,293,M,171625,EUR,779068800,D,29,29,False,61.0,56.0,9.0,7.0,0.0,42.0,44.0,17.0,9.0,2.0,,,,,,90.0,79.0,7.4,5.0,0.00950378,,0,,0.17,0.07,0.4,,,14.0,1.0,3.0,2.0,5.0,,,,,2.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Çağtay Kurukalıp,,,cagtay-kurukalip,Ç. Kurukalıp,D,33,172.0,81,M,962620,EUR,1014508800,D,33,33,False,21.0,20.0,,,0.0,13.0,13.0,8.0,,2.0,,,,,,45.0,33.0,6.5,2.0,0.0163062,,0,,0.05,0.03,-0.22,,,7.0,1.0,1.0,3.0,5.0,1.0,1.0,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Baris Kalayci,Baris Kalayci,,baris-kalayci,B. Kalaycı,F,72,175.0,76,M,1534046,EUR,1125360000,M,72,72,False,31.0,27.0,1.0,1.0,0.0,11.0,13.0,18.0,,2.0,,,,,,90.0,56.0,6.5,13.0,0.0349323,,3,,-0.03,0.31,-0.08,,,16.0,2.0,,7.0,4.0,1.0,3.0,,,,1.0,1.0,4.0,3.0,,1.0,1.0,2.0,2.0,1.0,0.068,1.0,-0.29,,,,,,,,,,
14109622,home,Fatih Karagümrük,Alper Demirol,Alper Demirol,,alper-demirol,A. Demirol,M,21,184.0,93,M,1145695,EUR,1033430400,M,34,34,False,30.0,23.0,4.0,1.0,0.0,14.0,17.0,13.0,3.0,4.0,,,,,,62.0,41.0,6.6,8.0,0.00653955,,0,,-0.01,0.07,-0.15,,,9.0,,1.0,,4.0,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,
14109622,home,Fatih Karagümrük,Daniel Johnson,,,daniel-johnson,D. Johnson,M,11,174.0,141,M,291237,EUR,718502400,M,11,11,False,49.0,45.0,6.0,4.0,0.0,14.0,15.0,34.0,3.0,2.0,,,,,,90.0,65.0,6.7,10.0,0.0572204,,1,,0.31,0.02,-0.07,,,31.0,,,4.0,1.0,1.0,1.0,1.0,,,1.0,,3.0,,,,1.0,1.0,,1.0,0.0064,,-0.06,,,,,,,,,,
14109622,home,Fatih Karagümrük,Ahmet Sivri,,,ahmet-sivri,A. Sivri,F,17,185.0,31,M,941378,EUR,931219200,M,17,17,False,32.0,26.0,1.0,1.0,0.0,9.0,10.0,22.0,,3.0,,,,,,75.0,57.0,5.7,21.0,0.0186193,,0,,-0.13,-0.62,-0.12,,,17.0,1.0,,14.0,4.0,,5.0,6.0,1.0,,1.0,,2.0,2.0,,1.0,4.0,3.0,,,,1.0,,,,,,,,,,,
14109622,home,Fatih Karagümrük,Andre Gray,,,andre-gray,A. Gray,F,45,178.0,271,M,73951,EUR,677894400,F,91,91,False,19.0,14.0,,,0.0,5.0,5.0,14.0,1.0,1.0,,,,,,90.0,28.0,6.6,7.0,0.0259089,,1,,0.02,0.26,0.16,,,9.0,,,1.0,1.0,,,,,,,,2.0,1.0,,,1.0,,,,0.0202,1.0,0.01,,1.0,0.0105,,,,,,,
