match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_penaltyConceded,stat_dispossessed,stat_wasFouled,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_bigChanceCreated,stat_penaltyWon
11452945,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,1,1,False,27.0,23.0,8.0,4.0,0.0,21.0,23.0,2.0,4.0,1.0,1.0,1.0,1.0,17.0,1.0,4.0,1.0,4.0,90.0,41.0,6.9,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452945,home,Al-Okhdood,Hussain Al Zabdani,Hussain Al Zabdani,,hussain-al-zabdani,H. A. Zabdani,D,8,183.0,18,M,1521661,EUR,797904000,D,8,8,False,39.0,29.0,,,0.0,12.0,15.0,17.0,27.0,4.0,4.0,8.0,2.0,6.0,,,,,90.0,58.0,6.8,14.0,0,True,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11452945,home,Al-Okhdood,Solomon Kvirkvelia,,,solomon-kvirkvelia,S. Kvirkvelia,D,,196.0,258,M,95636,EUR,697334400,D,5,5,False,38.0,31.0,9.0,5.0,0.0,20.0,21.0,11.0,17.0,2.0,1.0,3.0,,7.0,,,,,90.0,46.0,6.6,8.0,1,,,,,1.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
11452945,home,Al-Okhdood,Andrei Burcă,,,andrei-burca,A. Burcă,D,33,188.0,560,M,846999,EUR,734832000,D,3,3,False,37.0,32.0,8.0,4.0,0.0,24.0,26.0,8.0,11.0,,2.0,1.0,,3.0,,,,,90.0,42.0,5.9,6.0,0,,,2.0,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
11452945,home,Al-Okhdood,Awdh Faraj,,,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,D,27,27,False,29.0,25.0,1.0,1.0,0.0,12.0,13.0,13.0,17.0,1.0,3.0,4.0,,4.0,,,,,83.0,41.0,6.3,7.0,0,,1.0,1.0,,3.0,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,
11452945,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600,M,18,18,False,47.0,42.0,2.0,,0.0,22.0,25.0,20.0,23.0,,2.0,4.0,,5.0,,,,,69.0,55.0,6.7,7.0,0,,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
11452945,home,Al-Okhdood,Eid Al Muwallad,Eid Al Muwallad,,eid-al-muwallad,E. A. Muwallad,M,14,175.0,194,M,1521467,EUR,1008288000,M,6,6,False,60.0,56.0,7.0,4.0,0.0,34.0,34.0,22.0,26.0,,3.0,5.0,,8.0,,,,,90.0,75.0,7.1,6.0,0,,,,,,2.0,3.0,3.0,3.0,1.0,,,,,,2.0,,,,,,,,,,,
11452945,home,Al-Okhdood,Alex Collado,Alex,Collado,alex-collado,A. Collado,M,8,177.0,1606,M,859767,EUR,924739200,M,11,11,False,30.0,27.0,5.0,4.0,0.0,8.0,10.0,19.0,21.0,,7.0,5.0,1.0,5.0,,,,,71.0,56.0,6.1,11.0,5,,1.0,4.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,,,1.0,3.0,3.0,2.0,,,,,,,,,
11452945,home,Al-Okhdood,Florin Tănase,,,florin-tanase,F. Tănase,M,10,185.0,1396,M,537032,EUR,788745600,M,10,10,False,39.0,33.0,4.0,3.0,0.0,9.0,9.0,25.0,33.0,,8.0,2.0,,1.0,,,,,90.0,54.0,7.6,11.0,2,,3.0,1.0,,1.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,
11452945,home,Al-Okhdood,Musleh Al Shaikh,Musleh Al Shaikh,,musleh-al-shaikh,M. A. Shaikh,M,7,170.0,9,M,1521662,EUR,830390400,M,13,13,False,22.0,19.0,,,0.0,4.0,4.0,15.0,19.0,,2.0,2.0,,2.0,,,,,69.0,29.0,6.7,5.0,1,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,
