match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_penaltyWon,stat_keyPass,stat_bigChanceCreated,stat_totalContest,stat_shotOffTarget,captain,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,player_sofascoreId,stat_penaltyConceded,stat_hitWoodwork,stat_clearanceOffLine
10406816,home,Oud-Heverlee Leuven,Valentin Cojocaru,valentin-cojocaru,V. Cojocaru,G,77,195,225,M,182363,EUR,812505600,G,12,12,False,37.0,24.0,21.0,8.0,20.0,23.0,4.0,14.0,1.0,1.0,9.0,1.0,2.0,3.0,1.0,90.0,47.0,7.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Louis Patris,louis-patris,L. Patris,M,27,187,275,M,923972,EUR,991872000,D,25,25,False,42.0,30.0,7.0,4.0,14.0,16.0,17.0,27.0,4.0,1.0,3.0,1.0,,,,90.0,69.0,7.4,20.0,0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Ewoud Pletinckx,ewoud-pletinckx,E. Pletinckx,D,28,190,193,M,949101,EUR,971136000,D,28,28,False,42.0,32.0,10.0,7.0,22.0,28.0,10.0,14.0,5.0,3.0,7.0,,,,,90.0,55.0,7.6,10.0,0,,,,,,3.0,1.0,1.0,,4.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Federico Ricca,federico-ricca,F. Ricca,D,16,175,168,M,590036,EUR,786240000,D,14,14,False,30.0,25.0,3.0,1.0,22.0,25.0,3.0,5.0,6.0,7.0,1.0,1.0,,,,90.0,48.0,7.7,5.0,0,Federico,Ricca,,,2.0,2.0,2.0,,,4.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Hamza Mendyl,hamza-mendyl,H. Mendyl,D,37,179,703,M,846447,EUR,877392000,D,20,20,False,19.0,15.0,2.0,2.0,5.0,8.0,10.0,12.0,3.0,4.0,2.0,,,,,90.0,41.0,6.8,9.0,0,,,1.0,,,,4.0,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Joren Dom,joren-dom,J. Dom,D,,177,26,M,804233,EUR,628300800,M,6,6,False,23.0,17.0,3.0,1.0,13.0,15.0,4.0,8.0,6.0,5.0,5.0,4.0,,,,83.0,42.0,6.7,9.0,1,,,,,,,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Casper De Norre,casper-de-norre,C. D. Norre,M,24,175,155,M,823654,EUR,855273600,M,24,24,False,63.0,55.0,3.0,2.0,25.0,28.0,30.0,35.0,7.0,1.0,18.0,,,,,90.0,76.0,7.5,9.0,0,,,,,,,3.0,2.0,,,2.0,5.0,3.0,,,,2.0,,3.0,,True,2.0,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5676,M,876600,EUR,865900800,M,11,11,False,40.0,26.0,3.0,,3.0,6.0,23.0,35.0,6.0,,8.0,1.0,,,,90.0,57.0,6.4,20.0,1,,,1.0,,,1.0,6.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,6.0,1.0,,3.0,,,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Siebe Schrijvers,siebe-schrijvers,S. Schrijvers,M,8,178,212,M,190413,EUR,837648000,M,8,8,False,39.0,25.0,8.0,2.0,8.0,8.0,19.0,37.0,4.0,1.0,7.0,,,,,90.0,63.0,6.9,22.0,2,,,6.0,2.0,,1.0,5.0,2.0,,,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,
10406816,home,Oud-Heverlee Leuven,Jón Dagur Þórsteinsson,jon-dagur-thorsteinsson,J. D. Þórsteinsson,F,16,177,285,M,862449,EUR,912038400,M,7,7,False,26.0,19.0,2.0,2.0,11.0,14.0,8.0,14.0,6.0,,8.0,,,,,90.0,50.0,7.0,15.0,1,,,2.0,,,,8.0,2.0,1.0,,3.0,6.0,3.0,2.0,2.0,,,,3.0,,,,1.0,,1.0,,,,,,,
