match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,player_sofascoreId,stat_dispossessed,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
11067560,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,12.0,10.0,3.0,1.0,9.0,11.0,1.0,1.0,10.0,1.0,90.0,21.0,6.9,2.0,0.0005509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067560,home,São Paulo,Nathan Mendes,nathan-mendes,N. Mendes,D,45,182,358,M,1116955,EUR,1029715200,D,45,45,False,57.0,49.0,3.0,,24.0,27.0,26.0,35.0,2.0,,85.0,75.0,6.9,12.0,0.140066,0,Nathan,5.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
11067560,home,São Paulo,Robert Arboleda,robert-arboleda,R. Arboleda,D,5,187,3954,M,338937,EUR,688089600,D,5,5,False,77.0,70.0,4.0,2.0,46.0,51.0,24.0,26.0,3.0,,90.0,83.0,7.4,7.0,0.00637436,2,,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0654,0.1511,,,,,,,,,,,
11067560,home,São Paulo,Alan Franco,alan-franco,A. Franco,D,28,183,2959,M,875402,EUR,844992000,D,28,28,False,87.0,81.0,5.0,1.0,50.0,52.0,31.0,35.0,8.0,,90.0,96.0,7.2,8.0,0.01004,0,,,,,2.0,,3.0,,,4.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,
11067560,home,São Paulo,Caio Paulista,caio-paulista,C. Paulista,D,38,184,1649,M,931591,EUR,894844800,D,38,38,False,82.0,73.0,1.0,1.0,44.0,47.0,29.0,36.0,10.0,,90.0,103.0,7.6,10.0,0.0187769,0,,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,5.0,,,,1.0,,,,,,,,,
11067560,home,São Paulo,Alisson,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,25,25,False,89.0,82.0,6.0,3.0,33.0,34.0,50.0,56.0,5.0,,90.0,103.0,7.2,7.0,0.144371,0,,1.0,1.0,1.0,,5.0,3.0,,,,2.0,,2.0,2.0,,,,1.0,3.0,,,,1.0,2.0,,,,,,,,
11067560,home,São Paulo,Pablo Maia,pablo-maia,P. Maia,M,29,178,3211,M,1120721,EUR,1010620800,M,29,29,False,73.0,64.0,7.0,4.0,33.0,35.0,31.0,38.0,6.0,,90.0,89.0,7.0,10.0,0.0218573,4,Pablo Maia,,,,,4.0,4.0,1.0,,1.0,3.0,1.0,1.0,,,2.0,,,2.0,0.074,,,1.0,2.0,2.0,,,,,,,
11067560,home,São Paulo,Lucas Moura,lucas-moura,L. Moura,M,7,172,12542,M,149710,EUR,713664000,M,7,7,False,40.0,34.0,1.0,,12.0,12.0,23.0,30.0,1.0,,69.0,55.0,6.4,13.0,0.119894,1,,2.0,1.0,1.0,,7.0,3.0,2.0,2.0,,,,,1.0,,,1.0,,,0.1305,0.1328,2.0,1.0,2.0,,lucasmoura7,4.0,,,,,
11067560,home,São Paulo,James Rodríguez,james-rodriguez,J. Rodríguez,M,10,180,62094,M,107414,EUR,679276800,M,19,19,False,62.0,61.0,4.0,4.0,14.0,14.0,48.0,51.0,4.0,,69.0,69.0,7.0,4.0,0.0680908,3,,3.0,1.0,,,2.0,,,,,,,,2.0,,1.0,,,,0.1056,,,,1.0,2.0,James10,1.0,,,,,
11067560,home,São Paulo,Michel Araújo,michel-araujo,M. Araújo,M,15,178,1551,M,924857,EUR,843868800,M,15,15,False,21.0,21.0,2.0,2.0,6.0,6.0,15.0,16.0,2.0,,60.0,37.0,6.5,6.0,0.0149838,2,,1.0,,,,4.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,,0.0635,,3.0,1.0,2.0,1.0,,2.0,,,,,
