match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_dispossessed,player_firstName,stat_wasFouled,stat_blockedScoringAttempt,player_lastName,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot,stat_totalOffside
11450181,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,25.0,14.0,13.0,3.0,13.0,16.0,1.0,9.0,3.0,11.0,1.0,1.0,1.0,1.0,90.0,38.0,6.9,11.0,0.00021347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450181,home,Sivasspor,Alaaddin Okumuş,alaaddin-okumus,A. Okumuş,D,175,23,M,844640,EUR,809136000,D,23,23,False,44.0,34.0,10.0,4.0,16.0,20.0,22.0,30.0,1.0,6.0,,,,,90.0,61.0,7.5,13.0,0.22808,0,22,6.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
11450181,home,Sivasspor,Caner Osmanpaşa,caner-osmanpasa,C. Osmanpaşa,D,182,35,M,135941,EUR,569203200,D,88,88,False,42.0,33.0,2.0,,26.0,32.0,7.0,10.0,6.0,5.0,,,,,90.0,57.0,7.7,9.0,0.00356119,3,20,,,8.0,1.0,10.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4316,0.721,,,,,,,,,,,,,,
11450181,home,Sivasspor,Samba Camara,samba-camara,S. Camara,D,190,68,M,837301,EUR,721699200,D,14,14,False,47.0,42.0,7.0,3.0,35.0,38.0,7.0,9.0,6.0,7.0,,,,,90.0,65.0,7.4,6.0,0.00159515,1,14,,,2.0,3.0,5.0,2.0,1.0,3.0,2.0,,,,,1.0,,,1.0,,,0.0727,,,,,,,,,,,,,,,
11450181,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,44.0,30.0,4.0,1.0,19.0,21.0,11.0,24.0,2.0,11.0,,,,,90.0,62.0,6.7,19.0,0.0316125,1,58,1.0,,1.0,4.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,,,0.0371,,True,1.0,,,,,,,,,,,,
11450181,home,Sivasspor,Yunus Konak,yunus-konak,Y. Konak,M,181,1116,M,1518589,EUR,1136851200,M,72,72,False,33.0,29.0,5.0,5.0,16.0,17.0,13.0,16.0,2.0,9.0,,,,,84.0,49.0,6.8,8.0,0.00872494,0,5,,,,8.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,,,2.0,1.0,,,,1.0,,,,2.0,Yunus Konak,,,,,,,,,,,
11450181,home,Sivasspor,Burak Kapacak,burak-kapacak,B. Kapacak,M,180,490,M,836686,EUR,944611200,M,16,16,False,14.0,11.0,1.0,1.0,4.0,5.0,7.0,9.0,,,,,,,45.0,23.0,6.5,7.0,0.00435079,0,17,,,,5.0,2.0,,1.0,1.0,1.0,,1.0,,,3.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
11450181,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,37.0,29.0,3.0,3.0,3.0,5.0,26.0,33.0,,9.0,,,,,90.0,49.0,7.2,11.0,0.0324048,1,8,1.0,,,2.0,5.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,0.0175,,,1.0,,1.0,,,,,,,,,,
11450181,home,Sivasspor,Samu Sáiz,samu-saiz,S. Sáiz,M,174,123,M,99527,EUR,664502400,M,24,24,False,35.0,27.0,1.0,1.0,10.0,11.0,18.0,26.0,,4.0,,,,,65.0,43.0,7.1,10.0,0.118306,2,,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,0.1544,0.11,,,,1.0,,,,,,,,,,
11450181,home,Sivasspor,Modou Barrow,modou-barrow,M. Barrow,M,176,244,M,209098,EUR,718934400,M,77,77,False,23.0,19.0,2.0,,1.0,1.0,20.0,27.0,,2.0,,,,,84.0,47.0,7.9,12.0,0.125205,2,,5.0,2.0,,3.0,8.0,,1.0,1.0,1.0,2.0,,4.0,,6.0,4.0,,,1.0,,0.0889,0.0371,,1.0,,3.0,1.0,,,,,,,,,
11450181,home,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,182,2059,M,587882,EUR,856742400,F,9,9,False,16.0,10.0,1.0,1.0,4.0,5.0,6.0,12.0,3.0,2.0,,,,,89.0,31.0,7.5,12.0,0.00324369,3,9,1.0,,1.0,2.0,3.0,,,1.0,,4.0,1.0,,,,,,2.0,1.0,,0.4116,0.2864,,1.0,,1.0,,,1.0,,,,,,,
