match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_wasFouled,player_firstName,player_lastName,captain,stat_hitWoodwork,stat_totalOffside
14083173,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,41.0,26.0,21.0,7.0,0.0,22.0,25.0,4.0,16.0,12.0,3.0,6.0,2.0,2.0,90.0,55.0,8.7,15.0,0.00145979,84.935786313755,12.0,22.155,7.245,0.6345,0,1.1006,0.07,-0.03,0.21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083173,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,38.0,29.0,4.0,,0.0,9.0,11.0,20.0,27.0,6.0,,,,,90.0,80.0,7.1,20.0,0.104909,189.65268590077,18.0,46.725,36.12,,3,,0.19,0.26,0.17,,Sonic,6.0,1.0,1.0,2.0,6.0,8.0,2.0,5.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,0.1153,0.1667,1.0,-0.11,,,,,,,,,,,
14083173,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,67.0,56.0,11.0,2.0,0.0,40.0,44.0,16.0,23.0,8.0,,,,,90.0,80.0,7.0,13.0,0.018707,231.2992336007,30.0,118.65,14.49,,2,,0.33,0.1,0.0,,,,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,2.0,4.0,,1.0,,1.0,1.0,0.1364,0.431,,0.0,1.0,1.0,1.0,,,,,,,,
14083173,home,Rayo Vallecano,Nobel Mendy,mendy-nobel,N. Mendy,D,32,187.0,3702,M,1458073,EUR,1092614400,D,32,32,False,56.0,51.0,8.0,4.0,0.0,43.0,43.0,8.0,13.0,2.0,,,,,90.0,73.0,7.3,6.0,0.00313055,127.57182869833,16.0,46.2,14.91,,2,,0.15,0.05,0.42,,,,,1.0,,2.0,2.0,,,,,1.0,,6.0,,2.0,,,1.0,0.3915,,,0.07,,1.0,,1.0,1.0,,,,,,
14083173,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,35.0,29.0,3.0,1.0,0.0,15.0,17.0,14.0,18.0,5.0,,,,,90.0,56.0,6.7,15.0,0.0103702,113.37288906649,13.0,83.79,16.485,,1,,0.01,0.02,0.13,,,4.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,3.0,,0.0084,,,-0.02,,,,,,1.0,,,,,
14083173,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4735,M,913679,EUR,763776000,M,6,6,False,53.0,42.0,6.0,3.0,0.0,22.0,24.0,20.0,29.0,6.0,,,,,90.0,63.0,7.0,11.0,0.0198659,126.87494279599,13.0,83.16,22.155,,3,,0.27,0.16,0.21,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,0.111,0.016,1.0,-0.26,,,,,1.0,,,,,,
14083173,home,Rayo Vallecano,Óscar Valentín,oscar-valentin,Ó. Valentín,M,23,177.0,443,M,900008,EUR,777340800,M,23,23,False,22.0,20.0,1.0,1.0,0.0,8.0,8.0,12.0,14.0,2.0,,,,,66.0,32.0,6.9,3.0,0.00950036,63.513841029041,7.0,24.675,9.45,,1,,-0.02,0.03,0.29,,,,,1.0,,3.0,3.0,1.0,,,,,,,,3.0,2.0,,,0.0531,,,-0.18,1.0,1.0,,,1.0,,,,True,,
14083173,home,Rayo Vallecano,Jorge de Frutos,jorge-de-frutos,J. de Frutos,M,19,173.0,1878,M,900003,EUR,849312000,M,19,19,False,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,2.0,,,,,18.0,8.0,6.7,3.0,0.00039332,8.0709107912304,1.0,6.615,6.615,,0,,0.0,0.06,0.13,,,,,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
14083173,home,Rayo Vallecano,Isi Palazón,isi-palazon,I. Palazón,M,7,169.0,2151,M,899982,EUR,788486400,M,7,7,False,38.0,34.0,4.0,3.0,0.0,7.0,7.0,27.0,31.0,3.0,,,,,83.0,70.0,7.1,16.0,0.0165864,239.26191968291,18.0,85.155,26.775,,5,,-0.09,0.12,0.17,,,5.0,,1.0,,4.0,7.0,2.0,1.0,1.0,,3.0,1.0,2.0,,1.0,1.0,3.0,1.0,0.2236,0.0438,,-0.32,,,,1.0,1.0,5.0,,,,1.0,
14083173,home,Rayo Vallecano,Alfonso Espino,alfonso-espino,A. Espino,D,22,172.0,656,M,542634,EUR,694569600,M,22,22,False,21.0,16.0,1.0,,0.0,3.0,3.0,13.0,18.0,4.0,,,,,66.0,33.0,6.7,9.0,0.1352,98.869734947937,13.0,7.98,12.075,,2,,0.32,-0.06,-0.14,,,4.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.1386,0.0304,1.0,-0.2,3.0,,,1.0,,1.0,,,,,3.0
